,,,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.
Da Ros Matteo ,N5,Prealpi,36,29,45,60,28,-
Dal Cin Wilmo ,N2,Prealpi,95,95,87,88,86,86
Dalla Vecchia ,Rally4/R2,Prealpi,107,105,95,89,89,87
De Marco Franc,Rally4,Prealpi,61,79,71,-,-,-
De Sanctis F. ,Rally4,Prealpi,106,102,98,90,90,91
De Tisi Pietro,Rally4,Prealpi,42,54,36,41,34,37
Della Maddalen,Rally5,Prealpi,66,70,61,77,62,68
Diserò Luca  -,Rally4,Prealpi,35,32,33,30,40,35
Favero Marco  ,Rally4/R2 Under 25,Prealpi,59,60,51,49,51,46
Ferronato Mass,R5/Rally2,Prealpi,10,14,11,18,15,14
Fiora Federico,N4,Prealpi,41,36,27,32,33,34
Foffano Cristi,Rally4,Prealpi,65,84,77,69,72,80
Francesconi D.,Rally5,Prealpi,75,68,66,75,74,65
Frigo Giulio  ,Rally4,Prealpi,45,46,62,34,45,81
Gabrici Fabio ,Rally4,Prealpi,93,89,79,91,78,90
Ghelfi Loris  ,R5/Rally2,Prealpi,20,28,22,22,22,19
Gheno Tobia  -,Rally4,Prealpi,37,41,38,38,47,67
Godino Bruno  ,Rally5,Prealpi,81,97,60,63,69,48
Gozzoli Stefan,Ra5H,Prealpi,98,86,89,-,-,-
Lando Giampaol,A7,Prealpi,74,80,-,-,-,-
Landolfi Diego,Rally5,Prealpi,103,96,91,85,83,83
Lorenzon Filip,R5/Rally2,Prealpi,17,22,20,19,7,10
Lovisetto Gian,Rally4,Prealpi,47,52,86,49,56,44
Madrassi Sandr,Rally4/R2,Prealpi,70,103,76,67,67,56
Maggiolo Matte,N4,Prealpi,50,53,41,58,47,39
Manera Luca  -,Ra5N,Prealpi,100,88,85,84,84,82
Marafon Ennio ,N3,Prealpi,97,92,88,86,87,84
Marchioro Anto,N4,Prealpi,25,19,25,24,25,29
Marchioro Nico,R5/Rally2,Prealpi,1,5,3,3,1,3
Mattiuz Alessi,A7,Prealpi,72,58,80,-,-,-
Mazzonelli A. ,Rally4,Prealpi,79,64,72,46,61,55
Mettifogo Manu,Rally5,Prealpi,72,60,73,72,66,54
Milani Michele,N4,Prealpi,27,25,90,83,26,25
Miotto Stefano,N3,Prealpi,48,67,37,37,43,32
Moretto Federi,Rally4,Prealpi,82,65,69,59,64,66
Nardi Devid  -,Rally4/R2 Under 25,Prealpi,33,44,35,52,38,38
Nicoletti A.  ,R5/Rally2,Prealpi,12,23,19,17,21,26
Oriella Paolo ,R5/Rally2,Prealpi,6,3,4,4,4,5
Pagnan Alex  -,Rally4,Prealpi,39,48,42,47,44,52
Penello Andrea,Rally4 Under 25,Prealpi,91,77,83,76,82,72
Pesavento Paol,R5/Rally2,Prealpi,13,13,10,10,9,8
Pignani Elia  ,Rally4/R2,Prealpi,89,83,81,79,77,74
Pigozzo Enrico,Rally4,Prealpi,55,75,59,-,-,-
Pintarelli Mat,Rally4,Prealpi,38,43,47,42,49,40
Pizzolato N.  ,A8,Prealpi,86,73,69,57,70,60
Possamai Alex ,Rally4/R2,Prealpi,60,45,54,44,39,36
Prosenc Borut ,Rally4,Prealpi,68,85,49,31,32,28
Puppato Albert,Rally4,Prealpi,53,59,48,54,-,-
Ramponi Paolo ,Rally4 Under 25,Prealpi,64,49,46,42,58,61
Recchia Marco ,N3,Prealpi,69,76,52,71,76,58
Rivoira Carlo ,R5/Rally2,Prealpi,104,90,97,78,81,59
Romagna Simone,R5/Rally2,Prealpi,2,1,1,1,2,2
Roncadori Stef,Rally4,Prealpi,57,57,75,64,63,70
Rossetto Osvy ,Rally4,Prealpi,39,37,39,48,52,78
Sambugaro Mich,R5/Rally2,Prealpi,14,8,11,9,16,11
Sandel Fabio  ,R5/Rally2,Prealpi,21,17,16,16,14,14
Sandrin Andrea,R5/Rally2,Prealpi,3,3,5,5,7,4
Segnana Stefan,Rally4/R2,Prealpi,98,99,-,-,-,-
Spagnol Jason ,Rally4/R2,Prealpi,30,33,31,33,36,45
Spagolla Alber,R5/Rally2,Prealpi,11,7,8,7,11,14
Sporzon Elvis ,Rally3,Prealpi,101,27,28,27,29,27
Stevanato Elia,Rally4,Prealpi,54,56,56,56,60,75
Stival Ivan  -,R4,Prealpi,77,-,-,-,-,-
Stocchero Fabi,RS 1.6 Plus,Prealpi,94,93,84,80,80,76
Strabello Paol,Rally4,Prealpi,85,70,67,61,64,71
Sulmoni Paolo ,N4,Prealpi,44,31,32,28,42,31
Toffano Giovan,R5/Rally2,Prealpi,5,9,15,8,10,18
Toffoli Bryan ,Rally4,Prealpi,34,42,34,34,35,41
Tosetto Paolo ,Rally3 Under 25,Prealpi,29,18,26,21,23,-
Trentin Angelo,A7,Prealpi,96,98,92,87,88,85
Trevisiol Stef,N4,Prealpi,43,55,50,40,50,42
Turatello F.  ,R5/Rally2,Prealpi,24,16,18,15,18,17
Vagnini Jader ,R5/Rally2,Prealpi,8,2,2,2,3,1
Vigna Claudio ,Rally4,Prealpi,90,82,-,-,-,-
Zamberlan Dani,R5/Rally2,Prealpi,15,-,-,-,-,-
Zanarella Anto,A6,Prealpi,105,100,96,93,91,88
Zantedeschi Di,R5/Rally2,Prealpi,26,20,23,25,24,22
Zecchin Emanue,R5/Rally2,Prealpi,9,9,6,6,6,7
Zimmermann Seb,K11,Prealpi,78,91,68,68,59,64
