,Crew,Gr/Cl,ss,Race,date,surface,competition,cou,time_SS_sec,min_time_Gr,min_time,diff,diff_G,diff_G%,SS.
250,Diserò Luca  -,Rally4,3,Prealpi,10/12/2023,gravel,-,33,363.2,359.5,322.1,41.099999999999966,3.6999999999999886,1.0292072322670345,03
251,Toffoli Bryan ,Rally4,3,Prealpi,10/12/2023,gravel,-,34,363.3,359.5,322.1,41.19999999999999,3.8000000000000114,1.0570236439499336,03
252,De Tisi Pietro,Rally4,3,Prealpi,10/12/2023,gravel,-,36,363.6,359.5,322.1,41.5,4.100000000000023,1.1404728789986156,03
253,Gheno Tobia  -,Rally4,3,Prealpi,10/12/2023,gravel,-,38,364.9,359.5,322.1,42.799999999999955,5.399999999999977,1.5020862308762106,03
254,Rossetto Osvy ,Rally4,3,Prealpi,10/12/2023,gravel,-,39,365.9,359.5,322.1,43.799999999999955,6.399999999999977,1.7802503477051395,03
255,Pagnan Alex  -,Rally4,3,Prealpi,10/12/2023,gravel,-,42,366.3,359.5,322.1,44.19999999999999,6.800000000000011,1.8915159944367206,03
256,Casonato Rober,Rally4,3,Prealpi,10/12/2023,gravel,-,44,367.2,359.5,322.1,45.099999999999966,7.699999999999989,2.1418636995827507,03
257,Pintarelli Mat,Rally4,3,Prealpi,10/12/2023,gravel,-,47,369.0,359.5,322.1,46.89999999999998,9.5,2.642559109874826,03
258,Puppato Albert,Rally4,3,Prealpi,10/12/2023,gravel,-,48,369.2,359.5,322.1,47.099999999999966,9.699999999999989,2.698191933240609,03
259,Prosenc Borut ,Rally4,3,Prealpi,10/12/2023,gravel,-,49,370.3,359.5,322.1,48.19999999999999,10.800000000000011,3.0041724617524372,03
260,Stevanato Elia,Rally4,3,Prealpi,10/12/2023,gravel,-,57,374.2,359.5,322.1,52.099999999999966,14.699999999999989,4.089012517385254,03
261,Pigozzo Enrico,Rally4,3,Prealpi,10/12/2023,gravel,-,59,374.6,359.5,322.1,52.5,15.100000000000023,4.200278164116835,03
