,,,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4,5,6
Crew,Gr/Cl,Race,,,,,,
Romagna Simone,R5/Rally2,Prealpi,5:23.6,5:25.9,5:22.1,5:19.2,5:20.2,5:16.9
Roncadori Stef,Rally4,Prealpi,6:19.2,6:25.5,6:22.3,6:23.9,6:14.8,6:32.5
Rossetto Osvy ,Rally4,Prealpi,6:08.5,6:14.1,6:05.9,6:14.9,6:07.7,6:40.3
Sambugaro Mich,R5/Rally2,Prealpi,5:32.1,5:32.3,5:31.0,5:29.3,5:27.8,5:26.9
Sandel Fabio  ,R5/Rally2,Prealpi,5:41.7,5:43.2,5:35.1,5:33.6,5:27.1,5:30.6
Sandrin Andrea,R5/Rally2,Prealpi,5:26.6,5:27.9,5:25.0,5:27.2,5:22.5,5:21.5
Segnana Stefan,Rally4/R2,Prealpi,6:59.7,7:06.5,-,-,-,-
Spagnol Jason ,Rally4/R2,Prealpi,5:58.2,6:08.3,6:01.2,6:05.2,5:59.7,6:19.1
Spagolla Alber,R5/Rally2,Prealpi,5:31.3,5:31.5,5:28.5,5:27.8,5:26.2,5:30.6
Sporzon Elvis ,Rally3,Prealpi,7:03.9,5:56.8,5:56.5,5:51.6,5:52.2,5:57.6
Stevanato Elia,Rally4,Prealpi,6:18.4,6:23.5,6:14.2,6:19.1,6:12.4,6:38.8
Stival Ivan  -,R4,Prealpi,6:32.5,-,-,-,-,-
Stocchero Fabi,RS 1.6 Plus,Prealpi,6:51.6,6:53.6,6:31.2,6:39.0,6:34.7,6:39.0
Strabello Paol,Rally4,Prealpi,6:41.3,6:31.9,6:19.4,6:22.8,6:16.6,6:33.4
Sulmoni Paolo ,N4,Prealpi,6:11.3,6:04.7,6:02.8,5:59.2,6:03.9,6:06.4
Toffano Giovan,R5/Rally2,Prealpi,5:27.0,5:32.7,5:34.7,5:28.1,5:25.6,5:32.2
Toffoli Bryan ,Rally4,Prealpi,6:06.2,6:16.2,6:03.3,6:07.3,5:59.1,6:18.5
Tosetto Paolo ,Rally3 Under 25,Prealpi,5:49.0,5:45.3,5:48.2,5:40.6,5:38.7,-
Trentin Angelo,A7,Prealpi,6:57.9,7:05.1,6:54.6,6:55.4,6:55.8,6:55.4
Trevisiol Stef,N4,Prealpi,6:10.3,6:22.8,6:11.0,6:10.0,6:07.3,6:18.7
Turatello F.  ,R5/Rally2,Prealpi,5:46.1,5:42.7,5:36.6,5:33.5,5:30.0,5:30.7
Vagnini Jader ,R5/Rally2,Prealpi,5:29.1,5:26.4,5:22.8,5:20.9,5:20.9,5:16.2
Vigna Claudio ,Rally4,Prealpi,6:44.5,6:43.3,-,-,-,-
Zamberlan Dani,R5/Rally2,Prealpi,5:33.5,-,-,-,-,-
Zanarella Anto,A6,Prealpi,7:20.3,7:09.0,7:01.5,7:15.4,7:12.0,7:09.0
Zantedeschi Di,R5/Rally2,Prealpi,5:47.6,5:48.6,5:41.7,5:45.9,5:40.5,5:45.0
Zecchin Emanue,R5/Rally2,Prealpi,5:30.2,5:32.7,5:25.4,5:27.7,5:21.8,5:23.2
Zimmermann Seb,K11,Prealpi,6:33.6,6:49.9,6:19.9,6:27.1,6:11.6,6:29.5
