,,,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
#39,Heller Alberto  - Allende L. Citroën C3 Rally2,RC2,9:31.6,14:07.5,13:02.2,9:28.2,14:07.3,22:33.9 [N],-,-,18:09.0,26:27.8,16:14.4 [N],27:30.0 [N],35:24.9 [N],16:06.3 [N],12:38.0 [N],8:28.1,7:05.0,14:40.3,-
#39,Heller Alberto  - Allende L. Citroën C3 Rally2  [SR],RC2,-,-,-,-,-,-,22:21.8 [N],12:35.0 [N],-,-,-,-,-,-,-,-,-,-,-
#4,Lappi Esapekka  - Ferm Janne Hyundai i20 N Rally1,RC1 M,9:06.7,13:10.1,12:06.1,8:56.3,13:07.3,11:59.2,11:56.7,2:32.6,17:03.4,24:42.3,6:05.2,16:57.0,24:42.0,5:59.7,2:34.9,8:12.9,6:42.3,14:08.3,6:29.0
#40,Fernández Emilio  - Rozada Borja Škoda Fabia Rally2 evo,RC2,9:39.0,14:09.6,13:18.9,9:28.3,14:12.7,13:15.4,13:02.1,2:38.5,18:19.2,26:08.7,6:27.2,17:46.6,25:49.3,6:22.5,2:40.2,8:27.4,7:04.3,14:24.3,6:58.7
#41,Kelly Eamonn  - Mohan Conor Hyundai i20 N Rally2,RC2,17:15.8,15:11.3,14:03.3,10:21.1,14:59.4,13:58.1,13:23.8,2:56.3,19:20.0,27:45.4,6:41.4,-,-,-,-,8:46.5,7:34.0,15:18.8,7:21.1
#41,Kelly Eamonn  - Mohan Conor Hyundai i20 N Rally2  [SR],RC2,-,-,-,-,-,-,-,-,-,-,-,27:30.0 [N],35:24.9 [N],16:06.3 [N],12:38.0 [N],-,-,-,-
#44,Correia Miguel  - Carvalho J. Škoda Fabia Rally2 evo,RC2,9:38.2,14:15.1,13:25.5,9:39.9,14:33.6,13:56.5,12:55.3,2:41.3,18:30.7,26:20.7,6:29.7,18:49.7,28:45.0,-,-,-,-,-,-
#45,Teodósio Ricardo  - Teixeira J. Hyundai i20 N Rally2,RC2,9:53.5,14:21.1,13:34.5,9:45.8,-,-,-,-,18:27.2,26:29.2,6:25.2,18:10.2,26:34.9,6:26.6,2:52.7,8:42.3,7:05.9,15:02.3,7:00.5
#45,Teodósio Ricardo  - Teixeira J. Hyundai i20 N Rally2  [SR],RC2,-,-,-,-,23:36.7 [N],22:33.9 [N],22:21.8 [N],12:35.0 [N],-,-,-,-,-,-,-,-,-,-,-
#46,Bulacia B.  - Coronado Jiménez A. Škoda Fabia Rally2 evo,RC2,9:39.8,14:05.2,13:03.3,9:26.5,14:54.9,-,-,-,17:55.9,25:53.4,6:32.4,17:54.4,30:37.8,6:44.2,2:51.4,8:26.1,7:00.9,14:30.1,6:58.0
#46,Bulacia B.  - Coronado Jiménez A. Škoda Fabia Rally2 evo  [SR],RC2,-,-,-,-,-,22:33.9 [N],22:21.8 [N],12:35.0 [N],-,-,-,-,-,-,-,-,-,-,-
#47,Marczyk M.  - Gospodarczyk S. Škoda Fabia RS Rally2,RC2,9:37.2,13:55.4,13:03.4,9:33.8,14:07.7,13:14.5,13:49.8,2:38.3,17:54.6,25:59.1,6:17.4,17:56.9,26:00.3,6:21.0,2:40.2,8:53.8,6:58.4,14:34.6,6:50.7
#48,Kremer Armin  - Gottschalk Timo Škoda Fabia Rally2 evo,RC2,9:46.9,14:49.0,13:38.6,9:47.5,15:10.0,13:35.7,13:16.9,2:53.1,-,-,-,-,-,-,-,-,-,-,-
#49,Al-Rashed Rakan  - Moscatt Dale Škoda Fabia RS Rally2,RC2,9:57.7,17:48.3,17:00.0,9:59.5,14:47.6,24:25.8,13:46.6,2:48.8,19:02.6,26:51.1,7:08.3,18:45.0,45:38.1 [N],6:47.6,2:47.4,8:52.9,7:26.1,14:58.7,7:16.0
#50,Oldrati Enrico  - De Guio Elia Škoda Fabia Rally2 evo,RC2,10:06.6,14:50.6,13:59.6,10:03.7,15:09.9,14:14.5,13:51.4,2:43.9,19:08.6,27:30.3,6:45.9,19:09.7,27:51.3,6:50.3,2:51.2,8:54.6,7:29.1,15:29.0,7:27.8
#51,Zaldivar Miguel Sr.  - Díaz J. Hyundai i20 N Rally2,RC2,10:10.7,15:15.1,14:17.0,10:06.1,15:21.4,14:28.1,13:44.0,2:46.9,19:20.4,28:03.9,6:53.2,19:12.1,-,-,-,-,-,-,-
#52,Villanueva A.  - Murado González J. Škoda Fabia RS Rally2,RC2,10:00.6,14:35.1 [N],14:03.7,9:55.5 [N],14:35.1,13:25.2,13:16.0,2:49.6,18:53.4,27:05.4,6:41.4,18:35.9,26:46.8,6:41.7,2:48.8,9:02.3,7:27.0,15:20.8,7:15.7
#53,Castro Eduardo  - Mussano Fernando Škoda Fabia Rally2 evo,RC2,10:05.1,14:55.5,13:59.0,10:06.1,15:23.8,14:43.1,14:02.8,2:46.9,19:23.6,27:49.1,6:43.7,19:26.4,28:07.4,6:42.2,3:12.6,-,-,-,-
#54,Fontes José Pedro  - Ponte Inês Citroën C3 Rally2,RC2,10:01.4,14:38.6,13:42.2,9:50.1,14:41.4,13:36.1,30:37.6,3:10.2,-,-,-,-,-,-,-,-,-,-,-
#55,Sousa Bernardo  - Janela José Citroën C3 Rally2,RC2,9:50.9,14:48.1,13:31.8,9:43.7,14:39.4,13:37.2,12:56.3,2:39.0,-,-,-,-,-,-,-,-,-,-,-
#56,Herczig Norbert  - Ferencz Ramón Škoda Fabia Rally2 evo,RC2,9:55.1,14:33.2,13:42.3,9:44.4,14:44.7,14:43.0,13:56.4,2:42.2,18:59.6,26:33.0,6:32.4,18:37.3,26:33.2,6:27.9,-,8:48.7,7:19.7,-,-
#56,Herczig Norbert  - Ferencz Ramón Škoda Fabia Rally2 evo  [SR],RC2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12:38.0 [N],-,-,-,-
#57,Jeets Gregor  - Taniel Timo Hyundai i20 N Rally2,RC2,9:57.1,14:34.4,13:30.8,9:47.7,-,-,-,-,18:29.7,27:43.8,6:33.3,18:27.5,26:47.2 [N],6:26.6,2:48.2,8:34.4,7:12.5,14:55.1,7:06.9
#57,Jeets Gregor  - Taniel Timo Hyundai i20 N Rally2  [SR],RC2,-,-,-,-,23:36.7 [N],22:33.9 [N],22:21.8 [N],12:35.0 [N],-,-,-,-,-,-,-,-,-,-,-
#58,Almeida Pedro  - Castro Mário Škoda Fabia Rally2 evo,RC2,9:53.2,14:34.1,13:41.2,9:52.0,14:48.4,13:21.7,13:02.5,2:42.4,-,-,-,-,-,-,-,-,-,-,-
#59,Meireles Pedro  - Alves Pedro Hyundai i20 N Rally2,RC2,9:54.9,20:11.7,14:14.5,9:57.0,14:53.6,13:57.5,36:24.0,4:05.5,-,-,-,-,-,-,-,-,-,-,-
#6,Sordo Dani  - Carrera Cándido Hyundai i20 N Rally1,RC1 M,9:03.0,13:01.8,11:55.2,8:59.3,13:05.1,11:55.9,12:08.4,2:29.8,17:03.9,24:55.0,6:03.9,16:56.9,24:31.2,6:02.2,2:34.5,8:05.2,6:43.5,13:58.2,6:33.4
#60,Simões Lucas  - Almeida Nuno Ford Fiesta Rally2,RC2,10:10.4,14:38.9,14:00.8,9:52.0,14:49.2,13:53.2,14:09.1,2:52.2,-,-,-,-,-,-,-,-,-,-,-
#61,Salvi Diogo  - Costa António Škoda Fabia R5,RC2,10:09.0,14:57.0,13:59.7,-,-,-,-,-,19:46.2,27:25.7,6:56.1,20:58.7,27:25.7 [N],7:12.8,2:46.5,-,-,-,-
#61,Salvi Diogo  - Costa António Škoda Fabia R5  [SR],RC2,-,-,-,19:15.5 [N],23:36.7 [N],22:33.9 [N],22:21.8 [N],12:35.0 [N],-,-,-,-,-,-,-,-,-,-,-
#63,Teixeira Francisco  - Serôdio J. Škoda Fabia Rally2 evo,RC2,11:10.1,16:19.6,15:29.7,11:11.2,17:01.3,15:53.2,15:40.2,3:03.1,21:12.2,30:13.1,7:34.0,22:20.5,30:13.1 [N],7:44.0,3:00.2,10:01.2,8:19.9,17:22.0,8:08.6
#64,Pinto Nuno  - Jardim Pereira João Citroën C3 Rally2,RC2,10:56.0,16:14.9,15:01.3,10:55.6,16:47.1,15:36.0,14:35.8,3:01.5,19:52.2,28:46.1,7:09.3,20:09.8,28:46.1 [N],7:21.5,2:54.5,9:35.6,8:05.9,16:33.5,7:57.7
#65,Al-Attiyah N.  - Bernacchini G. Ford Fiesta Rally2,RC2,11:14.1,16:47.7,15:54.0,11:10.4,17:24.0,16:11.7,15:35.7,3:30.3,22:16.5,31:00.4,7:53.9,22:16.7,-,-,-,10:20.4,8:50.2,18:07.9,8:42.7
#65,Al-Attiyah N.  - Bernacchini G. Ford Fiesta Rally2  [SR],RC2,-,-,-,-,-,-,-,-,-,-,-,-,35:24.9 [N],16:06.3 [N],12:38.0 [N],-,-,-,-
#66,Díaz-Aboitiz M.  - Sanjuan de Eusebio R. Škoda Fabia Rally2 evo,RC2,10:35.3,15:50.5,15:13.9,10:31.5,16:04.5,15:21.1,14:20.9,3:01.9,20:17.3,28:32.2,7:10.3,20:31.2,-,-,-,-,-,-,-
#67,Cobbe Luciano  - Mometti Roberto Škoda Fabia Rally2 evo,RC2,10:42.3,16:05.3,15:03.4,10:32.7,16:25.6,15:29.2,14:47.1,2:50.1,20:21.3,29:02.0,7:24.1,20:48.3,30:17.9,7:52.1,3:11.0,9:31.0,8:08.8,16:46.2,8:09.4
#68,Meeke Kris  - Fulton James Hyundai i20 N Rally2,RC2,9:29.5,13:44.0,12:56.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
#69,Rovanperä Kalle  - Halttunen J. Toyota GR Yaris Rally1,RC1 M,9:05.3,13:04.8,11:49.3,9:00.3,13:03.9,11:53.8,11:57.1,2:33.2,16:50.6,24:33.3,5:57.3,16:54.1,24:31.9,5:57.3,2:36.4,8:04.7,6:42.1,14:09.8,6:26.5
#7,Loubet Pierre-Louis  - Gilsoul N. Ford Puma Rally1,RC1 M,9:02.7,13:06.8,12:05.7,8:59.8,13:06.4,11:56.2,12:05.3,2:31.7,17:12.2,-,-,-,-,-,-,8:25.7,6:48.0,14:19.0,6:33.5
#7,Loubet Pierre-Louis  - Gilsoul N. Ford Puma Rally1  [SR],RC1 M,-,-,-,-,-,-,-,-,-,34:33.3 [N],15:57.3 [N],26:54.1 [N],34:31.2 [N],15:57.3 [N],12:34.5 [N],-,-,-,-
