0,,,,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.
53,Castro  Ed,RC2,Portugal,41,42,37,39,38,32,33,27,39,36,33,34,30,26,47,-,-,-,-
54,Fontes  J.,RC2,Portugal,39,37,35,31,26,21,81,41,-,-,-,-,-,-,-,-,-,-,-
55,Sousa  Ber,RC2,Portugal,31,39,31,25,25,23,18,18,-,-,-,-,-,-,-,-,-,-,-
56,Herczig  N,RC2,Portugal,35,33,36,26,28,31,32,24,33,28,26,29,20,24,53,28,28,-,-
57,Jeets  Gre,RC2,Portugal,36,35,30,30,57,51,49,50,28,33,28,27,26,21,25,23,26,26,26
58,Almeida  P,RC2,Portugal,32,34,34,33,30,18,21,25,-,-,-,-,-,-,-,-,-,-,-
59,Meireles  ,RC2,Portugal,34,62,44,36,32,27,82,47,72,65,64,-,-,-,-,-,-,-,-
60,Simões  Lu,RC2,Portugal,45,38,40,33,31,24,34,33,-,-,-,-,-,-,-,-,-,-,-
61,Salvi  Dio,RC2,Portugal,43,43,39,59,57,51,49,50,40,31,37,48,27,39,23,-,-,-,-
63,Teixeira  ,RC2,Portugal,54,52,51,51,44,39,40,40,56,48,55,54,43,47,35,42,42,41,38
64,Pinto  Nun,RC2,Portugal,52,51,46,47,42,37,36,38,42,40,44,37,33,42,32,40,37,37,35
65,Al-Attiyah,RC2,Portugal,55,53,52,49,46,41,39,46,67,52,61,53,54,55,53,45,45,45,43
66,Díaz Aboit,RC2,Portugal,49,48,49,44,40,35,35,39,46,38,46,42,54,55,-,-,-,-,-
67,Cobbe  Luc,RC2,Portugal,50,49,47,45,41,36,37,32,48,41,51,47,45,49,45,39,40,39,39
68,Meeke  Kri,RC2,Portugal,18,15,17,59,57,51,49,50,-,-,-,-,-,-,-,-,-,-,-
69,Rovanperä ,RC1,Portugal,4,4,1,4,1,1,2,6,1,1,1,1,2,1,6,2,1,6,1
70,Korhonen  ,RC3,Portugal,48,44,43,43,53,33,28,31,36,34,30,35,28,31,27,33,35,34,33
71,Herranen  ,RC3,Portugal,47,47,60,41,52,62,60,61,56,60,35,65,62,63,60,35,34,33,32
72,Campagnoli,RC2,Portugal,65,64,64,64,64,81,61,62,53,63,42,46,38,37,30,49,-,-,-
73,László  Z.,RC2,Portugal,51,50,50,46,43,43,38,35,58,45,49,44,41,45,32,36,38,36,37
75,Salin  Dan,RC2,Portugal,56,64,64,64,64,81,61,-,-,-,-,-,-,-,-,-,-,-,-
76,Fontana  M,RC4,Portugal,53,60,53,48,45,63,63,63,68,42,50,55,34,38,36,37,36,35,34
77,Serrano  J,RC4,Portugal,59,56,55,53,49,44,43,44,64,58,60,56,52,52,51,47,47,47,46
78,Serrano  D,RC4,Portugal,58,54,56,54,47,45,41,42,65,59,59,66,63,64,61,41,44,43,42
79,Cunha  Ern,RC4,Portugal,66,66,66,66,66,63,63,63,49,75,48,41,40,35,39,-,-,-,-
80,Gabeiras  ,RC4,Portugal,66,66,66,66,66,63,63,63,41,57,38,39,34,33,44,-,-,-,-
81,Sousa  Ric,RC4,Portugal,66,66,66,66,66,63,63,63,44,39,39,38,31,40,37,-,-,-,-
82,Mesquita  ,RC4,Portugal,66,66,66,66,66,63,63,63,60,49,57,51,46,41,43,-,-,-,-
83,Nunes  Dan,RC4,Portugal,66,66,66,66,66,63,63,63,75,69,69,-,-,-,-,-,-,-,-
84,Henriques ,RC4,Portugal,66,66,66,66,66,63,63,63,50,62,45,43,34,35,42,-,-,-,-
85,Cardeira  ,RC4,Portugal,66,66,66,66,66,63,63,63,59,51,53,50,48,46,46,-,-,-,-
86,Gómez  Ger,-,Portugal,62,59,59,56,54,47,44,43,70,74,75,-,-,-,-,-,-,-,-
87,Korzun  An,RC4,Portugal,66,66,66,66,66,63,63,63,51,69,69,-,-,-,-,-,-,-,-
88,Miranda  H,RC4,Portugal,57,55,54,52,48,40,46,37,54,69,69,66,63,64,61,43,39,40,36
89,Antunes  P,RC4,Portugal,66,66,66,66,66,63,63,63,45,54,40,40,34,32,34,-,-,-,-
91,Serratosa ,RC4,Portugal,66,66,66,66,66,63,63,63,63,69,69,66,-,-,-,-,-,-,-
92,Roque  Pau,RC4,Portugal,66,66,66,66,66,63,63,63,61,55,54,52,50,48,41,-,-,-,-
93,Lopes  Hug,RC4,Portugal,66,66,66,66,66,63,63,63,43,43,47,45,-,-,-,-,-,-,-
94,Nõgene  J.,RC4,Portugal,66,66,66,66,66,63,63,63,52,69,69,-,-,-,-,-,-,-,-
95,Pérez  Ser,RC4,Portugal,66,66,66,66,66,63,63,63,47,44,41,36,39,34,38,-,-,-,-
98,Semenov  A,RC4,Portugal,66,66,66,66,66,63,63,63,55,61,52,49,44,44,40,-,-,-,-
99,Blanco  Pa,RC4,Portugal,66,66,66,66,66,63,63,63,62,50,69,66,63,64,61,44,43,42,41
100,Pereira  M,RC4,Portugal,66,66,66,66,66,63,63,63,69,53,56,58,49,51,49,48,48,46,45
101,Gulbinas  ,RC5,Portugal,61,61,61,57,55,49,45,81,71,68,62,59,61,53,50,50,49,48,47
102,Salin  Max,RC5,Portugal,60,57,57,55,50,46,42,45,66,56,58,57,51,49,48,46,46,44,44
