,,,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
#40,Boland Eamonn - MJ Citroën C3 Rally2,RC2,15:07.5,17:54.4,6:53.6,6:02.4,14:52.3,25:41.2,6:56.0,6:26.7,16:04.2,5:42.3,7:53.6,10:15.4,15:37.6,5:41.4,7:18.8,10:54.2,8:20.1,10:20.7,8:21.7,10:13.0
#41,Creighton William - Regan Liam Ford Fiesta Rally3,RC3,13:47.8,16:56.4,6:12.5,5:19.3,13:14.2,17:06.4,6:07.7,5:21.4,-,-,-,-,-,-,-,-,8:04.3,9:10.1,7:57.8,9:07.4
#41,Creighton William - Regan Liam Ford Fiesta Rally3  [SR],RC3,-,-,-,-,-,-,-,-,24:34.4 [N],15:10.9 [N],16:44.7 [N],19:46.2 [N],25:02.9 [N],15:11.0 [N],17:04.2 [N],20:17.8 [N],-,-,-,-
#44,Pellier Laurent - Pelamourgues M. Ford Fiesta Rally3,RC3,13:32.4,16:56.9,6:13.3,5:18.5,13:33.0,17:07.6,6:07.9,5:25.1,14:34.4,5:23.1,6:44.7,9:46.2,17:27.2,5:50.3,7:12.4,10:30.2,9:02.4,10:46.0,-,-
#45,Domínguez Diego - Peñate Rogelio Ford Fiesta Rally3,RC3,14:07.2,17:30.4,6:31.5,5:34.7,13:50.7,17:36.7,6:22.7,5:36.9,15:01.2,5:24.4,7:07.5,10:00.5,-,-,-,-,8:24.6,9:55.3,8:06.1,9:28.4
#45,Domínguez Diego - Peñate Rogelio Ford Fiesta Rally3  [SR],RC3,-,-,-,-,-,-,-,-,-,-,-,-,25:02.9 [N],15:11.0 [N],17:04.2 [N],20:17.8 [N],-,-,-,-
#46,Hernández Hernández R. - Sanjuan de Eusebio R. Ford Fiesta Rally3,RC3,14:23.3,17:45.0,6:31.4,5:38.8,13:42.7,17:33.1,6:28.2,5:46.6,15:31.0,5:49.7,-,-,-,-,-,-,8:23.2,10:02.6,8:02.9,9:32.2
#46,Hernández Hernández R. - Sanjuan de Eusebio R. Ford Fiesta Rally3  [SR],RC3,-,-,-,-,-,-,-,-,-,-,16:44.7 [N],19:46.2 [N],25:02.9 [N],15:11.0 [N],17:04.2 [N],20:17.8 [N],-,-,-,-
#47,Blach Núñez Roberto - Barreiro M. Ford Fiesta Rally3,RC3,14:10.7,17:15.1,6:30.6,5:31.6,-,-,-,-,15:10.1,5:22.0,7:02.3,9:53.0,15:02.9,5:20.2,7:04.2,10:17.8,8:17.9,9:58.6,8:22.1,10:03.1
#47,Blach Núñez Roberto - Barreiro M. Ford Fiesta Rally3  [SR],RC3,-,-,-,-,23:14.2 [N],27:06.4 [N],16:07.7 [N],15:21.4 [N],-,-,-,-,-,-,-,-,-,-,-,-
#48,Rensonnet Tom - Dumont Loïc Ford Fiesta Rally3,RC3,14:12.0,17:45.9,6:20.8,5:37.3,14:09.8,18:03.0,6:18.3,5:36.0,15:05.5,5:10.9,7:05.9,9:53.1,15:10.3,5:11.0,7:19.2,10:18.4,8:50.7,9:54.5,9:01.5,9:42.4
#49,Anwar Hamza - Brady Martin Ford Fiesta Rally3,RC3,18:34.3,20:29.0,7:40.2,6:24.3,16:09.6,19:56.7,7:23.9,6:31.3,17:19.5,6:13.4,7:43.1,10:52.8,17:52.0,-,-,-,9:14.5,11:17.6,9:01.0,10:44.6
#49,Anwar Hamza - Brady Martin Ford Fiesta Rally3  [SR],RC3,-,-,-,-,-,-,-,-,-,-,-,-,-,15:11.0 [N],17:04.2 [N],20:17.8 [N],-,-,-,-
