Pos.,No,Crew,Gr/Cl,ss_time,Diff,Speed,ss
40,#67,Uger Sergey - Uger Obolenskaya M. Ford Fiesta R5,RC2,10:08.9,+2:10.4 +8.5,97.4 7.91,14
41,#45,Cobbe Luciano - Mometti Roberto Škoda Fabia Rally2 evo,RC2,10:20.5,+2:22.0 +11.6,95.6 8.62,14
42,#56,Rensonnet Tom - Dumont Loïc Ford Fiesta Rally3,RC3,12:35.8,+4:37.3 +2:15.3,78.5 16.8,14
43,#41,Miele Mauro - Beltrame Luca Škoda Fabia RS Rally2,RC2,14:18.2,+6:19.7 +1:42.4,69.1 23.0,14
44,#28,Linnamäe Georg - Morgan James Hyundai i20 N Rally2  [SR],RC2,18:23.0 [N],+10:24.5 +4:04.8,53.8 37.9,14
44,#34,Martínez Fontena J. - Alvarez Nicholson A. Škoda Fabia Rally2 evo  [SR],RC2,18:23.0 [N],+10:24.5 +0.0,53.8 37.9,14
46,#63,Vaher Jaspar - Mitendorf Evelin Ford Fiesta Rally4  [SR],RC4,19:39.5 [N],+11:41.0 +1:16.5,50.3 42.5,14
46,#64,Sei Karl-Markus - Leotoots Martin Peugeot 208 Rally4  [SR],RC4,19:39.5 [N],+11:41.0 +0.0,50.3 42.5,14
46,#66,Lempu Kevin - Rahumeel Andre Ford Fiesta Rally4  [SR],RC4,19:39.5 [N],+11:41.0 +0.0,50.3 42.5,14
49,#30,Zaldivar F. - Der Ohannesian M. Hyundai i20 N Rally2,RC2,29:21.8,+21:23.3 +9:42.3,33.7 77.9,14
1,#69,Rovanperä Kalle - Halttunen Jonne Toyota GR Yaris Rally1,RC1 M,5:48.7,,121.1,15
2,#33,Evans Elfyn - Martin Scott Toyota GR Yaris Rally1,RC1 M,5:51.1,+2.4 +2.4,120.3 0.20,15
3,#11,Neuville Thierry - Wydaeghe Martijn Hyundai i20 N Rally1,RC1 M,5:51.9,+3.2 +0.8,120.0 0.27,15
4,#4,Lappi Esapekka - Ferm Janne Hyundai i20 N Rally1,RC1 M,5:52.1,+3.4 +0.2,119.9 0.29,15
5,#8,Tänak Ott - Järveoja Martin Ford Puma Rally1,RC1 M,5:52.7,+4.0 +0.6,119.7 0.34,15
6,#3,Suninen Teemu - Markkula Mikko Hyundai i20 N Rally1,RC1 M,5:53.3,+4.6 +0.6,119.5 0.39,15
7,#7,Loubet Pierre-Louis - Gilsoul N. Ford Puma Rally1,RC1 M,5:55.4,+6.7 +2.1,118.8 0.57,15
8,#18,Katsuta Takamoto - Johnston Aaron Toyota GR Yaris Rally1,RC1 M,5:58.1,+9.4 +2.7,117.9 0.80,15
9,#20,Solberg Oliver - Edmondson Elliott Škoda Fabia RS Rally2,RC2,6:08.6,+19.9 +10.5,114.6 1.70,15
10,#24,Pajari Sami - Mälkönen Enni Škoda Fabia RS Rally2,RC2,6:11.7,+23.0 +3.1,113.6 1.96,15
11,#25,Kaur Egon - Viilo Jakko Škoda Fabia RS Rally2,RC2,6:11.8,+23.1 +0.1,113.6 1.97,15
12,#23,Mikkelsen Andreas - Eriksen T. Škoda Fabia RS Rally2,RC2,6:11.9,+23.2 +0.1,113.5 1.98,15
13,#22,Lindholm Emil - Hämäläinen Reeta Hyundai i20 N Rally2,RC2,6:12.4,+23.7 +0.5,113.4 2.02,15
14,#21,Greensmith Gus - Andersson Jonas Škoda Fabia RS Rally2,RC2,6:12.5,+23.8 +0.1,113.4 2.03,15
15,#29,Marczyk Mikołaj - Gospodarczyk S. Škoda Fabia RS Rally2,RC2,6:13.3,+24.6 +0.8,113.1 2.10,15
16,#27,Bulacia Marco - Vallejo Diego Škoda Fabia RS Rally2,RC2,6:13.6,+24.9 +0.3,113.0 2.12,15
17,#31,McErlean Josh - Fulton James Hyundai i20 N Rally2,RC2,6:14.5,+25.8 +0.9,112.8 2.20,15
18,#30,Zaldivar F. - Der Ohannesian M. Hyundai i20 N Rally2,RC2,6:15.9,+27.2 +1.4,112.3 2.32,15
19,#26,Virves Robert - Drew Craig Ford Fiesta Rally2,RC2,6:16.6,+27.9 +0.7,112.1 2.38,15
20,#35,Bulacia B. - Coronado Jiménez A. Škoda Fabia RS Rally2,RC2,6:18.9,+30.2 +2.3,111.4 2.57,15
21,#36,Fernández Emilio - Rozada Borja Škoda Fabia Rally2 evo,RC2,6:20.2,+31.5 +1.3,111.1 2.69,15
22,#37,Koik Priit - Tamm Kristo Škoda Fabia Rally2 evo,RC2,6:22.7,+34.0 +2.5,110.3 2.90,15
23,#38,Kasari Kaspar - Raidma Rainis Škoda Fabia R5,RC2,6:27.5,+38.8 +4.8,109.0 3.31,15
24,#47,Korhonen Roope - Viinikka Anssi Ford Fiesta Rally3,RC3,6:34.1,+45.4 +6.6,107.2 3.87,15
25,#52,Creighton William - Regan Liam Ford Fiesta Rally3,RC3,6:34.9,+46.2 +0.8,106.9 3.94,15
26,#50,Korhola Benjamin - Kelander Pekka Ford Fiesta Rally3,RC3,6:35.8,+47.1 +0.9,106.7 4.02,15
27,#54,Pellier Laurent - Bronner Kévin Ford Fiesta Rally3,RC3,6:36.9,+48.2 +1.1,106.4 4.11,15
28,#58,Munster Grégoire - Louka Louis Ford Fiesta Rally3,RC3,6:38.7,+50.0 +1.8,105.9 4.26,15
29,#49,Türkkan Ali - Erdener Burak Ford Fiesta Rally3,RC3,6:39.2,+50.5 +0.5,105.8 4.31,15
30,#40,Kremer Armin - Kremer Ella Škoda Fabia RS Rally2,RC2,6:42.4,+53.7 +3.2,104.9 4.58,15
31,#48,Herranen Toni - Lukka Mikko Ford Fiesta Rally3,RC3,6:43.0,+54.3 +0.6,104.8 4.63,15
32,#62,Kohn Filip - Woodburn Tom Ford Fiesta Rally3,RC3,6:45.1,+56.4 +2.1,104.2 4.81,15
33,#39,Villanueva A. - Murado González J. Škoda Fabia RS Rally2,RC2,6:45.2,+56.5 +0.1,104.2 4.82,15
34,#53,Domínguez Diego - Peñate Rogelio Ford Fiesta Rally3,RC3,6:48.7,+1:00.0 +3.5,103.3 5.12,15
35,#57,Kelly Eamonn - Mohan Conor Ford Fiesta Rally3,RC3,6:49.0,+1:00.3 +0.3,103.2 5.14,15
36,#60,Mauro Sánchez A. - Sanjuan de Eusebio D. Škoda Fabia Rally2 evo,RC2,6:52.8,+1:04.1 +3.8,102.3 5.46,15
37,#56,Rensonnet Tom - Dumont Loïc Ford Fiesta Rally3,RC3,6:57.8,+1:09.1 +5.0,101.1 5.89,15
38,#55,Blach Roberto - Barreiro Mauro Ford Fiesta Rally3,RC3,7:00.5,+1:11.8 +2.7,100.4 6.12,15
39,#65,Jürgenson Romet - Oja Siim Ford Fiesta Rally4,RC4,7:01.0,+1:12.3 +0.5,100.3 6.16,15
40,#41,Miele Mauro - Beltrame Luca Škoda Fabia RS Rally2,RC2,7:05.9,+1:17.2 +4.9,99.2 6.58,15
41,#51,Cumiskey Brendan - Kierans Arthur Ford Fiesta Rally3,RC3,7:13.5,+1:24.8 +7.6,97.4 7.23,15
42,#67,Uger Sergey - Uger Obolenskaya M. Ford Fiesta R5,RC2,7:19.1,+1:30.4 +5.6,96.2 7.71,15
43,#59,Anwar Hamza - Kihurani Alexander Ford Fiesta Rally3,RC3,7:21.2,+1:32.5 +2.1,95.7 7.89,15
44,#45,Cobbe Luciano - Mometti Roberto Škoda Fabia Rally2 evo,RC2,7:28.2,+1:39.5 +7.0,94.2 8.48,15
45,#28,Linnamäe Georg - Morgan James Hyundai i20 N Rally2  [SR],RC2,16:08.6 [N],+10:19.9 +8:40.4,43.6 52.9,15
45,#34,Martínez Fontena J. - Alvarez Nicholson A. Škoda Fabia Rally2 evo  [SR],RC2,16:08.6 [N],+10:19.9 +0.0,43.6 52.9,15
47,#63,Vaher Jaspar - Mitendorf Evelin Ford Fiesta Rally4  [SR],RC4,17:01.0 [N],+11:12.3 +52.4,41.4 57.3,15
47,#64,Sei Karl-Markus - Leotoots Martin Peugeot 208 Rally4  [SR],RC4,17:01.0 [N],+11:12.3 +0.0,41.4 57.3,15
47,#66,Lempu Kevin - Rahumeel Andre Ford Fiesta Rally4  [SR],RC4,17:01.0 [N],+11:12.3 +0.0,41.4 57.3,15
1,#69,Rovanperä Kalle - Halttunen Jonne Toyota GR Yaris Rally1,RC1 M,7:49.0,,126.5,16
