0,,,,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.
31,McErlean  ,RC2,Estonia,14,21,20,22,18,18,18,17,16,20,17,17,18,18,17,18,15,17,18,17,19
33,Evans  Elf,RC1,Estonia,2,6,4,6,3,3,6,2,3,3,3,3,4,4,2,4,4,3,2,4,2
34,Martínez  ,RC2,Estonia,22,26,24,30,23,23,27,25,25,28,23,24,46,44,45,45,45,21,21,20,21
35,Bulacia  B,RC2,Estonia,16,20,21,21,19,19,26,19,20,23,18,23,21,19,20,19,19,22,23,21,20
36,Fernàndez ,RC2,Estonia,18,19,23,20,21,20,16,20,22,19,19,20,23,20,21,20,19,20,-,-,-
37,Koik  Prii,RC2,Estonia,33,22,22,23,22,22,20,22,23,22,49,22,22,21,22,22,27,25,25,22,22
38,Kasari  Ka,RC2,Estonia,30,28,28,24,27,28,33,26,31,24,26,35,25,26,23,28,22,24,29,23,25
39,Villanueva,RC2,Estonia,37,33,36,38,26,30,36,27,37,33,33,33,32,33,33,35,31,34,34,34,34
40,Kremer  Ar,RC2,Estonia,49,24,27,32,47,46,46,46,35,46,29,36,30,30,30,31,33,48,35,36,30
41,Miele  Mau,RC2,Estonia,32,34,34,35,31,29,35,30,29,41,42,39,29,43,40,42,39,40,39,37,35
45,Cobbe  Luc,RC2,Estonia,44,46,47,49,45,44,44,44,48,48,46,47,44,41,44,44,37,46,46,45,43
47,Korhonen  ,RC3,Estonia,29,29,26,25,25,24,23,24,30,26,28,29,26,27,24,27,30,30,24,29,28
48,Herranen  ,RC3,Estonia,34,30,29,27,32,31,24,28,33,30,32,31,31,28,31,29,32,29,31,30,37
49,Türkkan  A,RC3,Estonia,35,37,35,36,33,34,32,39,34,32,31,30,33,29,29,30,29,32,28,32,32
50,Korhola  B,RC3,Estonia,22,25,25,26,24,48,49,49,26,29,27,25,28,23,26,24,28,28,30,26,27
51,Cumiskey  ,RC3,Estonia,42,41,40,46,42,43,43,43,47,45,44,46,42,39,41,40,40,45,45,44,42
52,Creighton ,RC3,Estonia,25,27,30,29,49,49,48,48,24,25,25,26,24,22,25,25,24,23,22,25,23
53,Dominguez ,RC3,Estonia,24,35,31,34,30,27,25,31,32,34,34,32,34,32,34,33,23,30,32,31,31
54,Pellier  L,RC3,Estonia,26,32,32,31,29,25,19,29,27,31,24,28,27,24,27,26,26,27,27,24,26
55,Blach  Rob,RC3,Estonia,41,39,46,43,36,40,39,42,46,44,43,45,41,37,38,39,42,43,43,42,41
56,Rensonnet ,RC3,Estonia,40,48,43,44,40,38,38,34,41,40,40,42,39,42,37,38,35,38,40,38,38
57,Kelly  Eam,RC3,Estonia,36,49,39,41,35,33,40,33,39,38,37,40,37,31,35,34,36,37,36,33,-
58,Munster  G,RC3,Estonia,28,31,33,28,28,26,17,23,27,27,30,27,36,24,28,23,25,26,26,27,24
59,Anwar  Ham,RC3,Estonia,38,44,44,45,38,45,42,40,43,43,41,44,43,38,43,41,41,42,41,41,40
60,Mauro  Ale,RC2,Estonia,31,43,41,39,39,35,34,37,36,35,35,34,38,35,36,32,34,33,33,28,29
62,Kohn  Fili,RC3,Estonia,39,40,38,40,34,32,30,32,38,39,36,38,35,34,32,36,38,35,37,35,33
63,Vaher  Jas,RC4,Estonia,45,36,37,33,46,36,28,35,42,37,39,43,47,46,47,47,47,36,-,-,-
64,Sei  Karl-,RC4,Estonia,43,38,42,37,37,37,31,36,40,36,38,37,47,46,47,47,47,39,38,39,36
65,Jürgenson ,RC4,Estonia,46,42,45,42,41,39,37,38,44,42,45,41,40,36,39,37,43,41,42,40,39
66,Lempu  Kev,RC4,Estonia,47,45,49,47,43,41,41,41,45,49,48,49,47,46,47,47,47,-,-,-,-
67,Uger  Serg,RC2,Estonia,48,47,48,48,44,42,45,45,49,47,47,48,45,40,42,43,44,47,44,46,44
69,Rovanperä ,RC1,Estonia,4,3,3,3,1,1,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1
