0,,,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.
ss,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
No.,Driver / Co-driver Vehicle,Group,,,,,,,,,,,,,,,,,,,,,
26,Virves  Robert  /  Drew  Craig  Ford Fiesta Rally2 MkII,RC2,16,13,14,17,12,16,13,16,15,18,16,18,20,16,19,17,17,18,20,18,17
27,Bulacia  Marco  /  Vallejo  Diego  Škoda Fabia RS Rally2,RC2,20,16,17,15,14,10,21,13,17,15,15,13,12,13,16,15,14,12,15,13,13
28,Linnamäe  Georg  /  Morgan  James  Hyundai i20 N Rally2,RC2,10,17,11,9,15,14,14,15,18,11,14,14,12,44,45,45,45,16,16,16,14
29,Marczyk  Miko  /  Gospodarczyk  S.  Škoda Fabia RS Rally2,RC2,9,23,18,13,16,15,15,12,19,13,13,10,16,10,15,11,16,15,17,11,11
30,Zaldivar  F.  /  Der Ohannesian  M.  Hyundai i20 N Rally2,RC2,19,18,19,19,20,21,22,14,21,17,20,19,19,49,18,21,21,19,19,19,18
31,McErlean  Joshua  /  Fulton  James  Hyundai i20 N Rally2,RC2,14,21,20,22,18,18,18,17,16,20,17,17,18,18,17,18,15,17,18,17,19
33,Evans  Elfyn  /  Martin  Scott  Toyota GR Yaris Rally1 Hybrid,RC1,2,6,4,6,3,3,6,2,3,3,3,3,4,4,2,4,4,3,2,4,2
34,Martínez  Jorge  /  Álvarez  A.  Škoda Fabia Rally2 Evo,RC2,22,26,24,30,23,23,27,25,25,28,23,24,46,44,45,45,45,21,21,20,21
35,Bulacia  Bruno  /  Coronado  Axel  Škoda Fabia RS Rally2,RC2,16,20,21,21,19,19,26,19,20,23,18,23,21,19,20,19,19,22,23,21,20
36,Fernàndez  E.  /  Rozada  Borja  Škoda Fabia Rally2 Evo,RC2,18,19,23,20,21,20,16,20,22,19,19,20,23,20,21,20,19,20,-,-,-
37,Koik  Priit  /  Tamm  Kristo  Škoda Fabia Rally2 Evo,RC2,33,22,22,23,22,22,20,22,23,22,49,22,22,21,22,22,27,25,25,22,22
38,Kasari  Kaspar  /  Raidma  Rainis  Škoda Fabia R5,RC2,30,28,28,24,27,28,33,26,31,24,26,35,25,26,23,28,22,24,29,23,25
39,Villanueva  A.  /  Murado  José  Škoda Fabia RS Rally2,RC2,37,33,36,38,26,30,36,27,37,33,33,33,32,33,33,35,31,34,34,34,34
40,Kremer  Armin  /  Kremer  Ella  Škoda Fabia RS Rally2,RC2,49,24,27,32,47,46,46,46,35,46,29,36,30,30,30,31,33,48,35,36,30
41,Miele  Mauro  /  Beltrame  Luca  Škoda Fabia RS Rally2,RC2,32,34,34,35,31,29,35,30,29,41,42,39,29,43,40,42,39,40,39,37,35
45,Cobbe  Luciano  /  Mometti  Roberto  Škoda Fabia Rally2 Evo,RC2,44,46,47,49,45,44,44,44,48,48,46,47,44,41,44,44,37,46,46,45,43
47,Korhonen  Roope  /  Viinikka  Anssi  Ford Fiesta Rally3,RC3,29,29,26,25,25,24,23,24,30,26,28,29,26,27,24,27,30,30,24,29,28
48,Herranen  Toni  /  Lukka  Mikko  Ford Fiesta Rally3,RC3,34,30,29,27,32,31,24,28,33,30,32,31,31,28,31,29,32,29,31,30,37
49,Türkkan  Ali  /  Erdener  Burak  Ford Fiesta Rally3,RC3,35,37,35,36,33,34,32,39,34,32,31,30,33,29,29,30,29,32,28,32,32
50,Korhola  B.  /  Kelander  Pekka  Ford Fiesta Rally3,RC3,22,25,25,26,24,48,49,49,26,29,27,25,28,23,26,24,28,28,30,26,27
51,Cumiskey  B.  /  Kierans  Arthur  Ford Fiesta Rally3,RC3,42,41,40,46,42,43,43,43,47,45,44,46,42,39,41,40,40,45,45,44,42
52,Creighton  W.  /  Regan  Liam  Ford Fiesta Rally3,RC3,25,27,30,29,49,49,48,48,24,25,25,26,24,22,25,25,24,23,22,25,23
53,Dominguez  Diego  /  Peñate  Rogelio  Ford Fiesta Rally3,RC3,24,35,31,34,30,27,25,31,32,34,34,32,34,32,34,33,23,30,32,31,31
