,,,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
#45,Cobbe Luciano - Mometti Roberto Škoda Fabia Rally2 evo,RC2,3:27.4,16:40.1,11:17.3,13:07.7,17:36.8,12:01.1,13:36.9,5:40.8,7:14.4,7:27.3,7:09.5,7:16.2,7:24.6,10:20.5,7:28.2,10:15.1,3:23.6,7:41.2,12:12.5,7:35.2,12:08.0
#47,Korhonen Roope - Viinikka Anssi Ford Fiesta Rally3,RC3,3:17.1,14:55.7,9:56.8,11:21.3,15:10.9,10:07.7,11:46.7,5:02.0,6:27.8,6:28.5,6:25.5,6:28.4,6:39.9,9:02.2,6:34.1,8:55.3,3:16.2,6:59.9,10:42.6,6:53.9,10:43.7
#48,Herranen Toni - Lukka Mikko Ford Fiesta Rally3,RC3,3:19.2,15:00.3,10:09.5,11:25.4,15:33.2,10:30.1,11:48.6,5:08.4,6:30.9,6:35.7,6:28.4,6:31.7,6:47.3,9:05.5,6:43.0,8:59.9,3:18.3,6:56.9,10:59.3,6:54.5,11:12.9
#49,Türkkan Ali - Erdener Burak Ford Fiesta Rally3,RC3,3:19.3,15:31.7,10:23.5,11:47.2,15:45.8,10:39.5,12:08.2,5:24.5,6:33.0,6:36.8,6:28.0,6:30.0,6:49.7,9:11.4,6:39.2,9:00.9,3:16.1,7:02.7,10:48.9,6:57.5,10:57.7
#50,Korhola Benjamin - Kelander Pekka Ford Fiesta Rally3,RC3,3:13.9,14:46.9,9:55.1,11:24.0,15:03.3,-,-,-,6:24.8,6:33.8,6:25.3,6:26.1,6:41.3,8:58.1,6:35.8,8:50.1,3:16.0,6:54.8,10:50.6,6:48.4,10:37.1
#50,Korhola Benjamin - Kelander Pekka Ford Fiesta Rally3  [SR],RC3,-,-,-,-,-,20:07.7 [N],21:46.7,15:02.0 [N],-,-,-,-,-,-,-,-,-,-,-,-,-
#51,Cumiskey Brendan - Kierans Arthur Ford Fiesta Rally3,RC3,3:25.7,15:51.6,10:54.3,12:25.3,16:57.4,11:41.7,12:58.7,5:29.6,6:58.2,7:11.3,6:58.5,7:08.6,7:18.3,10:00.4,7:13.5,9:45.6,3:28.1,7:32.6,12:05.4,7:23.1,11:54.9
#52,Creighton William - Regan Liam Ford Fiesta Rally3,RC3,3:14.8,14:53.9,10:09.7,11:28.0,25:25.0,-,-,-,6:20.9,6:28.3,6:23.5,6:26.6,6:36.8,8:54.9,6:34.9,8:50.7,3:14.6,6:50.1,10:37.6,6:45.6,10:29.4
#52,Creighton William - Regan Liam Ford Fiesta Rally3  [SR],RC3,-,-,-,-,-,20:10.5 [N],21:35.5,15:01.6 [N],-,-,-,-,-,-,-,-,-,-,-,-,-
#53,Domínguez Diego - Peñate Rogelio Ford Fiesta Rally3,RC3,3:14.3,15:16.7,10:13.7,11:38.9,15:31.2,10:17.6,11:51.4,5:15.5,6:30.4,6:39.6,6:30.7,6:32.4,6:49.9,9:20.8,6:48.7,9:08.2,3:14.0,6:59.9,10:59.8,6:55.8,10:54.1
#54,Pellier Laurent - Bronner Kévin Ford Fiesta Rally3,RC3,3:15.4,15:05.1,10:17.2,11:31.2,15:27.8,10:10.5,11:37.9,5:08.5,6:25.4,6:35.9,6:23.2,6:27.4,6:40.4,9:01.5,6:36.9,8:52.5,3:15.8,6:54.4,10:47.5,6:44.1,10:32.2
#55,Blach Roberto - Barreiro Mauro Ford Fiesta Rally3,RC3,3:25.1,15:39.9,11:11.7,12:11.6,16:22.5,11:19.5,12:27.4,5:28.1,6:56.0,6:59.4,6:58.4,6:56.0,7:05.0,9:40.5,7:00.5,9:36.7,3:29.1,7:26.7,11:40.8,7:22.7,11:38.9
#56,Rensonnet Tom - Dumont Loïc Ford Fiesta Rally3,RC3,3:24.2,19:22.9,11:01.5,12:14.1,16:37.5,11:03.8,12:19.9,5:19.3,6:45.9,6:50.5,6:47.9,6:48.4,7:00.6,12:35.8,6:57.8,9:33.6,3:19.9,7:13.1,11:22.7,7:07.9,11:13.2
#57,Kelly Eamonn - Mohan Conor Ford Fiesta Rally3,RC3,3:21.0,45:37.3,10:42.9,11:59.9,16:00.6,10:39.4,12:28.7,5:19.2,6:39.9,6:45.4,6:38.4,6:43.1,6:58.6,9:20.5,6:49.0,9:09.7,3:22.8,7:10.0,11:09.4,6:58.9,-
#58,Munster Grégoire - Louka Louis Ford Fiesta Rally3,RC3,3:16.8,15:01.2,10:19.3,11:26.2,15:25.0,10:15.4,11:35.5,5:01.6,6:25.4,6:28.8,6:27.1,6:27.0,6:52.6,9:01.5,6:38.7,8:49.1,3:15.0,6:53.0,10:44.6,6:49.1,10:29.8
#59,Anwar Hamza - Kihurani Alexander Ford Fiesta Rally3,RC3,3:23.3,15:59.5,11:03.8,12:23.0,16:34.8,12:01.7,12:58.1,5:24.7,6:50.8,6:55.8,6:51.9,6:53.1,7:20.3,9:49.0,7:21.2,9:45.7,3:29.0,7:20.7,11:25.1,7:20.9,11:34.6
#60,Mauro Sánchez A. - Sanjuan de Eusebio D. Škoda Fabia Rally2 evo,RC2,3:18.7,15:56.1,10:54.7,11:55.1,16:35.6,10:42.2,12:11.8,5:21.6,6:34.9,6:41.8,6:34.1,6:33.8,7:00.3,9:29.2,6:52.8,9:05.5,3:19.4,7:03.5,11:01.4,6:52.6,10:48.0
#62,Kohn Filip - Woodburn Tom Ford Fiesta Rally3,RC3,3:23.6,15:51.3,10:39.2,11:55.3,15:50.7,10:32.6,12:06.3,5:18.1,6:37.6,6:47.9,6:34.3,6:38.5,6:50.1,9:23.3,6:45.1,9:11.9,3:23.8,7:06.0,11:11.4,7:01.6,11:00.6
#63,Vaher Jaspar - Mitendorf Evelin Ford Fiesta Rally4,RC4,3:30.6,15:21.9,10:35.3,11:38.3,17:40.4,10:49.3,11:59.5,5:19.8,6:48.1,6:44.2,6:42.0,6:52.1,-,-,-,-,-,7:09.8,-,-,-
#63,Vaher Jaspar - Mitendorf Evelin Ford Fiesta Rally4  [SR],RC4,-,-,-,-,-,-,-,-,-,-,-,-,17:04.0 [N],19:39.5 [N],17:01.0 [N],19:25.2 [N],13:32.4 [N],-,-,-,-
#64,Sei Karl-Markus - Leotoots Martin Peugeot 208 Rally4,RC4,3:27.3,15:38.5,11:00.2,11:50.9,16:24.1,10:56.8,12:07.1,5:20.4,6:45.0,6:42.5,6:39.5,6:36.5,-,-,-,-,-,7:14.9,11:19.7,7:16.9,11:07.8
#64,Sei Karl-Markus - Leotoots Martin Peugeot 208 Rally4  [SR],RC4,-,-,-,-,-,-,-,-,-,-,-,-,17:04.0 [N],19:39.5 [N],17:01.0 [N],19:25.2 [N],13:32.4 [N],-,-,-,-
#65,Jürgenson Romet - Oja Siim Ford Fiesta Rally4,RC4,3:31.0,15:53.1,11:11.0,12:01.7,16:54.1,11:08.7,12:19.3,5:23.6,6:51.0,6:51.3,7:08.0,6:45.3,7:04.0,9:39.5,7:01.0,9:25.2,3:32.4,7:18.6,11:27.4,7:19.9,11:14.3
#66,Lempu Kevin - Rahumeel Andre Ford Fiesta Rally4,RC4,3:35.4,16:01.3,12:08.5,12:32.3,17:09.9,11:20.1,12:29.9,5:26.4,6:55.9,-,-,-,-,-,-,-,-,-,-,-,-
#66,Lempu Kevin - Rahumeel Andre Ford Fiesta Rally4  [SR],RC4,-,-,-,-,-,-,-,-,-,16:42.5 [N],16:39.5 [N],16:36.5 [N],17:04.0 [N],19:39.5 [N],17:01.0 [N],19:25.2 [N],13:32.4 [N],-,-,-,-
#67,Uger Sergey - Uger Obolenskaya M. Ford Fiesta R5,RC2,3:39.4,17:16.8,11:49.4,12:39.7,17:23.4,11:31.5,15:04.1,5:51.1,7:14.6,7:18.4,7:13.7,7:16.9,7:33.6,10:08.9,7:19.1,10:15.0,3:58.2,7:48.2,12:03.1,7:39.6,12:16.1
#69,Rovanperä Kalle - Halttunen Jonne Toyota GR Yaris Rally1,RC1 M,3:03.2,13:25.2,8:49.9,10:19.5,13:18.7,8:46.1,10:05.7,4:33.9,5:39.3,5:44.7,5:34.2,5:37.6,5:55.1,7:58.5,5:48.7,7:49.0,3:00.0,6:00.0,9:23.6,5:55.3,9:15.0
#7,Loubet Pierre-Louis - Gilsoul N. Ford Puma Rally1,RC1 M,3:07.5,13:32.9,8:58.2,10:22.9,13:28.7,8:59.1,10:05.3,4:36.4,5:49.5,5:52.7,5:38.2,5:46.4,6:05.7,8:19.6,5:55.4,8:04.1,3:07.2,6:13.1,9:38.2,6:04.1,9:22.9
#8,Tänak Ott - Järveoja Martin Ford Puma Rally1,RC1 M,3:02.5,13:16.1,8:47.4,10:15.0,13:24.3,8:49.6,10:02.2,4:32.1,5:46.6,5:51.6,5:37.7,5:44.6,6:02.3,8:15.8,5:52.7,7:57.6,3:06.4,6:09.3,9:32.7,6:02.7,9:19.5
