,,,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4,5,6,7,8,9,10,11,13
No,Crew,Gr/Cl,,,,,,,,,,,,
#73,Hoelbling Luca - Righetti Stefano Škoda Fabia Rally2 evo,RC2,1:42.7,6:45.0,13:47.1,6:15.6 [N],15:13.4,21:11.3,23:14.9,23:24.3,13:20.7 [N],22:40.4,20:07.2,13:47.3
#74,Cărăgui Eugen - Fus R. Citroën C3 Rally2,RC2,1:45.8,6:49.9,14:06.7,6:15.6 [N],15:44.2,22:14.6,24:06.0,20:08.1,13:20.7 [N],23:33.0,20:21.1,15:05.2
#75,Lefkaditis Savvas - Akratos E. Peugeot 208 Rally4,RC4,1:53.1,7:12.4,14:53.1,6:15.6 [N],16:09.7,22:11.7,23:54.6,20:21.0,13:20.7 [N],24:12.3,20:25.0,14:23.0
#76,Chatzimarkos P. - Tsaousoglou M. Peugeot 208 Rally4,RC4,1:50.4,7:04.9,14:16.5,6:15.6 [N],15:50.7,22:29.3,23:29.3,20:25.0,13:20.7 [N],-,-,-
#76,Chatzimarkos P. - Tsaousoglou M. Peugeot 208 Rally4  [SR],RC4,-,-,-,-,-,-,-,-,-,34:12.3 [N],30:25.0 [N],24:20.7 [N]
#77,Plagos Ioannis - Rentis Alkis Ford Fiesta Rally4,RC4,1:50.2,7:15.5,14:59.5,6:15.6 [N],20:41.8,24:27.5,-,-,-,-,-,-
#77,Plagos Ioannis - Rentis Alkis Ford Fiesta Rally4  [SR],RC4,-,-,-,-,-,-,33:29.3 [N],29:59.9 [N],23:20.7 [N],34:12.3 [N],30:25.0 [N],24:20.7 [N]
#78,Papageorgiou Louis - Kougias V. Citroën DS3 R3T Max,RC4,2:28.8,8:52.9,17:34.9,6:15.6 [N],25:01.8,31:01.1,35:55.5,-,-,-,-,-
#78,Papageorgiou Louis - Kougias V. Citroën DS3 R3T Max  [SR],RC4,-,-,-,-,-,-,-,28:10.8 [N],13:20.7 [N],34:12.3 [N],30:25.0 [N],24:20.7 [N]
#79,Fontana Matteo - Arnaboldi A. Peugeot 208 Rally4,RC4,1:49.7,7:06.7,15:43.7,6:15.6 [N],15:40.5,22:07.7,23:49.9,19:59.9,13:20.7 [N],26:25.6,20:33.4,14:20.7
#8,Tänak Ott - Järveoja Martin Ford Puma Rally1,RC1 M,1:33.6,5:38.3,11:24.0,5:35.9 [N],12:51.7,18:01.4,20:03.7,17:33.6,11:03.1,19:19.8,16:55.7,10:49.4
#80,Kalamaras Teo - Labrakis Dimitris Peugeot 208 Rally4,RC4,2:00.4,8:01.1,15:43.5,6:15.6 [N],17:15.7,24:56.3,26:26.4,23:28.8,13:20.7 [N],26:32.8,22:45.9,16:58.6
#81,Panteli C. - Theofanous T. Peugeot 208 R2,RC4,2:04.3,7:26.8,14:49.3,6:15.6 [N],16:56.6,23:03.9,24:29.7,21:37.1,13:20.7 [N],25:41.5,-,-
#81,Panteli C. - Theofanous T. Peugeot 208 R2  [SR],RC4,-,-,-,-,-,-,-,-,-,-,30:25.0 [N],24:20.7 [N]
#82,Kanellopoulos A. - Chalatsis P. Peugeot 208 R2,RC4,2:37.2,8:57.6,18:15.5,6:15.6 [N],20:53.9,31:22.1,39:25.6,26:36.5,-,-,-,-
#82,Kanellopoulos A. - Chalatsis P. Peugeot 208 R2  [SR],RC4,-,-,-,-,-,-,-,-,23:20.7 [N],34:12.3 [N],30:25.0 [N],24:20.7 [N]
#83,Šekuljica Slaven - Petrović Damir Renault Clio Rally5,RC5,1:55.5,8:39.3,18:09.7,6:15.6 [N],19:06.7,27:13.9,29:44.8,24:26.9,13:20.7 [N],-,-,-
#83,Šekuljica Slaven - Petrović Damir Renault Clio Rally5  [SR],RC5,-,-,-,-,-,-,-,-,-,38:11.4 [N],34:03.8 [N],29:10.2 [N]
#84,Parellis Junior - Papandreou A. Renault Clio Rally5,RC5,1:57.7,7:50.4,15:59.9,6:15.6 [N],17:59.5,24:36.1,26:16.7,22:03.3,13:20.7 [N],28:11.4,24:03.8,19:10.2
#85,Kaltsounis Haris - Peridis Andreas Opel Corsa Rally4,RC4,2:34.5,8:59.8,-,-,-,-,33:29.3 [N],29:59.9 [N],23:20.7 [N],34:12.3 [N],30:25.0 [N],24:20.7 [N]
#85,Kaltsounis Haris - Peridis Andreas Opel Corsa Rally4  [SR],RC4,-,-,24:16.5 [N],16:15.6 [N],25:40.5 [N],32:07.7 [N],-,-,-,-,-,-
#9,Serderidis Jourdan - Miclotte F. Ford Puma Rally1,RC1,1:43.5,6:18.5,13:00.7,6:15.5,14:44.9,21:12.0,21:53.5,19:30.6,12:29.0,21:13.5,19:07.7,12:32.8
