Crew,Gr/Cl,ss,Race,date,surface,competition,cou,time_SS_sec
Grossi A.  - C,der 25,2,dOrcia,6-7/04/2024,Gravel,Italy,12,574.6
Tiramani Chris,der 25,2,dOrcia,6-7/04/2024,Gravel,Italy,13,577.6
Marrone Fabriz,Rally2,2,dOrcia,6-7/04/2024,Gravel,Italy,14,580.6
Gianesini Marc,ver 55,2,dOrcia,6-7/04/2024,Gravel,Italy,15,581.3
Vagnini Jader ,Rally2,2,dOrcia,6-7/04/2024,Gravel,Italy,16,582.7
Bizzarri Stefa,ver 55,2,dOrcia,6-7/04/2024,Gravel,Italy,17,584.9
Venturini H.  ,Rally2,2,dOrcia,6-7/04/2024,Gravel,Italy,18,585.6
Taddei Alessan,Rally2,2,dOrcia,6-7/04/2024,Gravel,Italy,19,585.7
Roncoroni Marc,Rally2,2,dOrcia,6-7/04/2024,Gravel,Italy,20,591.9
Cobbe Luciano ,ver 55,2,dOrcia,6-7/04/2024,Gravel,Italy,21,592.2
Romagna Simone,Rally2,2,dOrcia,6-7/04/2024,Gravel,Italy,22,593.7
Fontana Matteo,der 25,2,dOrcia,6-7/04/2024,Gravel,Italy,23,594.8
Ciaramitaro S.,Rally2,2,dOrcia,6-7/04/2024,Gravel,Italy,24,597.0
Dati Emanuele ,Rally2,2,dOrcia,6-7/04/2024,Gravel,Italy,25,597.3
Epis Filippo  ,Rally2,2,dOrcia,6-7/04/2024,Gravel,Italy,26,598.2
Tali Nicola  -,Rally2,2,dOrcia,6-7/04/2024,Gravel,Italy,27,599.3
Squarcialupi M,Rally2,2,dOrcia,6-7/04/2024,Gravel,Italy,28,599.7
Callegaro Fabi,Rally2,2,dOrcia,6-7/04/2024,Gravel,Italy,29,602.5
Zorzi Alessand,Rally2,2,dOrcia,6-7/04/2024,Gravel,Italy,30,603.2
Negri Alessand,N5,2,dOrcia,6-7/04/2024,Gravel,Italy,31,604.8
Marchioro Nico,Rally4,2,dOrcia,6-7/04/2024,Gravel,Italy,32,607.0
Farina Fabio  ,Rally4,2,dOrcia,6-7/04/2024,Gravel,Italy,33,607.7
Cazzaro Andrea,Rally2,2,dOrcia,6-7/04/2024,Gravel,Italy,34,608.9
Prosenc Borut ,Rally4,2,dOrcia,6-7/04/2024,Gravel,Italy,35,609.6
Cazzaro Nicola,Rally4,2,dOrcia,6-7/04/2024,Gravel,Italy,36,614.3
Cuzma Bogdan  ,Rally2,2,dOrcia,6-7/04/2024,Gravel,Italy,37,625.0
Bartolini Davi,Rally4,2,dOrcia,6-7/04/2024,Gravel,Italy,38,626.2
Rigo Riccardo ,N5,2,dOrcia,6-7/04/2024,Gravel,Italy,39,629.3
Barone Jr.  - ,Rally4,2,dOrcia,6-7/04/2024,Gravel,Italy,40,630.2
Marrone Stefan,Rally4,2,dOrcia,6-7/04/2024,Gravel,Italy,41,631.2
Tosetto Paolo ,der 25,2,dOrcia,6-7/04/2024,Gravel,Italy,42,631.5
Caldart Claudi,ver 55,2,dOrcia,6-7/04/2024,Gravel,Italy,43,639.4
Diserò Luca  -,Rally4,2,dOrcia,6-7/04/2024,Gravel,Italy,44,642.9
Leuratti Giorg,Rally4,2,dOrcia,6-7/04/2024,Gravel,Italy,45,644.6
Bizzozero Davi,ver 55,2,dOrcia,6-7/04/2024,Gravel,Italy,46,648.8
Martinelli Sam,R3,2,dOrcia,6-7/04/2024,Gravel,Italy,47,650.5
Pierulivo Leon,Rally4,2,dOrcia,6-7/04/2024,Gravel,Italy,48,657.7
Frisiero Giaco,N5,2,dOrcia,6-7/04/2024,Gravel,Italy,49,661.8
Solitro Fabio ,Rally4,2,dOrcia,6-7/04/2024,Gravel,Italy,50,662.3
Sipsz Mauro  -,ver 55,2,dOrcia,6-7/04/2024,Gravel,Italy,51,667.6
Sotiropoulos N,Rally4,2,dOrcia,6-7/04/2024,Gravel,Italy,52,678.1
Santoni Leonar,ly4/R2,2,dOrcia,6-7/04/2024,Gravel,Italy,53,680.4
Stella Manuele,Rally5,2,dOrcia,6-7/04/2024,Gravel,Italy,54,689.7
Cairoli Mirko ,ver 55,2,dOrcia,6-7/04/2024,Gravel,Italy,55,701.4
Piccardo Andre,ly4/R2,2,dOrcia,6-7/04/2024,Gravel,Italy,56,709.3
Scalzotto Andr,6 Plus,2,dOrcia,6-7/04/2024,Gravel,Italy,57,721.1
Stoppioni Save,ver 55,2,dOrcia,6-7/04/2024,Gravel,Italy,58,724.1
Mobilia Pompil,Rally4,2,dOrcia,6-7/04/2024,Gravel,Italy,59,726.1
Bergamin Jacop,A5,2,dOrcia,6-7/04/2024,Gravel,Italy,60,726.2
Olevano Alessa,ver 55,2,dOrcia,6-7/04/2024,Gravel,Italy,61,737.0
Lani Alessandr,der 25,2,dOrcia,6-7/04/2024,Gravel,Italy,62,737.6
Todeschini Dav,der 25,2,dOrcia,6-7/04/2024,Gravel,Italy,63,740.1
Stocchero Fabi,A5,2,dOrcia,6-7/04/2024,Gravel,Italy,64,741.9
Bernardi Valte,ver 55,2,dOrcia,6-7/04/2024,Gravel,Italy,65,743.5
Papi David  - ,ly4/R2,2,dOrcia,6-7/04/2024,Gravel,Italy,66,756.6
Da Ros Matteo ,N5,2,dOrcia,6-7/04/2024,Gravel,Italy,67,764.2
Bardin Gianni ,Rally5,2,dOrcia,6-7/04/2024,Gravel,Italy,68,779.7
Müller Liam  -,der 25,2,dOrcia,6-7/04/2024,Gravel,Italy,69,781.5
Molinaro Tamar,Female,2,dOrcia,6-7/04/2024,Gravel,Italy,70,
Travaglia Aron,N5,2,dOrcia,6-7/04/2024,Gravel,Italy,71,809.8
Trentin Angelo,ver 55,2,dOrcia,6-7/04/2024,Gravel,Italy,72,809.8
Maspoli Luca  ,N5,2,dOrcia,6-7/04/2024,Gravel,Italy,73,
Bitti Giuseppe,der 25,2,dOrcia,6-7/04/2024,Gravel,Italy,74,
Cocco Giovanni,Rally4,2,dOrcia,6-7/04/2024,Gravel,Italy,75,
