Pos.,No.,,Driver / Co-driver Vehicle,Pos.,SS time Penalty,Total time,Diff.Leader Diff.Prev.,ss
14,27,,Lefebvre  S. /  Malfoy  Andy  Toyota GR Yaris Rally2,RC2 6,00:13:17.9,00:13:17.9,00:01:05.0 00:00:05.4,1
15,24,,Ciamin  Nicolas /  Roche  Yannick  Hyundai i20 N Rally2,RC2 7,00:13:19.0,00:13:19.0,00:01:06.1 00:00:01.1,1
16,26,,Ingram  Chris /  McKillop  Hannah  Škoda Fabia RS Rally2,RC2 8,00:13:13.4 00:00:10.0,00:13:23.4,00:01:10.5 00:00:04.4,1
17,29,,Solans  Jan /  Sanjuán  R.  Toyota GR Yaris Rally2,RC2 9,00:13:24.7,00:13:24.7,00:01:11.8 00:00:01.3,1
18,34,,Daprà  Roberto /  Guglielmetti  L.  Škoda Fabia Rally2 Evo,RC2 10,00:13:42.2,00:13:42.2,00:01:29.3 00:00:17.5,1
19,53,,Berfa  Jordan /  Thomas  Chloé  Hyundai i20 R5,RC2 11,00:13:53.5,00:13:53.5,00:01:40.6 00:00:11.3,1
20,28,,Bouffier  Bryan /  Vauclare  F.  Toyota GR Yaris Rally2,RC2 12,00:13:56.0,00:13:56.0,00:01:43.1 00:00:02.5,1
21,57,,Chatillon  M. /  Cornuau  Maxence  Renault Clio Rally3,RC3 1,00:14:12.0,00:14:12.0,00:01:59.1 00:00:16.0,1
22,35,,Burri  Olivier /  Levratti  A.  Škoda Fabia Rally2 Evo,RC2 13,00:14:21.8,00:14:21.8,00:02:08.9 00:00:09.8,1
23,47,,Rossi  Ghjuvanni /  Sarmezan  Kylian  Renault Clio Rally3,RC3 2,00:14:35.1,00:14:35.1,00:02:22.2 00:00:13.3,1
24,55,,Lafay  Pierre /  Aubeuf  Benjamin  Renault Clio Rally3,RC3 3,00:14:36.6,00:14:36.6,00:02:23.7 00:00:01.5,1
25,46,,Černý  Jan /  Krajča  Ondřej  Ford Fiesta Rally3,RC3 4,00:14:41.2,00:14:41.2,00:02:28.3 00:00:04.6,1
26,63,,Fontana  Matteo /  Arnaboldi  A.  Peugeot 208 Rally4,RC4 1,00:14:42.9,00:14:42.9,00:02:30.0 00:00:01.7,1
27,51,,Ressegaire  N. /  Pellegrin  E.  Volkswagen Polo Gti R5,RC2 14,00:14:49.3,00:14:49.3,00:02:36.4 00:00:06.4,1
28,32,,Miele  Mauro /  Beltrame  Luca  Škoda Fabia RS Rally2,RC2 15,00:14:51.3,00:14:51.3,00:02:38.4 00:00:02.0,1
29,52,,Cartier  Victor /  Deliot  Manon  Toyota Yaris R4,RC2 16,00:14:51.9,00:14:51.9,00:02:39.0 00:00:00.6,1
30,50,,Prat  Jérémy /  Deslauriers  J.  Ford Fiesta R5,RC2 17,00:14:52.2,00:14:52.2,00:02:39.3 00:00:00.3,1
31,54,,Oberti  Damien /  Gastinel  J.  Renault Clio Rally3,RC3 5,00:14:52.4,00:14:52.4,00:02:39.5 00:00:00.2,1
32,39,,"Boland  Eamonn /  ""MJ""  ..  Ford Fiesta Rally2 MkII",RC2 18,00:14:56.1,00:14:56.1,00:02:43.2 00:00:03.7,1
33,37,,Laurencich  F. /  Mlakar  Alberto  Škoda Fabia Rally2 Evo,RC2 19,00:14:59.1,00:14:59.1,00:02:46.2 00:00:03.0,1
34,38,,Locatelli  M. /  Tiraboschi  S.  Škoda Fabia Rally2 Evo,RC2 20,00:15:01.3,00:15:01.3,00:02:48.4 00:00:02.2,1
35,65,,Latil  Nicolas /  Mercoiret  G.  Peugeot 208 Rally4,RC4 2,00:15:05.4,00:15:05.4,00:02:52.5 00:00:04.1,1
36,30,,Mauro  Alejandro /  Pérez  Adrián  Škoda Fabia Rally2 Evo,RC2 21,00:15:05.5,00:15:05.5,00:02:52.6 00:00:00.1,1
37,49,,Ganguet  C. /  Frison  Emmanuel  Škoda Fabia R5,RC2 22,00:15:19.5,00:15:19.5,00:03:06.6 00:00:14.0,1
38,43,,Chiarani  M. /  Zanella  Flavio  Škoda Fabia Rally2 Evo,RC2 23,00:15:26.0,00:15:26.0,00:03:13.1 00:00:06.5,1
39,40,,Serderidis  J. /  Miclotte  F.  Volkswagen Polo Gti R5,RC2 24,00:15:27.0,00:15:27.0,00:03:14.1 00:00:01.0,1
40,61,,Baffoun  P. /  Dupuy  Margot  Alpine A110 RGT,RGT 1,00:15:56.0,00:15:56.0,00:03:43.1 00:00:29.0,1
41,44,,Marchino  F. /  Ometto  P.  Škoda Fabia Rally2 Evo,RC2 25,00:15:59.5,00:15:59.5,00:03:46.6 00:00:03.5,1
42,64,,Oldani  Marco /  D’Agostino  P.  Peugeot 208 Rally4,RC4 3,00:16:04.0,00:16:04.0,00:03:51.1 00:00:04.5,1
43,68,,Rota  Rémy /  Gendraud  Nil  Renault Clio Rally4,RC4 4,00:16:06.2,00:16:06.2,00:03:53.3 00:00:02.2,1
44,41,,Morato  Maurizio /  Bosi  M.  Škoda Fabia Rally2 Evo,RC2 26,00:16:14.2,00:16:14.2,00:04:01.3 00:00:08.0,1
45,70,,Perrard  F. /  Leclercq  F.  Peugeot 208 Rally4,RC4 5,00:16:16.1,00:16:16.1,00:04:03.2 00:00:01.9,1
46,80,,Jamet  Jérémy /  Journet  Marine  Renault Clio Rally5,RC5 1,00:16:18.1,00:16:18.1,00:04:05.2 00:00:02.0,1
47,77,,Charnay  Julien /  Gomez  Maxime  Renault Clio Rally5,RC5 2,00:16:09.2 00:00:10.0,00:16:19.2,00:04:06.3 00:00:01.1,1
48,82,,Biagetti  Lucas /  Biagetti  Loan  Renault Clio Rally5,RC5 3,00:16:26.0,00:16:26.0,00:04:13.1 00:00:06.8,1
49,56,,Dolce  Renaud /  Giroud  Quentin  Renault Clio Rally3,RC3 6,00:16:31.6,00:16:31.6,00:04:18.7 00:00:05.6,1
50,59,,Royere  Eric /  Grenier  Alexis  Alpine A110 RGT,RGT 2,00:16:32.8,00:16:32.8,00:04:19.9 00:00:01.2,1
51,60,,Fumal  Armand /  Escartefigue  J.  Alpine A110 RGT,RGT 3,00:16:42.0,00:16:42.0,00:04:29.1 00:00:09.2,1
52,74,,Dal Zotto  G. /  Dubreuil  Hervé  Peugeot 208 Rally4,RC4 6,00:16:44.4,00:16:44.4,00:04:31.5 00:00:02.4,1
53,62,,Berard  C. /  Bernabo  C.  Alpine A110 RGT,RGT 4,00:17:05.7,00:17:05.7,00:04:52.8 00:00:21.3,1
54,78,,Vialle  Lilian /  Ghirardello  M.  Renault Clio Rally5,RC5 4,00:17:10.6,00:17:10.6,00:04:57.7 00:00:04.9,1
55,84,,Andrade  F. /  Coronado  Axel  Renault Clio Rally5,RC5 5,00:17:16.4,00:17:16.4,00:05:03.5 00:00:05.8,1
56,83,,Arnaud  Julien /  Renchet  Marion  Renault Clio Rally5,RC5 6,00:17:22.8,00:17:22.8,00:05:09.9 00:00:06.4,1
57,67,,Filippi  Eric /  Mazotti  Francis  Renault Clio R3T,RC4 7,00:17:23.0,00:17:23.0,00:05:10.1 00:00:00.2,1
58,73,,Michellier  G. /  Richard  C.  Peugeot 208 Rally4,RC4 8,00:17:29.7,00:17:29.7,00:05:16.8 00:00:06.7,1
59,81,,Matteuzzi  G. /  La Ferla  A.  Renault Clio Rally5,RC5 7,00:17:37.8,00:17:37.8,00:05:24.9 00:00:08.1,1
60,66,,Boisseranc  M. /  Amoros  Cédric  Peugeot 208 Rally4,RC4 9,00:17:42.5,00:17:42.5,00:05:29.6 00:00:04.7,1
61,79,,Morel  Jean-Luc /  Toti  Mireille  Renault Clio Rally5,RC5 8,00:17:58.3,00:17:58.3,00:05:45.4 00:00:15.8,1
62,45,,Vossen  Henk /  Vissenberg  W.  Hyundai i20 N Rally2,RC2 27,00:18:18.0,00:18:18.0,00:06:05.1 00:00:19.7,1
63,76,,Šekuljica  S. /  Petrović  Damir  Renault Clio Rally5,RC5 9,00:18:21.8,00:18:21.8,00:06:08.9 00:00:03.8,1
64,72,,Delgery  F. /  Garin  Fabrice  Renault Clio R3T,RC4 10,00:18:43.5,00:18:43.5,00:06:30.6 00:00:21.7,1
65,71,,Morini  Olivier /  Marquez  S.  Peugeot 208 R2,RC4 11,00:18:53.2,00:18:53.2,00:06:40.3 00:00:09.7,1
66,75,,Palmero  J. /  Pastorino  M.  Peugeot 208 Rally4,RC4 12,00:18:47.3 00:00:20.0,00:19:07.3,00:06:54.4 00:00:14.1,1
67,31,,Wartique  John /  Andernack  M.  Ford Fiesta Rally2 MkII,RC2 28,00:20:51.6,00:20:51.6,00:08:38.7 00:01:44.3,1
68,58,,Astier  Raphaël /  Giraudet  Denis  Alpine A110 RGT,RGT 5,00:25:56.0,00:25:56.0,00:13:43.1 00:05:04.4,1
1,33,1.0,Evans  Elfyn /  Martin  Scott  Toyota GR Yaris Rally1 Hybrid,RC1 1,00:26:12.9,00:26:12.9,00:00:00.0 00:00:00.0,2
2,11,3.0,Neuville  T. /  Wydaeghe  M.  Hyundai i20 N Rally1 Hybrid,RC1 2,00:26:28.0,00:26:28.0,00:00:15.1 00:00:15.1,2
3,17,4.0,Ogier  S. /  Landais  Vincent  Toyota GR Yaris Rally1 Hybrid,RC1 3,00:26:34.5,00:26:34.5,00:00:21.6 00:00:06.5,2
4,8,2.0,Tänak  Ott /  Järveoja  M.  Hyundai i20 N Rally1 Hybrid,RC1 4,00:26:35.7,00:26:35.7,00:00:22.8 00:00:01.2,2
5,16,5.0,Fourmaux  Adrien /  Coria  Alexandre  Ford Puma Rally1 Hybrid,RC1 5,00:26:51.9,00:26:51.9,00:00:39.0 00:00:16.2,2
6,18,6.0,Katsuta  T. /  Johnston  Aaron  Toyota GR Yaris Rally1 Hybrid,RC1 6,00:26:59.2,00:26:59.2,00:00:46.3 00:00:07.3,2
7,13,7.0,Munster  G. /  Louka  Louis  Ford Puma Rally1 Hybrid,RC1 7,00:27:18.9,00:27:18.9,00:01:06.0 00:00:19.7,2
8,9,8.0,Mikkelsen  A. /  Eriksen  T.  Hyundai i20 N Rally1 Hybrid,RC1 8,00:27:21.7,00:27:21.7,00:01:08.8 00:00:02.8,2
9,25,9.0,López  J. /  Vázquez  David  Škoda Fabia RS Rally2,RC2 1,00:27:49.4,00:27:49.4,00:01:36.5 00:00:27.7,2
10,21,12.0,Gryazin  Nikolay /  Aleksandrov  K.  Citroën C3 Rally2,RC2 2,00:28:03.6,00:28:03.6,00:01:50.7 00:00:14.2,2
11,20,10.0,Rossel  Yohan /  Dunand  Arnaud  Citroën C3 Rally2,RC2 3,00:28:09.3,00:28:09.3,00:01:56.4 00:00:05.7,2
12,23,11.0,Pajari  Sami /  Mälkönen  Enni  Toyota GR Yaris Rally2,RC2 4,00:28:13.1,00:28:13.1,00:02:00.2 00:00:03.8,2
13,27,14.0,Lefebvre  S. /  Malfoy  Andy  Toyota GR Yaris Rally2,RC2 5,00:28:29.8,00:28:29.8,00:02:16.9 00:00:16.7,2
14,22,13.0,Solberg  Oliver /  Edmondson  E.  Škoda Fabia RS Rally2,RC2 6,00:28:32.2,00:28:32.2,00:02:19.3 00:00:02.4,2
15,24,15.0,Ciamin  Nicolas /  Roche  Yannick  Hyundai i20 N Rally2,RC2 7,00:28:34.3,00:28:34.3,00:02:21.4 00:00:02.1,2
16,26,16.0,Ingram  Chris /  McKillop  Hannah  Škoda Fabia RS Rally2,RC2 8,00:28:40.2 00:00:10.0,00:28:50.2,00:02:37.3 00:00:15.9,2
17,29,17.0,Solans  Jan /  Sanjuán  R.  Toyota GR Yaris Rally2,RC2 9,00:28:53.9,00:28:53.9,00:02:41.0 00:00:03.7,2
18,28,20.0,Bouffier  Bryan /  Vauclare  F.  Toyota GR Yaris Rally2,RC2 10,00:29:35.4,00:29:35.4,00:03:22.5 00:00:41.5,2
19,34,18.0,Daprà  Roberto /  Guglielmetti  L.  Škoda Fabia Rally2 Evo,RC2 11,00:29:36.7,00:29:36.7,00:03:23.8 00:00:01.3,2
20,53,19.0,Berfa  Jordan /  Thomas  Chloé  Hyundai i20 R5,RC2 12,00:30:26.4,00:30:26.4,00:04:13.5 00:00:49.7,2
21,35,22.0,Burri  Olivier /  Levratti  A.  Škoda Fabia Rally2 Evo,RC2 13,00:30:47.3,00:30:47.3,00:04:34.4 00:00:20.9,2
22,57,21.0,Chatillon  M. /  Cornuau  Maxence  Renault Clio Rally3,RC3 1,00:30:53.5,00:30:53.5,00:04:40.6 00:00:06.2,2
23,46,25.0,Černý  Jan /  Krajča  Ondřej  Ford Fiesta Rally3,RC3 2,00:31:21.3,00:31:21.3,00:05:08.4 00:00:27.8,2
24,63,26.0,Fontana  Matteo /  Arnaboldi  A.  Peugeot 208 Rally4,RC4 1,00:31:42.7,00:31:42.7,00:05:29.8 00:00:21.4,2
25,32,28.0,Miele  Mauro /  Beltrame  Luca  Škoda Fabia RS Rally2,RC2 14,00:31:42.9,00:31:42.9,00:05:30.0 00:00:00.2,2
26,55,24.0,Lafay  Pierre /  Aubeuf  Benjamin  Renault Clio Rally3,RC3 3,00:31:54.1,00:31:54.1,00:05:41.2 00:00:11.2,2
27,54,31.0,Oberti  Damien /  Gastinel  J.  Renault Clio Rally3,RC3 4,00:32:02.7,00:32:02.7,00:05:49.8 00:00:08.6,2
28,47,23.0,Rossi  Ghjuvanni /  Sarmezan  Kylian  Renault Clio Rally3,RC3 5,00:32:05.2,00:32:05.2,00:05:52.3 00:00:02.5,2
29,50,30.0,Prat  Jérémy /  Deslauriers  J.  Ford Fiesta R5,RC2 15,00:32:06.2,00:32:06.2,00:05:53.3 00:00:01.0,2
30,37,33.0,Laurencich  F. /  Mlakar  Alberto  Škoda Fabia Rally2 Evo,RC2 16,00:32:11.5,00:32:11.5,00:05:58.6 00:00:05.3,2
31,52,29.0,Cartier  Victor /  Deliot  Manon  Toyota Yaris R4,RC2 17,00:32:13.8,00:32:13.8,00:06:00.9 00:00:02.3,2
32,38,34.0,Locatelli  M. /  Tiraboschi  S.  Škoda Fabia Rally2 Evo,RC2 18,00:32:25.5,00:32:25.5,00:06:12.6 00:00:11.7,2
33,51,27.0,Ressegaire  N. /  Pellegrin  E.  Volkswagen Polo Gti R5,RC2 19,00:32:31.7,00:32:31.7,00:06:18.8 00:00:06.2,2
34,65,35.0,Latil  Nicolas /  Mercoiret  G.  Peugeot 208 Rally4,RC4 2,00:32:32.2,00:32:32.2,00:06:19.3 00:00:00.5,2
35,39,32.0,"Boland  Eamonn /  ""MJ""  ..  Ford Fiesta Rally2 MkII",RC2 20,00:32:35.1,00:32:35.1,00:06:22.2 00:00:02.9,2
36,49,37.0,Ganguet  C. /  Frison  Emmanuel  Škoda Fabia R5,RC2 21,00:33:16.2,00:33:16.2,00:07:03.3 00:00:41.1,2
37,30,36.0,Mauro  Alejandro /  Pérez  Adrián  Škoda Fabia Rally2 Evo,RC2 22,00:33:33.4,00:33:33.4,00:07:20.5 00:00:17.2,2
38,40,39.0,Serderidis  J. /  Miclotte  F.  Volkswagen Polo Gti R5,RC2 23,00:33:34.6,00:33:34.6,00:07:21.7 00:00:01.2,2
39,56,49.0,Dolce  Renaud /  Giroud  Quentin  Renault Clio Rally3,RC3 6,00:34:11.3,00:34:11.3,00:07:58.4 00:00:36.7,2
40,43,38.0,Chiarani  M. /  Zanella  Flavio  Škoda Fabia Rally2 Evo,RC2 24,00:34:13.2,00:34:13.2,00:08:00.3 00:00:01.9,2
41,44,41.0,Marchino  F. /  Ometto  P.  Škoda Fabia Rally2 Evo,RC2 25,00:34:34.3,00:34:34.3,00:08:21.4 00:00:21.1,2
42,64,42.0,Oldani  Marco /  D’Agostino  P.  Peugeot 208 Rally4,RC4 3,00:34:41.1,00:34:41.1,00:08:28.2 00:00:06.8,2
43,41,44.0,Morato  Maurizio /  Bosi  M.  Škoda Fabia Rally2 Evo,RC2 26,00:34:50.2,00:34:50.2,00:08:37.3 00:00:09.1,2
44,61,40.0,Baffoun  P. /  Dupuy  Margot  Alpine A110 RGT,RGT 1,00:34:56.2,00:34:56.2,00:08:43.3 00:00:06.0,2
45,77,47.0,Charnay  Julien /  Gomez  Maxime  Renault Clio Rally5,RC5 1,00:34:52.5 00:00:10.0,00:35:02.5,00:08:49.6 00:00:06.3,2
46,70,45.0,Perrard  F. /  Leclercq  F.  Peugeot 208 Rally4,RC4 4,00:35:07.7,00:35:07.7,00:08:54.8 00:00:05.2,2
47,80,46.0,Jamet  Jérémy /  Journet  Marine  Renault Clio Rally5,RC5 2,00:35:12.1,00:35:12.1,00:08:59.2 00:00:04.4,2
48,82,48.0,Biagetti  Lucas /  Biagetti  Loan  Renault Clio Rally5,RC5 3,00:35:29.5,00:35:29.5,00:09:16.6 00:00:17.4,2
49,59,50.0,Royere  Eric /  Grenier  Alexis  Alpine A110 RGT,RGT 2,00:35:40.9,00:35:40.9,00:09:28.0 00:00:11.4,2
50,68,43.0,Rota  Rémy /  Gendraud  Nil  Renault Clio Rally4,RC4 5,00:34:45.9 00:01:00.0,00:35:45.9,00:09:33.0 00:00:05.0,2
51,60,51.0,Fumal  Armand /  Escartefigue  J.  Alpine A110 RGT,RGT 3,00:36:01.1,00:36:01.1,00:09:48.2 00:00:15.2,2
52,74,52.0,Dal Zotto  G. /  Dubreuil  Hervé  Peugeot 208 Rally4,RC4 6,00:36:09.9,00:36:09.9,00:09:57.0 00:00:08.8,2
53,62,53.0,Berard  C. /  Bernabo  C.  Alpine A110 RGT,RGT 4,00:36:37.0,00:36:37.0,00:10:24.1 00:00:27.1,2
54,78,54.0,Vialle  Lilian /  Ghirardello  M.  Renault Clio Rally5,RC5 4,00:37:07.5,00:37:07.5,00:10:54.6 00:00:30.5,2
55,84,55.0,Andrade  F. /  Coronado  Axel  Renault Clio Rally5,RC5 5,00:37:20.3,00:37:20.3,00:11:07.4 00:00:12.8,2
56,83,56.0,Arnaud  Julien /  Renchet  Marion  Renault Clio Rally5,RC5 6,00:37:34.4,00:37:34.4,00:11:21.5 00:00:14.1,2
57,67,57.0,Filippi  Eric /  Mazotti  Francis  Renault Clio R3T,RC4 7,00:37:34.8,00:37:34.8,00:11:21.9 00:00:00.4,2
58,73,58.0,Michellier  G. /  Richard  C.  Peugeot 208 Rally4,RC4 8,00:37:49.5,00:37:49.5,00:11:36.6 00:00:14.7,2
59,81,59.0,Matteuzzi  G. /  La Ferla  A.  Renault Clio Rally5,RC5 7,00:38:07.3,00:38:07.3,00:11:54.4 00:00:17.8,2
60,66,60.0,Boisseranc  M. /  Amoros  Cédric  Peugeot 208 Rally4,RC4 9,00:38:17.7,00:38:17.7,00:12:04.8 00:00:10.4,2
61,79,61.0,Morel  Jean-Luc /  Toti  Mireille  Renault Clio Rally5,RC5 8,00:38:52.4,00:38:52.4,00:12:39.5 00:00:34.7,2
62,76,63.0,Šekuljica  S. /  Petrović  Damir  Renault Clio Rally5,RC5 9,00:39:44.1,00:39:44.1,00:13:31.2 00:00:51.7,2
63,45,62.0,Vossen  Henk /  Vissenberg  W.  Hyundai i20 N Rally2,RC2 27,00:39:55.6 00:00:10.0,00:40:05.6,00:13:52.7 00:00:21.5,2
64,72,64.0,Delgery  F. /  Garin  Fabrice  Renault Clio R3T,RC4 10,00:40:31.8,00:40:31.8,00:14:18.9 00:00:26.2,2
65,71,65.0,Morini  Olivier /  Marquez  S.  Peugeot 208 R2,RC4 11,00:40:53.1,00:40:53.1,00:14:40.2 00:00:21.3,2
66,75,66.0,Palmero  J. /  Pastorino  M.  Peugeot 208 Rally4,RC4 12,00:40:40.2 00:00:20.0,00:41:00.2,00:14:47.3 00:00:07.1,2
67,31,67.0,Wartique  John /  Andernack  M.  Ford Fiesta Rally2 MkII,RC2 28,00:45:45.7,00:45:45.7,00:19:32.8 00:04:45.5,2
