0,,,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.
ss,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
No.,Driver / Co-driver Vehicle,Group,,,,,,,,,,,,,,,,,
24,Ciamin  Nicolas  /  Roche  Yannick  Hyundai i20 N Rally2,RC2,16.0,14.0,13.0,13.0,14.0,14.0,14.0,13.0,13.0,12.0,13.0,11.0,11.0,13.0,13.0,14.0,13.0
25,López  J.  /  Vázquez  David  Škoda Fabia RS Rally2,RC2,9.0,9.0,11.0,9.0,9.0,12.0,10.0,12.0,8.0,10.0,12.0,8.0,10.0,10.0,7.0,10.0,10.0
26,Ingram  Chris  /  McKillop  Hannah  Škoda Fabia RS Rally2,RC2,14.0,16.0,17.0,16.0,13.0,16.0,65.0,62.0,,,,,,,,,
27,Lefebvre  S.  /  Malfoy  Andy  Toyota GR Yaris Rally2,RC2,15.0,13.0,10.0,15.0,16.0,13.0,16.0,17.0,15.0,13.0,14.0,12.0,12.0,12.0,14.0,15.0,14.0
28,Bouffier  Bryan  /  Vauclare  F.  Toyota GR Yaris Rally2,RC2,20.0,18.0,63.0,65.0,64.0,64.0,62.0,62.0,18.0,17.0,15.0,13.0,14.0,14.0,20.0,16.0,16.0
29,Solans  Jan  /  Sanjuán  R.  Toyota GR Yaris Rally2,RC2,17.0,17.0,15.0,17.0,17.0,17.0,15.0,15.0,16.0,14.0,16.0,15.0,15.0,15.0,16.0,17.0,18.0
30,Mauro  Alejandro  /  Pérez  Adrián  Škoda Fabia Rally2 Evo,RC2,36.0,39.0,35.0,34.0,40.0,33.0,34.0,41.0,38.0,38.0,42.0,35.0,32.0,38.0,34.0,37.0,30.0
31,Wartique  John  /  Andernack  M.  Ford Fiesta Rally2 MkII,RC2,67.0,67.0,,,,,,,,,,,,,,,
32,Miele  Mauro  /  Beltrame  Luca  Škoda Fabia RS Rally2,RC2,28.0,24.0,21.0,21.0,19.0,20.0,20.0,20.0,23.0,21.0,23.0,22.0,19.0,20.0,17.0,21.0,20.0
33,Evans  Elfyn  /  Martin  Scott  Toyota GR Yaris Rally1 Hybrid,RC1,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,8.0,5.0,6.0,3.0,6.0,4.0,2.0,4.0
34,Daprà  Roberto  /  Guglielmetti  L.  Škoda Fabia Rally2 Evo,RC2,18.0,19.0,17.0,18.0,18.0,18.0,17.0,16.0,22.0,18.0,17.0,62.0,61.0,59.0,19.0,18.0,17.0
35,Burri  Olivier  /  Levratti  A.  Škoda Fabia Rally2 Evo,RC2,22.0,20.0,22.0,20.0,20.0,21.0,19.0,18.0,25.0,20.0,18.0,20.0,21.0,16.0,24.0,22.0,25.0
37,Laurencich  F.  /  Mlakar  Alberto  Škoda Fabia Rally2 Evo,RC2,33.0,27.0,32.0,28.0,24.0,36.0,63.0,31.0,44.0,35.0,30.0,25.0,23.0,21.0,27.0,26.0,24.0
38,Locatelli  M.  /  Tiraboschi  S.  Škoda Fabia Rally2 Evo,RC2,34.0,31.0,64.0,38.0,39.0,39.0,29.0,35.0,48.0,30.0,38.0,34.0,30.0,64.0,43.0,44.0,28.0
