,,,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time
#22,Solberg Oliver  - Edmondson E. Škoda Fabia RS Rally2,RC2,13:12.5,28:32.2,38:31.7,48:57.3,1:00:00.6,1:09:46.5,1:20:13.9,1:31:16.5,1:44:10.1,1:56:47.3,-,-,-,-,-,-,-
#22,Solberg Oliver  - Edmondson E. Škoda Fabia RS Rally2 [SR],RC2,-,-,-,-,-,-,-,-,-,-,2:20:06.8,2:42:03.3,3:04:11.8,3:27:39.1,3:42:52.3 3:50,3:54:47.5 3:50,4:05:08.2 3:50
#23,Pajari Sami  - Mälkönen Enni Toyota GR Yaris Rally2,RC2,13:05.8,28:13.1,38:41.8,49:21.9,1:00:32.6,1:10:29.5,1:21:08.6,1:32:37.3,1:45:53.3,1:58:31.0,2:11:51.4,2:24:13.5,2:36:47.2,2:50:31.8,3:02:05.9,3:14:08.8,3:24:47.2
#24,Ciamin Nicolas  - Roche Yannick Hyundai i20 N Rally2,RC2,13:19.0,28:34.3,38:55.1,49:35.1,1:00:43.0,1:10:36.7,1:21:16.0,1:32:42.3,1:45:45.6,1:58:07.9,2:11:39.2,2:23:47.4,2:36:15.5,2:50:09.3,3:01:37.9,3:13:48.4,3:24:15.0
#25,López Pepe  - Vázquez Liste D. Škoda Fabia RS Rally2,RC2,12:55.3,27:49.4,38:09.0,48:34.0,59:20.6,1:09:08.4,1:19:37.7,1:30:49.1,1:43:41.2,1:55:50.5,2:09:13.7,2:21:10.2,2:33:22.2,2:46:54.4,2:58:01.1,3:09:46.0,3:20:04.7
#26,Ingram Chris  - McKillop Hannah Škoda Fabia RS Rally2,RC2,13:23.4 0:10,28:50.2 0:10,39:44.9 0:10,50:28.5 0:10,1:01:34.2 0:10,1:16:37.8 5:10,1:39:33.9 5:10,-,-,-,-,-,-,-,-,-,-
#27,Lefebvre Stéphane  - Malfoy Andy Toyota GR Yaris Rally2,RC2,13:17.9,28:29.8,38:46.0,49:28.1,1:00:48.6,1:10:42.2,1:21:35.2,1:33:51.6,1:47:10.3,1:59:42.5,2:13:18.6,2:25:27.1,2:37:58.6,2:51:46.5,3:03:16.6,3:15:29.4,3:25:59.2
#28,Bouffier Bryan  - Vauclare F. Toyota GR Yaris Rally2,RC2,13:56.0,29:35.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
#28,Bouffier Bryan  - Vauclare F. Toyota GR Yaris Rally2 [SR],RC2,-,-,49:34.9,1:09:59.9,1:30:46.5,1:50:32.4,2:10:59.8,2:32:02.4,2:45:59.3,2:58:42.1,3:12:31.5,3:24:52.4,3:37:31.6,3:51:41.5,4:03:57.5,4:16:20.2,4:27:02.6
#29,Solans J.  - Sanjuan de Eusebio R. Toyota GR Yaris Rally2,RC2,13:24.7,28:53.9,39:26.2,50:10.5,1:01:32.0,1:11:39.5,1:22:29.8,1:34:05.3,1:47:40.9,2:00:16.8,2:14:14.1,2:26:39.6,2:39:22.0,2:54:13.4,3:06:01.3,3:18:24.8,3:29:14.2
#30,Mauro Sánchez A.  - Pérez Fernández A. Škoda Fabia Rally2 evo,RC2,15:05.5,33:33.4,45:19.2,57:25.1,1:10:41.8,1:21:51.6,1:34:29.5,1:48:48.8,2:04:07.2,2:18:12.9,2:33:58.6,2:48:19.2,3:02:29.8,3:19:29.5,3:32:53.3,3:46:36.8,3:58:08.6
#31,Wartique John  - Andernack Maxime Ford Fiesta Rally2,RC2,20:51.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
#31,Wartique John  - Andernack Maxime Ford Fiesta Rally2 [SR],RC2,-,45:45.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
#32,Miele Mauro  - Beltrame Luca Škoda Fabia RS Rally2,RC2,14:51.3,31:42.9,42:57.7,54:28.1,1:06:17.4,1:16:53.3,1:28:42.0,1:41:17.0,1:55:42.8,2:08:54.7,2:23:32.4,2:36:47.9,2:50:10.1,3:05:18.7,3:17:26.2,3:30:19.7,3:41:19.9
#33,Evans Elfyn  - Martin Scott Toyota GR Yaris Rally1,RC1 M,12:12.9,26:12.9,35:36.5,45:30.7,55:52.7,1:05:04.3,1:14:58.5,1:25:28.9,1:37:51.0,1:49:27.7,2:02:11.9,2:13:51.8,2:25:31.8,2:38:33.4,2:49:12.1,3:00:22.5,3:10:16.1
#34,Daprà Roberto  - Guglielmetti L. Škoda Fabia Rally2 evo,RC2,13:42.2,29:36.7,40:31.4,51:26.4,1:02:58.8,1:13:09.4,1:24:02.6,1:35:59.7,1:50:21.7,2:03:06.6,2:17:06.8,-,-,-,-,-,-
#34,Daprà Roberto  - Guglielmetti L. Škoda Fabia Rally2 evo [SR],RC2,-,-,-,-,-,-,-,-,-,-,-,2:39:03.3,3:01:11.8,3:24:39.1,3:36:53.8,3:49:32.4,4:00:17.9
#35,Burri Olivier  - Levratti Anderson Škoda Fabia Rally2 evo,RC2,14:21.8,30:47.3,42:02.2,53:24.7,1:05:17.9,1:15:57.6,1:27:27.4,1:39:55.8,1:54:36.1,2:07:42.4,2:21:52.7,2:35:06.1,2:48:33.9,3:03:25.5,3:16:03.8,3:28:58.4,3:40:17.5
#37,Laurencich Federico  - Mlakar A. Škoda Fabia Rally2 evo,RC2,14:59.1,32:11.5,43:53.2,55:46.9,1:08:00.0,1:19:16.7,1:39:54.6,1:53:28.6,2:09:14.9,2:23:12.6,2:38:17.3,2:51:54.6,3:05:28.5,3:20:44.8,3:33:47.0,3:47:06.5,3:58:24.9
#38,Locatelli M.  - Tiraboschi S. Škoda Fabia Rally2 evo,RC2,15:01.3,32:25.5,52:45.7,1:05:01.6,1:18:06.3,1:29:46.9,1:42:13.3,1:55:56.9,2:11:54.3,2:25:42.9,2:41:13.5,2:55:30.1,3:09:38.9,3:42:22.9 2:30,3:56:22.6 2:30,4:10:21.1 2:30,4:21:46.1 2:30
#39,Boland Eamonn  - MJ Ford Fiesta Rally2,RC2,14:56.1,32:35.1,44:02.9,56:01.8,1:08:32.3,1:19:36.1,1:32:11.2,1:45:25.2,2:00:27.1,2:14:04.1,2:29:06.3,2:42:41.2,2:56:28.2,3:11:57.4,3:25:25.9,3:38:50.3,3:50:35.5
#40,Serderidis Jourdan  - Miclotte F. Volkswagen Polo GTI R5,RC2,15:27.0,33:34.6,45:17.6,57:13.9,1:09:45.4,1:20:49.5,1:33:09.6,1:46:28.5,2:01:19.6,2:15:18.0,2:30:30.3,2:44:00.7,2:57:50.8,3:13:42.1,3:26:38.8,3:39:58.7,3:51:19.0
#41,Morato Maurizio  - Bosi M. Škoda Fabia Rally2 evo,RC2,16:14.2,34:50.2,1:00:52.3,1:13:29.7,1:26:23.2,1:41:58.1,1:55:44.7,2:10:53.0,2:27:01.8,2:41:35.9,2:57:27.5,3:12:06.3,3:26:58.1,3:44:12.0,3:57:50.5,4:11:31.1,4:23:47.4
#43,Chiarani Maurizio  - Zanella F. Škoda Fabia Rally2 evo,RC2,15:26.0,34:13.2,46:25.0,58:52.9,1:11:56.2,1:23:49.7,1:36:22.4,1:50:08.3,2:05:51.8,2:20:06.2,2:35:23.9,2:50:00.6,3:04:24.2,3:21:01.0,3:34:44.5,3:48:24.2,4:00:07.6
#44,Marchino Filippo  - Ometto P. Škoda Fabia Rally2 evo,RC2,15:59.5,34:34.3,46:33.5,59:00.9,1:12:20.2,1:24:02.0,1:37:11.5,1:51:50.6,2:07:18.6,2:21:42.3,2:37:36.4,2:52:17.0,3:07:00.1,3:23:20.0,3:36:58.3,3:50:47.3,4:02:31.1
#45,Vossen Henk  - Vissenberg Willem Hyundai i20 N Rally2,RC2,18:18.0,40:05.6 0:10,53:41.2 0:10,1:07:51.8 0:10,1:22:34.8 0:10,1:35:37.3 0:10,1:50:46.2 0:10,2:07:14.6 0:10,2:24:53.3 0:10,2:40:29.7 0:10,2:58:04.3 0:10,3:14:32.5 0:10,3:30:27.9 0:10,3:50:31.3 0:10,4:06:55.0 0:10,4:23:04.9 0:10,4:36:31.5 0:10
#46,Černý Jan  - Krajča Ondřej Ford Fiesta Rally3,RC3,14:41.2,31:21.3,42:41.8,54:15.5,1:06:30.4,1:17:11.6,1:29:01.5,1:41:59.3,1:56:44.7,2:10:00.1,2:24:35.2,2:37:42.8,2:50:58.9,3:05:52.7,3:18:05.9,3:31:05.1,3:42:09.1
#47,Rossi Ghjuvanni  - Sarmezan Kylian Renault Clio Rally3,RC3,14:35.1,32:05.2,45:53.2 2:20,58:01.8 2:20,1:10:38.7 2:20,1:21:48.4 2:20,1:34:01.3 2:20,1:47:09.5 2:20,2:02:22.7 2:20,2:16:17.9 2:20,2:31:28.9 2:20,2:45:25.5 2:20,2:59:14.5 2:20,3:14:50.6 2:20,3:27:57.6 2:20,3:41:28.1 2:20,3:52:51.7 2:20
#49,Ganguet Christophe  - Frison E. Škoda Fabia R5,RC2,15:19.5,33:16.2,44:40.5,56:43.1,1:09:21.5,1:20:29.4,1:33:22.1,1:46:57.8,2:01:39.1,2:15:30.3,2:30:32.8,2:44:34.8 0:10,2:58:44.5 0:10,3:14:59.5 0:10,3:28:19.8 0:10,3:42:09.1 0:10,3:54:07.2 0:10
#50,Prat Jérémy  - Deslauriers J. Ford Fiesta R5,RC2,14:52.2,32:06.2,43:18.5,58:12.8,1:10:50.8,1:21:57.2,1:34:29.9,1:48:09.2,2:04:30.5 1:30,2:18:35.3 1:30,2:33:50.4 1:30,2:47:33.9 1:30,3:01:20.9 1:30,3:16:55.5 1:30,3:29:59.9 1:30,3:43:37.7 1:30,3:55:07.2 1:30
#51,Ressegaire Nicolas  - Pellegrin E. Volkswagen Polo GTI R5,RC2,14:49.3,32:31.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
#51,Ressegaire Nicolas  - Pellegrin E. Volkswagen Polo GTI R5 [SR],RC2,-,-,53:18.9,1:14:29.9,1:36:31.2,1:56:48.5,2:18:06.4,2:40:39.4,2:55:41.9,3:09:34.3,3:24:49.2,3:38:40.5,3:53:18.4,4:20:11.4,4:34:44.2,4:49:02.6,5:01:25.6
#52,Cartier Victor  - Deliot Manon Toyota Yaris Rally2-Kit,RC2,14:51.9,32:13.8,43:30.6,55:07.7,1:07:17.6,1:18:10.2,1:30:13.1,1:43:35.5,1:58:23.7,2:11:58.2,2:26:25.9,2:39:37.2,2:52:51.7,3:08:15.3,3:20:50.9,3:33:59.5,3:45:11.5
#53,Berfa Jordan  - Thomas Chloé Hyundai i20 R5,RC2,13:53.5,30:26.4,41:13.6,52:24.6,1:04:25.9,1:14:43.2,1:26:01.1,1:38:34.1,1:52:27.8,2:05:32.6,2:19:52.7,2:32:41.5,2:45:39.3,3:02:48.1,3:15:06.0,3:27:55.5,3:38:52.9
#54,Oberti Damien  - Gastinel J. Renault Clio Rally3,RC3,14:52.4,32:02.7,43:27.4,55:11.5,1:07:32.1,1:18:45.9,1:30:56.5,1:44:04.6,1:58:20.2,2:11:48.7,2:26:28.3,-,-,-,-,-,-
#54,Oberti Damien  - Gastinel J. Renault Clio Rally3 [SR],RC3,-,-,-,-,-,-,-,-,-,-,-,2:49:38.9,3:13:03.3,3:38:07.0,3:51:10.0,4:04:22.2,4:16:03.5
#55,Lafay Pierre  - Aubeuf Benjamin Renault Clio Rally3,RC3,14:36.6,31:54.1,43:20.0,55:08.7,1:07:21.5,1:18:17.5,1:30:17.5,1:43:06.1,1:58:05.5,2:11:55.0,2:27:00.9,2:40:11.5,2:53:35.9,3:08:44.2,3:21:30.2,3:35:01.7,3:46:44.2
#56,Dolce Renaud  - Giroud Quentin Renault Clio Rally3,RC3,16:31.6,34:11.3,45:23.6,57:18.4,1:10:05.1,1:20:57.4,1:33:30.4,1:50:07.7,2:04:26.5,2:18:01.8,2:32:46.2,2:46:37.4,-,-,-,-,-
#57,Chatillon Mattéo  - Cornuau M. Renault Clio Rally3,RC3,14:12.0,30:53.5,42:11.3,53:52.8,1:06:08.6,1:16:52.0,1:28:43.7,1:41:26.7,1:55:42.0,2:09:19.9,2:23:56.6,2:37:10.4,2:50:43.1,3:05:46.8,3:18:08.0,3:30:57.2,3:42:11.0
#59,Royère Eric  - Grenier Alexis Alpine A110 Rally RGT,RGT,16:32.8,35:40.9,47:43.1,1:00:10.9,1:13:28.6,1:25:11.4,1:38:29.9,1:53:12.1,2:09:01.8,2:23:43.8,2:39:55.2,2:53:57.8,3:08:47.3,3:25:53.9,3:39:21.4,3:52:53.3,4:04:25.2
#60,Fumal Armand  - Escartefigue Jules Alpine A110 Rally RGT,RGT,16:42.0,36:01.1,48:05.0,1:00:18.5,-,-,-,-,-,-,-,-,-,-,-,-,-
#60,Fumal Armand  - Escartefigue Jules Alpine A110 Rally RGT [SR],RGT,-,-,-,-,1:23:35.8,1:45:17.0,2:08:29.4,2:32:43.4,2:48:20.5,3:02:41.4,3:18:53.1,3:33:53.2,3:48:35.2,4:05:12.8,4:19:42.7,4:33:40.1,4:45:53.8
#61,Baffoun Philippe  - Dupuy Margot Alpine A110 Rally RGT,RGT,15:56.0,34:56.2,47:17.9,59:30.5,1:12:47.8,1:24:29.0,1:37:41.4,1:51:55.4,2:07:45.5,2:21:59.9,2:37:43.2,2:52:13.3,3:06:27.7,3:23:34.2,3:38:07.6,3:51:48.8,4:03:29.0
#62,Berard Christophe  - Bernabo C. Alpine A110 Rally RGT,RGT,17:05.7,36:37.0,49:25.9,1:03:06.8,1:17:28.6,1:29:58.4,1:44:28.6,2:00:20.5,2:16:35.1,2:31:56.5,2:48:31.9,3:04:14.0,3:20:03.6,3:38:05.0,3:53:44.6,4:08:29.9,4:20:49.9
#63,Fontana Matteo  - Arnaboldi A. Peugeot 208 Rally4,RC4,14:42.9,31:42.7,43:26.4,55:20.4,1:07:46.5,1:18:48.8,1:30:47.0,1:43:43.1,1:58:46.4,2:12:21.5,2:27:10.2,2:40:50.5,2:54:40.1,3:10:17.3,3:23:25.1,3:37:13.2,3:49:27.2
#64,Oldani Marco  - D'Agostino Pietro Peugeot 208 Rally4,RC4,16:04.0,34:41.1,47:00.5,59:25.7,1:12:22.2,1:24:04.9,1:37:25.4 0:10,1:51:19.6 0:10,2:07:17.9 0:10,2:21:37.0 0:10,2:37:07.0 0:10,2:51:43.2 0:10,3:06:15.6 0:10,3:22:24.4 0:10,3:35:42.0 0:10,3:49:24.1 0:10,4:01:27.9 0:10
#65,Latil Nicolas  - Mercoiret G. Peugeot 208 Rally4,RC4,15:05.4,32:32.2,43:56.8,55:48.4,1:08:12.6,1:19:26.0,1:32:07.0,1:45:25.8,1:59:52.8,2:13:33.8,2:28:38.0,2:42:17.5,2:56:04.6,3:11:51.1,3:27:35.2,3:41:20.6,3:53:19.2
#66,Boisseranc Mickaël  - Amoros C. Peugeot 208 Rally4,RC4,17:42.5,38:17.7,50:23.0,1:03:02.8,1:16:46.8,1:28:22.3,1:41:18.1,1:55:23.2,2:10:22.2,2:24:46.1,2:40:25.1,2:55:00.9,3:14:06.2,3:31:45.8,3:45:49.3,4:00:01.1,4:12:20.4
#67,Filippi Eric  - Mazotti Francis Renault Clio RS R3T,RC4,17:23.0,37:34.8,50:44.0,1:04:28.3,1:18:51.1,1:31:27.5,1:46:34.0,2:01:54.7,2:18:12.3,2:36:27.5,2:53:30.8,3:09:03.6,3:24:54.6,3:42:58.6,3:57:42.4,4:13:03.0,4:26:39.8
#68,Rota Rémy  - Gendraud Nil Renault Clio Rally4,RC4,16:06.2,35:45.9 1:00,47:49.0 1:00,1:00:17.6 1:00,1:13:40.4 1:00,1:25:26.9 1:00,1:38:47.9 1:00,1:53:46.2 1:00,2:08:52.4 1:00,2:23:11.0 1:00,2:38:52.6 1:00,2:53:15.7 1:00,3:08:29.3 1:00,3:24:55.6 1:00,3:38:52.9 1:00,3:53:00.7 1:00,4:05:36.6 1:00
#70,Perrard Frédéric  - Leclercq F. Peugeot 208 Rally4,RC4,16:16.1,35:07.7,47:13.4,59:58.7,1:13:27.0,1:25:19.4,1:39:09.1,1:53:47.0,2:10:16.6,2:25:03.5,2:41:16.9,2:56:05.6,3:11:00.4,3:28:12.6,3:43:32.9,3:58:16.2,4:10:49.3
#71,Morini Olivier  - Marquez S. Peugeot 208 R2,RC4,18:53.2,40:53.1,55:29.1,1:10:21.9,1:25:31.2,1:39:17.5,1:55:25.8,2:12:56.8,2:30:03.1,2:46:30.2,3:04:30.2,3:21:27.2,3:39:13.1,4:02:20.0,4:18:52.8,4:35:46.0,4:54:30.6
#72,Delgery François  - Garin Fabrice Renault Clio RS R3T,RC4,18:43.5,40:31.8,53:40.7 0:10,1:07:12.0 0:10,1:21:35.8 0:10,1:34:22.4 0:10,1:49:41.9 0:10,2:05:39.2 0:10,2:22:50.2 0:10,2:38:18.7 0:10,2:55:42.9 0:10,3:11:28.8 0:10,3:27:40.8 0:10,3:45:58.5 0:10,4:01:22.3 0:10,4:16:35.6 0:10,4:30:02.3 0:10
#73,Michellier Gilles  - Richard C. Peugeot 208 Rally4,RC4,17:29.7,37:49.5,50:10.9,1:03:21.8,1:17:13.2,1:29:16.4,1:43:02.3,1:57:46.5,2:13:47.1,2:28:57.9,2:45:15.6,3:00:23.9,3:15:40.4,3:32:58.7,3:47:33.8,4:02:19.4,4:14:49.1
#74,Dal Zotto Grégory  - Dubreuil H. Peugeot 208 Rally4,RC4,16:44.4,36:09.9,48:48.5,1:02:05.6,1:15:55.8,1:28:12.8,1:41:59.7,1:56:27.7,2:12:48.6,2:28:36.0,2:45:01.1 0:10,3:00:04.3 0:10,3:15:41.3 0:10,3:33:13.1 0:10,3:47:41.4 0:10,4:02:04.3 0:10,4:14:29.3 0:10
#75,Palmero Jean-Paul  - Pastorino M. Peugeot 208 Rally4,RC4,19:07.3 0:20,41:00.2 0:20,55:09.1 0:20,1:09:35.0 0:20,1:24:23.2 0:20,1:37:17.6 0:20,1:52:50.8 0:20,2:08:36.6 0:20,2:25:42.9 0:20,2:41:28.5 0:20,2:58:57.9 0:20,3:15:11.5 0:20,3:31:42.9 0:20,3:50:35.8 0:20,4:06:13.1 0:20,4:21:47.5 0:20,4:36:07.7 0:30
#76,Šekuljica Slaven  - Petrović D. Renault Clio Rally5,RC5,18:21.8,39:44.1,53:38.6,1:07:54.1,1:23:24.1,1:37:41.9 0:50,1:52:51.4 0:50,2:09:01.0 0:50,2:26:12.6 0:50,2:42:18.2 0:50,3:00:03.5 0:50,-,-,-,-,-,-
#76,Šekuljica Slaven  - Petrović D. Renault Clio Rally5 [SR],RC5,-,-,-,-,-,-,-,-,-,-,-,3:24:26.8 0:50,3:48:53.8 0:50,4:15:10.0 0:50,4:30:12.1 0:50,4:45:29.0 0:50,4:58:47.8 0:50
#77,Charnay Julien  - Gomez Maxime Renault Clio Rally5,RC5,16:19.2 0:10,35:02.5 0:10,47:10.9 0:10,59:49.5 0:10,1:13:08.5 0:10,1:24:50.8 0:10,1:38:10.0 0:10,1:52:22.0 0:10,2:07:44.5 0:10,2:22:18.0 0:10,2:38:05.4 0:10,2:52:34.5 0:10,3:07:11.8 0:10,3:23:54.7 0:10,3:37:31.9 0:10,3:51:31.1 0:10,4:03:50.2 0:10
#78,Vialle Lilian  - Ghirardello M. Renault Clio Rally5,RC5,17:10.6,37:07.5,49:45.6,1:02:56.7,1:16:55.0,1:29:25.1,1:43:36.8,1:58:46.9,2:15:07.3,2:30:05.9,2:46:37.5,3:01:27.7,3:16:50.0,3:33:59.8,3:48:19.2,4:02:57.2,4:15:35.7
#79,Morel Jean-Luc  - Toti Mireille Renault Clio Rally5,RC5,17:58.3,38:52.4,51:57.7,1:05:31.7,1:19:29.9,1:32:18.6,1:46:50.0,2:02:53.0,2:19:28.8,2:35:17.6,2:52:41.3,3:08:53.3,3:25:35.5,3:44:08.7,3:59:29.3,4:15:17.0,4:28:45.2
#8,Tänak Ott  - Järveoja Martin Hyundai i20 N Rally1,RC1 M,12:18.1,26:35.7,36:35.9,46:30.9,56:53.7,1:06:08.3,1:16:04.4,1:26:42.5,1:39:15.1,1:50:45.4,2:03:25.4,2:15:02.3,2:26:47.5,2:39:45.4,2:50:22.3,3:01:35.2,3:11:30.7
#80,Jamet Jérémy  - Journet Marine Renault Clio Rally5,RC5,16:18.1,35:12.1,47:10.0,59:54.5,1:13:15.0,1:24:42.2,1:37:37.3,1:51:18.3,2:06:50.9,2:21:16.4,2:37:02.7,2:51:26.0,3:05:53.0,3:22:09.2,3:36:03.4,3:50:01.7,4:02:19.1
#81,Matteuzzi Giacomo  - La Ferla A. Renault Clio Rally5,RC5,17:37.8,38:07.3,51:08.7,1:04:32.5,1:18:44.2,1:31:16.0,1:45:37.9,2:00:58.1,2:17:32.4,2:32:53.1,2:49:49.5,3:05:16.0,3:20:48.2,3:38:27.3,3:53:09.5,4:07:53.6,4:20:24.9
#82,Biagetti Lucas  - Biagetti Loan Renault Clio Rally5,RC5,16:26.0,35:29.5,51:00.0,1:04:42.7,1:19:14.7,1:31:48.3,1:46:19.9,2:01:15.1,2:17:32.1,2:33:06.1,2:49:54.3,3:05:06.5,3:20:54.0,3:38:57.0,3:53:23.3,4:08:17.2,4:20:43.8
#83,Arnaud Julien  - Renchet Marion Renault Clio Rally5,RC5,17:22.8,37:34.4,50:10.0,1:03:25.8,1:17:36.0,1:29:45.9,1:43:40.0,1:58:47.6,2:14:41.2,2:29:56.1,2:46:02.0,3:01:26.8,3:16:51.0,3:33:39.7,3:47:51.4,4:02:03.3,4:14:47.0
#84,Andrade F.  - Coronado Jiménez A. Renault Clio Rally5,RC5,17:16.4,37:20.3,50:16.3,1:04:00.0,1:18:23.3,1:31:11.2,1:45:53.5,-,-,-,-,-,-,-,-,-,-
#84,Andrade F.  - Coronado Jiménez A. Renault Clio Rally5 [SR],RC5,-,-,-,-,-,-,-,2:09:44.5 0:10,2:26:35.0 0:10,2:42:44.8 0:10,3:00:27.0 0:10,3:16:11.1 0:10,3:32:20.3 0:10,3:51:03.2 0:10,4:06:40.7 0:10,4:22:16.4 0:10,4:36:03.3 0:10
#9,Mikkelsen Andreas  - Eriksen T. Hyundai i20 N Rally1,RC1 M,12:45.8,27:21.7,37:07.3,47:20.2,58:01.3,1:07:24.2,1:17:34.0,1:28:27.8,1:41:27.0,1:53:00.8,2:05:50.9,2:17:29.1,2:29:18.6,2:42:19.7,2:53:34.8,3:05:09.5,3:15:05.5
