,Crew,Gr/Cl,ss,Race,date,surface,competition,cou,time_SS_sec,min_time_Gr,min_time,diff,diff_G,diff_G%,SS.
57,Moschos A.  - ,C3 ,4,Kentavros,31/03/2021,Tarmac,Greek Cup,3,487.63,487.63,484.71,2.920000000000016,0.0,0.0,04
58,Baxevanakis P.,C3 ,4,Kentavros,31/03/2021,Tarmac,Greek Cup,6,525.19,487.63,484.71,40.480000000000075,37.56000000000006,7.70256136825053,04
59,Kapralos D.  -,C3 ,4,Kentavros,31/03/2021,Tarmac,Greek Cup,11,548.13,487.63,484.71,63.420000000000016,60.5,12.40694789081886,04
60,Titov Anton  -,C1,4,Kentavros,31/03/2021,Tarmac,Greek Cup,4,492.29,492.29,484.71,7.580000000000041,0.0,0.0,04
61,Karathanassis ,C5 ,4,Kentavros,31/03/2021,Tarmac,Greek Cup,5,511.04,511.04,484.71,26.33000000000004,0.0,0.0,04
62,Stratieva Ekat,C5 ,4,Kentavros,31/03/2021,Tarmac,Greek Cup,10,536.4,511.04,484.71,51.69,25.359999999999957,4.962429555416397,04
63,Damassiotis E.,C5 ,4,Kentavros,31/03/2021,Tarmac,Greek Cup,16,563.24,511.04,484.71,78.53000000000003,52.19999999999999,10.214464621164682,04
64,Rekkas Viktora,C6 ,4,Kentavros,31/03/2021,Tarmac,Greek Cup,7,529.04,529.04,484.71,44.329999999999984,0.0,0.0,04
65,Gerodimos Gior,C6 ,4,Kentavros,31/03/2021,Tarmac,Greek Cup,9,536.33,529.04,484.71,51.62000000000006,7.290000000000077,1.3779676394979732,04
66,Benoukas Marin,C6 ,4,Kentavros,31/03/2021,Tarmac,Greek Cup,12,552.22,529.04,484.71,67.51000000000005,23.180000000000064,4.381521246030559,04
67,Tzigas-Zygas G,C6 ,4,Kentavros,31/03/2021,Tarmac,Greek Cup,13,555.9,529.04,484.71,71.19,26.860000000000014,5.077120822622111,04
68,Mossios Ioanni,C6 ,4,Kentavros,31/03/2021,Tarmac,Greek Cup,14,558.61,529.04,484.71,73.90000000000003,29.57000000000005,5.5893694238621,04
69,Polichronopoul,C6 ,4,Kentavros,31/03/2021,Tarmac,Greek Cup,15,561.38,529.04,484.71,76.67000000000002,32.34000000000003,6.112959322546506,04
