0,,,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time
ss,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
No.,Driver / Co-driver Vehicle,Group,,,,,,,,,,,,,,,,,
21,Gryazin  Nikolay  /  Aleksandrov  K.  Citroën C3 Rally2,RC2,00:13:08.9,00:14:54.7,00:10:03.5,00:10:26.1,00:10:47.8,00:09:46.1,00:10:34.9,00:11:05.8,00:12:52.3,00:12:06.4,00:13:21.3,00:12:07.3,00:12:11.3,00:13:27.8,00:11:10.6,00:11:47.7,00:10:23.6
22,Solberg  Oliver  /  Edmondson  E.  Škoda Fabia RS Rally2,RC2,00:13:12.5,00:15:19.7,00:09:59.5,00:10:25.6,00:11:03.3,00:09:45.9,00:10:27.4,00:11:02.6,00:12:53.6,00:12:37.2,00:23:19.5,00:21:56.5,00:22:08.5,00:23:27.3,00:11:23.2,00:11:55.2,00:10:20.7
23,Pajari  Sami  /  Mälkönen  Enni  Toyota GR Yaris Rally2,RC2,00:13:05.8,00:15:07.3,00:10:28.7,00:10:40.1,00:11:10.7,00:09:56.9,00:10:39.1,00:11:28.7,00:13:16.0,00:12:37.7,00:13:20.4,00:12:22.1,00:12:33.7,00:13:44.6,00:11:34.1,00:12:02.9,00:10:38.4
24,Ciamin  Nicolas  /  Roche  Yannick  Hyundai i20 N Rally2,RC2,00:13:19.0,00:15:15.3,00:10:20.8,00:10:40.0,00:11:07.9,00:09:53.7,00:10:39.3,00:11:26.3,00:13:03.3,00:12:22.3,00:13:31.3,00:12:08.2,00:12:28.1,00:13:53.8,00:11:28.6,00:12:10.5,00:10:26.6
25,López  J.  /  Vázquez  David  Škoda Fabia RS Rally2,RC2,00:12:55.3,00:14:54.1,00:10:19.6,00:10:25.0,00:10:46.6,00:09:47.8,00:10:29.3,00:11:11.4,00:12:52.1,00:12:09.3,00:13:23.2,00:11:56.5,00:12:12.0,00:13:32.2,00:11:06.7,00:11:44.9,00:10:18.7
26,Ingram  Chris  /  McKillop  Hannah  Škoda Fabia RS Rally2,RC2,00:13:13.4,00:15:26.8,00:10:54.7,00:10:43.6,00:11:05.7,00:10:03.6,00:22:56.1,00:21:02.6,,,,,,,,,
27,Lefebvre  S.  /  Malfoy  Andy  Toyota GR Yaris Rally2,RC2,00:13:17.9,00:15:11.9,00:10:16.2,00:10:42.1,00:11:20.5,00:09:53.6,00:10:53.0,00:12:16.4,00:13:18.7,00:12:32.2,00:13:36.1,00:12:08.5,00:12:31.5,00:13:47.9,00:11:30.1,00:12:12.8,00:10:29.8
28,Bouffier  Bryan  /  Vauclare  F.  Toyota GR Yaris Rally2,RC2,00:13:56.0,00:15:39.4,00:19:59.5,00:20:25.0,00:20:46.6,00:19:45.9,00:20:27.4,00:21:02.6,00:13:56.9,00:12:42.8,00:13:49.4,00:12:20.9,00:12:39.2,00:14:09.9,00:12:16.0,00:12:22.7,00:10:42.4
29,Solans  Jan  /  Sanjuán  R.  Toyota GR Yaris Rally2,RC2,00:13:24.7,00:15:29.2,00:10:32.3,00:10:44.3,00:11:21.5,00:10:07.5,00:10:50.3,00:11:35.5,00:13:35.6,00:12:35.9,00:13:57.3,00:12:25.5,00:12:42.4,00:14:51.4,00:11:47.9,00:12:23.5,00:10:49.4
30,Mauro  Alejandro  /  Pérez  Adrián  Škoda Fabia Rally2 Evo,RC2,00:15:05.5,00:18:27.9,00:11:45.8,00:12:05.9,00:13:16.7,00:11:09.8,00:12:37.9,00:14:19.3,00:15:18.4,00:14:05.7,00:15:45.7,00:14:20.6,00:14:10.6,00:16:59.7,00:13:23.8,00:13:43.5,00:11:31.8
31,Wartique  John  /  Andernack  M.  Ford Fiesta Rally2 MkII,RC2,00:20:51.6,00:24:54.1,,,,,,,,,,,,,,,
32,Miele  Mauro  /  Beltrame  Luca  Škoda Fabia RS Rally2,RC2,00:14:51.3,00:16:51.6,00:11:14.8,00:11:30.4,00:11:49.3,00:10:35.9,00:11:48.7,00:12:35.0,00:14:25.8,00:13:11.9,00:14:37.7,00:13:15.5,00:13:22.2,00:15:08.6,00:12:07.5,00:12:53.5,00:11:00.2
33,Evans  Elfyn  /  Martin  Scott  Toyota GR Yaris Rally1 Hybrid,RC1,00:12:12.9,00:14:00.0,00:09:23.6,00:09:54.2,00:10:22.0,00:09:11.6,00:09:54.2,00:10:30.4,00:12:22.1,00:11:36.7,00:12:44.2,00:11:39.9,00:11:40.0,00:13:01.6,00:10:38.7,00:11:10.4,00:09:53.6
34,Daprà  Roberto  /  Guglielmetti  L.  Škoda Fabia Rally2 Evo,RC2,00:13:42.2,00:15:54.5,00:10:54.7,00:10:55.0,00:11:32.4,00:10:10.6,00:10:53.2,00:11:57.1,00:14:22.0,00:12:44.9,00:14:00.2,00:21:56.5,00:22:08.5,00:23:27.3,00:12:14.7,00:12:38.6,00:10:45.5
35,Burri  Olivier  /  Levratti  A.  Škoda Fabia Rally2 Evo,RC2,00:14:21.8,00:16:25.5,00:11:14.9,00:11:22.5,00:11:53.2,00:10:39.7,00:11:29.8,00:12:28.4,00:14:40.3,00:13:06.3,00:14:10.3,00:13:13.4,00:13:27.8,00:14:51.6,00:12:38.3,00:12:54.6,00:11:19.1
37,Laurencich  F.  /  Mlakar  Alberto  Škoda Fabia Rally2 Evo,RC2,00:14:59.1,00:17:12.4,00:11:41.7,00:11:53.7,00:12:13.1,00:11:16.7,00:20:37.9,00:13:34.0,00:15:46.3,00:13:57.7,00:15:04.7,00:13:37.3,00:13:33.9,00:15:16.3,00:13:02.2,00:13:19.5,00:11:18.4
38,Locatelli  M.  /  Tiraboschi  S.  Škoda Fabia Rally2 Evo,RC2,00:15:01.3,00:17:24.2,00:20:20.2,00:12:15.9,00:13:04.7,00:11:40.6,00:12:26.4,00:13:43.6,00:15:57.4,00:13:48.6,00:15:30.6,00:14:16.6,00:14:08.8,00:30:14.0,00:13:59.7,00:13:58.5,00:11:25.0
39,"Boland  Eamonn  /  ""MJ""  ..  Ford Fiesta Rally2 MkII",RC2,00:14:56.1,00:17:39.0,00:11:27.8,00:11:58.9,00:12:30.5,00:11:03.8,00:12:35.1,00:13:14.0,00:15:01.9,00:13:37.0,00:15:02.2,00:13:34.9,00:13:47.0,00:15:29.2,00:13:28.5,00:13:24.4,00:11:45.2
40,Serderidis  J.  /  Miclotte  F.  Volkswagen Polo Gti R5,RC2,00:15:27.0,00:18:07.6,00:11:43.0,00:11:56.3,00:12:31.5,00:11:04.1,00:12:20.1,00:13:18.9,00:14:51.1,00:13:58.4,00:15:12.3,00:13:30.4,00:13:50.1,00:15:51.3,00:12:56.7,00:13:19.9,00:11:20.3
41,Morato  Maurizio  /  Bosi  M.  Škoda Fabia Rally2 Evo,RC2,00:16:14.2,00:18:36.0,00:26:02.1,00:12:37.4,00:12:53.5,00:15:34.9,00:13:46.6,00:15:08.3,00:16:08.8,00:14:34.1,00:15:51.6,00:14:38.8,00:14:51.8,00:17:13.9,00:13:38.5,00:13:40.6,00:12:16.3
43,Chiarani  M.  /  Zanella  Flavio  Škoda Fabia Rally2 Evo,RC2,00:15:26.0,00:18:47.2,00:12:11.8,00:12:27.9,00:13:03.3,00:11:53.5,00:12:32.7,00:13:45.9,00:15:43.5,00:14:14.4,00:15:17.7,00:14:36.7,00:14:23.6,00:16:36.8,00:13:43.5,00:13:39.7,00:11:43.4
44,Marchino  F.  /  Ometto  P.  Škoda Fabia Rally2 Evo,RC2,00:15:59.5,00:18:34.8,00:11:59.2,00:12:27.4,00:13:19.3,00:11:41.8,00:13:09.5,00:14:39.1,00:15:28.0,00:14:23.7,00:15:54.1,00:14:40.6,00:14:43.1,00:16:19.9,00:13:38.3,00:13:49.0,00:11:43.8
