Pos.,No,Crew,Gr/Cl,ss_time,Diff,Speed,ss
62,#88,Pregheffi M.  - Lamberti Zanardi A. Mini Cooper S,RSTB 1.6,8:43.2,+2:19.4 +  9.4,61.3 15.7,1
1,#3,Gryazin Nikolay  - Aleksandrov K. Škoda Fabia Rally2 evo,R5/Rally2,6:02.2,,92.2,2
2,#9,Todeschini F.  - De Castelli S. Hyundai i20 N Rally2,R5/Rally2,6:02.4,+0.2 +  0.2,92.2 0.02,2
3,#1,Andreucci Paolo  - Briani Rudy Škoda Fabia Rally2 evo,R5/Rally2 Over 55,6:06.3,+4.1 +  3.9,91.2 0.44,2
4,#12,Dati Emanuele  - Ciucci Giacomo Škoda Fabia Rally2 evo,R5/Rally2,6:08.6,+6.4 +  2.3,90.6 0.69,2
5,#19,Bresolin Edoardo  - Pollet Rudy Škoda Fabia Rally2 evo,R5/Rally2,6:10.8,+8.6 +  2.2,90.1 0.93,2
6,#18,Quilichini J.  - Belhacène M. Škoda Fabia R5,R5/Rally2,6:13.4,+11.2 +  2.6,89.5 1.21,2
7,#2,Ciuffi Tommaso  - Cigni Pietro Škoda Fabia Rally2 evo,R5/Rally2,6:14.2,+12.0 +  0.8,89.3 1.29,2
8,#8,Oldrati Enrico  - De Guio Elia Škoda Fabia Rally2 evo,R5/Rally2,6:14.8,+12.6 +  0.6,89.1 1.36,2
9,#15,Hoelbling Luca  - Righetti Stefano Škoda Fabia Rally2 evo,R5/Rally2,6:23.0,+20.8 +  8.2,87.2 2.24,2
10,#6,Vagnini Jader  - Musiari Martina Škoda Fabia R5,R5/Rally2,6:24.7,+22.5 +  1.7,86.8 2.42,2
11,#11,Grossi A.  - Cardinali F. Škoda Fabia R5,R5/Rally2 Under 25,6:25.7,+23.5 +  1.0,86.6 2.53,2
12,#29,Aligizakis E.  - Amaxopoulos D. Škoda Fabia R5,R5/Rally2,6:25.9,+23.7 +  0.2,86.6 2.55,2
13,#31,Tavelli Gianluca  - Cottellero N. Škoda Fabia Rally2 evo,R5/Rally2,6:31.9,+29.7 +  6.0,85.2 3.20,2
14,#49,Cogni Giorgio  - Colapietro Andrea Peugeot 208 Rally4,Rally4,6:35.8,+33.6 +  3.9,84.4 3.62,2
