,,,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time
#88,Mezzalira NicolÃ²  - Ronzani C. Renault Clio RS Light,N3,9:19.9,5:36.0,4:50.9,9:13.6,5:38.1,4:53.5,9:28.7
#89,Puppato Alberto  - Barison Michele Renault Clio RS,N3,9:23.2,5:37.5,4:51.8,9:38.5,5:44.7,4:59.4,10:10.2
#9,Pozza Francesco  - Zortea Marco Å koda Fabia Rally2 evo,R5/Rally2,8:37.0,4:58.2,4:17.1,8:35.4,4:56.7,4:15.5,8:25.9
#90,Marini Alberto  - Morina Giuseppe Renault Clio RS,N3,9:25.2,5:37.7,4:59.8,9:09.2,5:28.6,4:56.3,9:24.7
#92,Costalunga Giovanni  - Clerici S. Renault Clio Williams,N3,9:25.2,5:43.1,4:54.3,9:17.3,5:45.4,4:52.5,10:05.2
#93,Mazzucato Marco  - Condolo Laura Renault Clio 16S,N3,10:38.2,6:42.9,5:46.1,10:35.5,6:52.1,5:55.6,12:05.5
#94,Salmaso Luca  - Scussat Omar Renault Clio Rally5,Rally5 Under 25,9:53.1,5:45.8,5:39.8,9:55.8,5:57.5,5:28.2,10:30.3
#95,Visentin Alan  - Mattucci Lorenzo Renault Clio Rally5,Rally5,9:31.0,5:38.7,4:56.6,9:22.1,5:41.9,5:02.3,9:44.7
#96,Savio Michael  - De Bernardini N. Renault Clio Rally5,Rally5 Under 25,11:01.4,-,-,-,-,-,-
#97,Pietribiasi Stefano  - Parise G. Renault Clio Rally5,Rally5,9:42.9,5:46.8,4:57.8,9:27.2,5:43.9,4:56.1,9:53.0
#98,Rigo Federico  - Castegnaro E. Renault Clio Rally5,Rally5,10:12.9,6:01.1,5:20.7,10:01.0,5:52.3,5:11.6,10:05.6
#99,Bau Michael  - Frigo Marco Renault Clio Rally5,Rally5,10:39.7,6:04.5,5:15.0,10:21.8,6:03.6,5:13.9,10:28.6
