,,,ss_time,ss_time,ss_time,ss_time
#33,Bassetto Riccardo  - Meneano R. Škoda Fabia R5,R5/Rally2,7:43.7,7:26.0,7:19.4,7:55.5
#34,Favaro Federico  - Curto Ivan Citroën C3 Rally2,R5/Rally2,7:46.9,7:31.6,8:35.6,-
#35,D'Agnolo Cristian  - Crosilla S. Škoda Fabia R5,R5/Rally2,9:15.5,-,-,-
#36,Sambugaro Michele  - Cumerlato M. Škoda Fabia Rally2 evo,R5/Rally2,7:31.0,7:12.0,7:24.0,-
#37,Bigon Michele  - Coletti Michele Škoda Fabia Rally2 evo,R5/Rally2,7:34.3,7:17.7,7:11.5,7:16.1
#38,Piva Andrea  - Franco Alessandro Škoda Fabia Rally2 evo,R5/Rally2,7:58.8,7:28.1,7:15.9,7:23.5
#39,Paris Fabrizio  - Micheletto L. Ford Fiesta N5,N5,8:11.8,7:47.3,-,-
#40,Travaglia Renato  - Ciucci Giacomo Citroën DS3 N5,N5,7:32.9,7:13.0,10:44.9,-
#41,Camporese Roberto  - Zanotti Diego Citroën DS3 N5,N5,7:50.8,7:27.8,7:28.4,7:52.5
#42,Giampaoli Zonca C.  - Molinaro T. Ford Fiesta N5,N5 Female,8:01.1,-,-,-
#43,Lecci Gianluca  - Leone Luca Peugeot 207 S2000,S2000,8:36.9,8:34.1,8:05.0,8:37.5
#44,Battaglin A.  - Pagliarini S. Mitsubishi Lancer Evo IX R4,R4,7:39.1,7:22.1,7:43.8,7:28.7
#45,Zaupa Andrea  - Schiavo Martina Mitsubishi Lancer Evo IX R4,R4,7:46.9,7:39.5,7:32.2,7:34.7
#46,Peljhan Darko  - Čar Matej Mitsubishi Lancer Evo IX,N4,7:23.2,7:15.2,7:08.5,7:26.6
#47,Ortombina Luca  - Lonardi Federica Subaru Impreza STi N12,N4,7:35.7,7:25.5,7:22.7,7:36.9
#49,Trevisiol Stefano  - Poloni G. Mitsubishi Lancer Evo X,N4,7:53.9,7:41.3,7:35.3,7:46.4
#5,Quilichini J.  - Buresi F. Škoda Fabia Rally2 evo,R5/Rally2,7:00.3,7:02.7,6:58.3,7:01.8
#50,Milani Michele  - Camazzola C. Mitsubishi Lancer Evo VII,N4,7:53.4,7:47.9,7:37.1,7:51.4
#51,Temeroli Simone  - Mainardi G. Mitsubishi Lancer Evo IX,N4,8:03.8,7:43.6,7:34.8,8:04.7
#52,Baroncelli Riccardo  - Sandri A. Mitsubishi Lancer Evo VIII,N4,8:25.4,8:05.4,7:52.1,8:39.8
#54,Coppe Lorenzo  - Simioni Roberto Mitsubishi Lancer Evo IX,N4,7:44.5,7:30.8,7:22.0,7:43.4
#55,Marchioro Antonio  - Segato R. Mitsubishi Lancer Evo IX,N4,7:51.1,7:31.1,7:19.3,7:42.5
#56,Cadamuro Flavio  - Marchesini A. Mitsubishi Lancer Evo IX,N4,8:13.9,7:55.4,7:56.8,8:21.4
#57,Bassi G.  - Michelutti P. Subaru Impreza STi N12,N4,8:31.7,8:07.5,8:08.8,8:28.1
#58,Baldan Stefano  - Scramuzza Sonia Mitsubishi Lancer Evo IX,N4,8:53.9,8:31.8,8:12.5,8:31.8
#59,Nardin Massimo  - Rosina Claudio Subaru Impreza STi N14,N4,8:47.5,7:53.1,7:40.3,-
#6,Marchioro C.  - Dall'Olmo S. Škoda Fabia Rally2 evo,R5/Rally2,7:10.2,7:08.5,6:59.2,7:06.9
#7,Vagnini Jader  - Musiari Martina Škoda Fabia R5,R5/Rally2,7:03.0,7:01.0,6:53.9,7:04.7
#70,Casarin Matteo  - De Bastiani Sara Mitsubishi Lancer Evo VII,N4,8:33.1,8:07.5,8:06.8,8:38.5
#71,Cattelan Massimiliano  - Marcon A. Mercedes-Benz 190E 2.3 16V,A8,8:17.7,8:11.9,7:57.8,8:32.5
#72,Todaro Pietro  - Giovenale Elena Ford Fiesta Rally3,Rally3,8:25.6,8:09.8,8:08.6,9:55.0
#73,Zanotto Romeo  - Fornasier Luigino Ford Fiesta Rally3,Rally3,8:17.1,8:34.8,7:56.5,8:32.2
#74,Marchioro Nicolò  - Marchetti M. Peugeot 208 Rally4,Rally4,7:49.0,7:43.7,7:36.3,7:43.8
#75,Martinis Fabrizio  - Boi Valentina Peugeot 208 Rally4,Rally4,7:51.3,7:50.1,7:36.1,7:46.9
#76,Barisan Michele  - Mengon Luca Peugeot 208 Rally4,Rally4,8:05.6,7:51.0,10:43.7,7:55.7
#77,Spagnol Jason  - Bechevolo Fabio Peugeot 208 R2,Rally4,8:10.9,8:03.1,7:53.4,8:06.5
#78,Pierulivo Leonardo  - Ferrigno E. Peugeot 208 R2,Rally4 Under 25,8:12.1,-,-,-
#79,Stella Manuele  - Refondini Sara Peugeot 208 Rally4,Rally4,10:07.3,7:58.8,7:46.1,7:53.0
#8,Bresolin Edoardo  - Pollet Rudy Škoda Fabia Rally2 evo,R5/Rally2,7:19.7,7:01.0,6:55.5,7:02.3
#80,Pesavento Davide  - Frigo Marco Peugeot 208 Rally4,Rally4 Under 25,7:58.9,-,-,-
#81,Ancillotti L.  - Ancillotti C. Peugeot 208 Rally4,Rally4,8:06.3,7:47.9,7:45.4,7:55.9
#82,Caldart Claudio  - Mosena Silvia Ford Fiesta Rally4,Rally4,8:31.7,8:09.6,8:04.7,8:27.4
#83,De Luca Mattia  - Da Rodda A. Peugeot 208 R2,Rally4,8:28.1,8:05.1,7:55.9,8:23.5
#84,Diserò Luca  - Peressutti Stefano Peugeot 208 Rally4,Rally4,8:28.1,8:11.0,7:55.5,8:07.9
#86,Ramponi Paolo  - Ramponi Stefano Peugeot 208 Rally4,Rally4 Under 25,8:50.2,8:09.6,8:04.5,8:17.7
#87,Cianfriglia Diego  - Mazzini Mirco Peugeot 208 R2,Rally4,9:07.5,8:42.4,8:27.4,9:00.8
#88,Rossetto Osvy  - Polato Giada Opel Corsa Rally4,Rally4,8:08.1,7:52.1,-,-
#9,Cesaro Leonardo  - Gaio Alessandro Škoda Fabia R5,R5/Rally2,7:12.3,7:04.3,6:59.9,7:04.9
#91,Strabello Stefano  - Pozzan V. Peugeot 208 Rally4,Rally4,7:56.4,7:50.5,7:47.5,7:56.0
#92,Pintarelli Matteo  - Manica F. Peugeot 208 Rally4,Rally4 Under 25,8:09.2,8:01.9,-,-
#93,Lovisetto Gianmarco  - Vezzaro Y. Ford Fiesta Rally4,Rally4,8:31.6,-,-,-
#95,Gheno Tobia  - Toffano Mattia Peugeot 208 Rally4,Rally4,8:07.7,7:54.6,7:49.1,8:19.5
#96,Carlet Ermes  - Carlet Enrico Ford Fiesta Rally4,Rally4,8:53.7,8:23.7,8:27.7,8:36.7
#97,De Faveri Joseph  - De Faveri A. Peugeot 208 Rally4,Rally4,8:44.4,8:22.3,8:20.0,8:54.4
#98,Rousopoulos Christos  - Pappas N. Peugeot 208 Rally4,Rally4,8:32.2,8:02.3,8:14.4,8:18.0
#99,Foffano Cristian  - Silvi Luca Peugeot 208 R2,Rally4,9:01.1,8:37.0,8:28.2,8:55.3
