,,,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time
#77,Bentivogli Giacomo  - Guzzi G. Seat Ibiza 2.0 GTi 16V,A7 Under 25,8:23.3,7:57.2,5:18.3,-,-,-,-,-,-
#78,Ongaro Germano  - Toffano Mattia Renault Clio RS,N3,8:09.1,7:53.5,5:19.4,7:58.8,7:36.0,5:21.4,8:07.2,7:45.8,5:27.0
#79,Cerroni Wiliam  - Cicciarelli F. Renault Clio RS Light,N3,8:11.1,7:35.2,5:16.5,8:04.0,7:29.6,5:12.6,8:08.6,7:42.6,5:28.5
#8,Oldrati Enrico  - De Guio Elia Škoda Fabia Rally2 evo,R5/Rally2,6:37.8,6:14.8,4:21.8,6:17.9,5:57.5,4:14.0,6:17.7,5:56.9,4:10.5
#81,Arati Mauro  - Musolesi Andrea Renault Clio RS,N3,8:09.2,7:39.2,5:20.5,8:09.6,7:46.8,5:17.5,8:25.1,7:38.5,5:18.4
#82,Lani Alessandro  - Amaducci Gianni Peugeot 206 RC,A7 Under 25,7:37.3,7:07.2,4:55.0,7:27.5,8:19.2,5:54.2,7:22.9,6:58.6,4:52.3
#83,Solitro Fabio  - Porzio Alberto Renault Clio Rally5,Rally5 Under 25,7:32.9,7:13.9,4:51.5,7:50.3,-,-,-,-,-
#84,Nannetti Filippo  - Tasi Alessia Renault Clio Rally5,Rally5,7:41.9,7:20.2,4:52.5,7:32.6,7:03.7,4:50.5,16:15.2,7:11.9,5:03.9
#85,Savio Michael  - De Bernardini N. Renault Clio Rally5,Rally5,7:37.0,7:17.1,4:54.7,7:35.5,6:55.9,-,-,-,-
#86,Prosenc Borut  - Selan Blaž Renault Clio Rally5,Rally5,7:26.3,7:03.6,4:42.6,7:19.7,6:49.4,4:40.3,7:10.9,6:47.2,4:38.7
#88,Pregheffi M.  - Lamberti Zanardi A. Mini Cooper S,RSTB 1.6,8:43.2,7:56.6,5:19.6,8:29.8,8:19.5,5:46.9,11:57.0,10:40.3,7:38.4
#89,Lanci Maicol  - De Luca Fabio Citroën Saxo VTS,N2,7:57.7,7:30.0,5:02.6,7:38.5,7:14.5,5:06.3,8:15.7,8:29.2,6:03.9
#9,Todeschini F.  - De Castelli S. Hyundai i20 N Rally2,R5/Rally2,6:23.8,6:02.4,4:12.2,6:15.3,5:54.9,4:11.3,6:13.4,5:52.6,4:07.7
#91,Olevano Emmanuele  - De Filippi S. Suzuki Swift Sport MK4,N2 Under 25,8:33.8,8:21.3,5:47.1,8:39.8,8:08.7,6:20.5,9:12.6,8:49.7,6:13.4
