48,#56,RC3,19:51,+15.0,+46.4,+1:15.4,+2:07.9,+2:48.8,+2:55.0,+3:57.4,21:34.1,+4:37.2
49,#74,RC2,19:55,+8.3,+17.1,+36.5,+49.9,+1:04.0,+1:06.5,+1:42.5,19:11.4,+2:14.5
50,#73,RC2,19:58,+5.3,+20.3,+36.5,+1:08.6,+1:32.3,+1:35.0,+2:11.4,19:35.2,+2:38.3
51,#75,RC3,20:00,+5.6,+17.2,+29.3,+51.0,+1:07.8,+1:09.5,+1:37.6,18:54.6,+1:57.7
52,#76,RC3,20:02,+8.2,+33.8,+53.0,+1:29.9,+2:05.7,+2:12.7,+24:44.4,45:01.5,+28:04.6
53,#57,RC3,20:04,+16.1,+50.2,+1:32.9,+2:30.3,+5:57.6,+6:06.1,+8:28.3,29:33.7,+12:36.8
54,#79,RC2,20:07,+12.2,+40.3,+1:13.2,+2:05.7,+3:18.5,+3:32.3,+5:56.8,24:13.7,+7:16.8
55,#81,RC4,20:09,+13.1,+42.0,+1:12.8,+1:58.4,+2:30.2,+2:35.9,+4:13.0,22:40.6,+5:43.7
56,#82,RC4,20:11,+14.6,+46.5,+1:23.1,+2:30.8,+3:18.2,+3:25.3,+4:51.1,22:43.0,+5:46.1
57,#83,RC4,20:13,+20.2,+1:01.1,+1:39.0,+2:47.1,+3:32.9,+3:39.4,+4:58.5,22:57.1,+6:00.2
58,#85,RC5,20:15,+19.9,+1:08.0,+1:55.8,+3:23.8,+4:17.0,+4:24.8,+5:53.6,23:46.2,+6:49.3
59,#84,RC4,20:17,+35.5,+1:58.7,+3:20.1,+5:02.6,+6:34.3,+6:47.5,+10:09.6,30:27.0,+13:30.1
