49,#74,RC2,17:47,+16.5,+21.2,+39.6,+3:14.2,+3:20.5,+3:24.4,20:07.8,+3:31.2
50,#73,RC2,17:49,+23.8,+30.5,+55.2,+1:40.8,+2:05.5,+2:16.8,19:08.4,+2:31.8
51,#75,RC3,17:51,+19.3,+26.7,+49.9,+1:04.7,+1:14.6,+1:20.1,18:05.5,+1:28.9
52,#76,RC3,17:53,+28.1,+38.8,+1:11.3,+1:30.2,+1:45.0,+1:54.4,18:43.3,+2:06.7
53,#57,RC3,17:55,+53.9,+1:09.6,+2:02.6,+2:36.0,+3:05.3,+3:23.8,20:24.2,+3:47.6
54,#77,RC2,17:57,+46.4,+1:07.3,-,-,-,-,29:08.4,+12:31.8
55,#79,RC2,17:59,+40.5,+57.3,+1:44.3,+2:14.8,+2:33.1,+2:44.3,19:36.8,+3:00.2
56,#81,RC4,18:01,+43.6,+59.4,+1:50.6,+2:20.4,+2:41.1,+2:52.0,19:47.6,+3:11.0
57,#82,RC4,18:03,+49.0,+1:07.3,+2:13.7,+2:49.6,+3:10.5,+3:21.3,20:14.4,+3:37.8
58,#83,RC4,18:05,+59.0,+1:19.1,+2:22.8,+2:57.5,+3:24.7,+3:40.6,20:42.2,+4:05.6
59,#85,RC5,18:07,+1:13.4,+1:49.1,+3:47.5,+4:45.1,+5:22.6,+5:44.1,22:53.9,+6:17.3
60,#84,RC4,18:09,+1:52.5,+2:25.6,+4:03.2,+5:07.8,+6:02.3,+6:31.5,23:51.7,+7:15.1
