54,#77,RC2,10:25,+27.0,+40.7,+1:03.4,+1:28.4,+1:49.7,+2:05.2,+2:22.9,+2:38.0,21:38.8,+3:05.7
55,#76,RC3,10:27,+27.8,+41.5,+1:07.7,+1:43.4,+2:07.7,+2:20.6,+2:32.1,+2:46.3,21:43.8,+3:10.7
56,#78,RC3,10:29,+42.6,+ 1:02.8,+1:31.9,+5:01.1,+5:34.7,+5:53.6,+6:19.4,+6:44.4,25:53.7,+7:20.6
57,#56,RC3,10:31,+44.5,+1:05.3,+1:39.9,+2:15.5,+2:43.7,+3:02.6,+3:19.2,+3:39.9,22:46.4,+4:13.3
58,#55,RC3,10:33,+36.6,+56.6,+1:30.2,+1:59.5,+2:29.2,+2:46.7,+3:05.4,+3:25.3,22:27.2,+3:54.1
59,#79,RC2,10:35,+37.8,+57.2,+1:28.0,+2:01.1,+2:27.7,+2:46.5,+3:05.6,+3:25.0,22:29.9,+3:56.8
60,#81,RC4,10:38,+53.4,+1:15.7,+1:50.7,+2:27.8,+2:56.3,+3:18.1,+3:34.6,+3:54.6,22:58.7,+4:25.6
61,#83,RC4,10:42,+1:14.0,+ 1:46.4,+2:34.6,+3:28.9,+4:05.8,+4:33.7,+4:57.8,+5:28.3,24:47.9,+6:14.8
62,#85,RC5,10:44,+1:16.2,+ 1:48.0,+2:33.9,+3:23.4,+3:56.1,+4:22.0,+4:47.1,+5:16.0,24:26.8,+5:53.7
63,#84,RC4,10:46,+1:46.5,+2:26.5,+3:33.6,+4:43.2,+5:40.4,+6:20.3,+7:01.1,+7:40.2,27:09.6,+8:36.5
64,#82,RC4,10:40,+9:57.7,+ 10:34.1,+11:32.5,+12:51.1,+13:47.6,+14:28.8,-,-,35:12.4,+16:39.3
