,,,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4,6,7,10,11,12,13,14,15,16,17
#76,Caetano Nuno - Mouta Sofia Ford Fiesta Rally3,RC3,1:49.8,-,-,-,-,-,6:43.2,8:07.2,7:21.3,10:12.3 [N],-,-,-,-
#76,Caetano Nuno - Mouta Sofia Ford Fiesta Rally3  [SR],RC3,-,18:19.5 [N],23:17.1 [N],20:14.1 [N],18:42.7 [N],23:43.7 [N],-,-,-,-,-,-,-,-
#77,Francolí Comellas S. - Moreno X. Toyota GR Yaris RZ,R3N,1:35.5,8:19.5,13:40.5,10:14.1 [N],8:59.8,13:43.7 [N],6:07.7,7:32.7,6:58.6,10:12.3 [N],6:23.2,7:31.0,6:59.4,11:34.5
#78,Campos Miguel - Janela José Toyota GR Yaris RZ,R3N,1:41.2,8:21.1,14:17.1,10:14.1 [N],9:00.8,13:43.7 [N],-,-,-,-,-,-,-,-
#79,Costa Ricardo - Vilaça Rui Daniel Toyota GR Yaris RZ,R3N,1:36.0,8:39.1,13:39.4,10:14.1 [N],9:08.7,13:43.7 [N],6:14.2,7:49.9,7:07.1,10:12.3 [N],6:30.0,7:35.9,7:57.5,10:58.6
#8,Tempestini Simone - Itu Sergiu Škoda Fabia Rally2 evo,RC2,1:29.5,7:38.3,11:42.1,8:11.3,7:27.2,11:43.9 [N],5:33.0,7:01.2,6:19.4,9:40.6,5:32.9,6:49.6,6:18.7,9:52.1
#80,Berdomás Lorenzo D. - Mirón Carnés B. Toyota GR Yaris RZ,R3N,1:39.3,9:42.6,16:23.8,-,-,-,6:34.9,8:02.3,7:15.5,10:12.3 [N],6:18.0,7:49.7,7:09.3,10:58.6 [N]
#80,Berdomás Lorenzo D. - Mirón Carnés B. Toyota GR Yaris RZ  [SR],R3N,-,-,-,20:14.1 [N],18:42.7 [N],23:43.7 [N],-,-,-,-,-,-,-,-
#81,Lago Vieira Pedro - Faria Ricardo Toyota GR Yaris RZ,R3N,1:45.2,9:01.0,13:59.0,10:14.1 [N],9:11.2,13:43.7 [N],6:47.4,7:57.2,7:24.0,10:12.3 [N],6:51.6,8:08.8,7:34.0,11:43.3
#82,Bulacia B. - Coronado Jiménez A. Toyota GR Yaris RZ,R3N,1:42.5,8:21.3,13:17.1,10:14.1 [N],8:47.9,13:43.7 [N],6:07.7,7:30.4,6:51.4,10:12.3 [N],6:03.0,7:30.8,6:53.6,-
#83,Monarri Alberto - Chamorro Alberto Toyota GR Yaris RZ,R3N,1:42.9,8:45.8,13:49.0,10:14.1 [N],8:56.5,13:43.7 [N],6:22.1,7:59.4,7:19.0,10:12.3 [N],6:38.8,7:42.9,7:17.5,10:58.6 [N]
#84,Lafay Pierre - Savignoni Dominique Toyota GR Yaris RZ,R3N,1:45.7,8:48.8,14:33.4,10:14.1 [N],9:02.8,13:43.7 [N],6:44.8,8:24.3,7:27.8,10:12.3 [N],6:38.8,8:02.9,7:16.9,10:58.6 [N]
#85,Mulero Mateo J. - Fernández Mula C. Toyota GR Yaris RZ,R3N,-,-,-,-,-,-,7:17.0,8:52.4,7:48.8,10:12.3 [N],11:45.1,8:32.5,8:00.4,10:58.6 [N]
#85,Mulero Mateo J. - Fernández Mula C. Toyota GR Yaris RZ  [SR],R3N,11:35.5 [N],9:21.1,15:29.3,10:14.1 [N],9:36.9,13:43.7 [N],-,-,-,-,-,-,-,-
#86,Lloverá Albert - López Sáez Ó. Toyota GR Yaris RZ,R3N,1:45.7 [N],-,-,-,-,-,6:54.2,8:50.0,7:45.2,10:12.3 [N],6:48.2,8:59.5,10:17.9,10:58.6 [N]
#86,Lloverá Albert - López Sáez Ó. Toyota GR Yaris RZ  [SR],R3N,-,18:19.5 [N],23:17.1 [N],20:14.1 [N],18:42.7 [N],23:43.7 [N],-,-,-,-,-,-,-,-
#87,Vera Alberruche I. - Cerezo Martín S. Toyota GR Yaris RZ,R3N,1:45.7 [N],8:49.6,13:46.8,10:14.1 [N],8:42.7,13:43.7 [N],6:39.0,8:04.1,7:20.5,10:12.3 [N],6:39.0,7:45.6,7:22.7,12:35.9
#88,Raoux Jean-Michel - Paque Antoine Toyota GR Yaris RZ,R3N,1:45.7 [N],8:28.7,14:01.9,10:14.1 [N],8:46.9,13:43.7 [N],6:24.9,8:18.6,7:41.5,10:12.3 [N],6:35.1,8:10.5,7:30.6,11:21.9
#89,Rieu Jonathan - Escartefigue Thomas Toyota GR Yaris RZ,R3N,1:45.7 [N],8:43.6,14:43.8,10:14.1 [N],-,-,6:28.2,8:21.3,7:30.5,10:12.3 [N],6:32.4,8:06.8,7:32.1,-
#89,Rieu Jonathan - Escartefigue Thomas Toyota GR Yaris RZ  [SR],R3N,-,-,-,-,18:42.7 [N],23:43.7 [N],-,-,-,-,-,-,-,-
#9,Campedelli Simone - Canton Tania Škoda Fabia Rally2 evo,RC2,1:31.6,7:31.3,15:25.6,7:39.0,7:29.9,11:43.9 [N],5:39.5,7:05.8,6:25.3,9:48.2,5:33.2 [N],6:46.2,6:15.2,9:40.9
#90,Villa García Javier - Blanco A. Toyota GR Yaris RZ,R3N,1:45.7 [N],9:14.7,14:19.3,10:14.1 [N],9:31.3,13:43.7 [N],6:38.4,8:12.9,7:46.0,10:12.3 [N],6:44.4,8:08.2,7:29.0,-
#91,Gascou Emmanuel - De Turckheim G. Toyota GR Yaris RZ,R3N,1:45.7 [N],8:54.3,14:29.1,-,-,-,6:27.4,8:02.6,7:15.4,10:12.3 [N],6:36.0,-,-,-
#91,Gascou Emmanuel - De Turckheim G. Toyota GR Yaris RZ  [SR],R3N,-,-,-,20:14.1 [N],18:42.7 [N],23:43.7 [N],-,-,-,-,-,-,-,-
