0,,,,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time
ss,,,,1,2,3,4,6,7,10,11,12,13,14,15,16,17
No.,Crew,Group,Race,,,,,,,,,,,,,,
44,Kreuter  N,RC4,Portugal,00:01:48.0,00:09:15.8,00:15:19.3,00:18:59.9,00:18:38.8,00:24:29.7,00:07:10.9,00:08:43.9,00:07:52.4,00:10:12.3,00:06:50.2,00:08:20.0,00:07:30.9,00:11:50.0
45,Margaillan,RC2,Portugal,00:01:32.7,00:07:51.6,00:12:03.2,00:07:54.6,00:07:32.8,00:11:43.9,00:05:42.8,00:07:10.7,00:06:27.8,00:09:54.4,00:05:37.3,00:06:50.4,00:06:29.6,00:09:49.6
46,Almeida  P,RC2,Portugal,00:01:30.3,00:07:54.2,00:12:17.0,00:08:27.2,00:07:55.0,00:11:43.9,00:05:48.2,00:07:16.4,00:06:37.8,00:10:12.3,00:05:43.8,00:06:59.3,00:06:30.9,00:09:59.3
47,Kołtun  J.,RC2,Portugal,00:01:36.8,00:08:04.3,00:12:41.0,00:08:54.8,00:07:56.9,00:11:43.9,00:06:02.3,00:07:32.2,00:06:48.8,00:10:12.3,-,-,-,-
49,Neto  Paul,RC2,Portugal,00:01:35.7,00:08:03.9,00:12:42.2,00:08:48.2,00:08:10.7,00:11:43.9,00:06:01.2,00:07:28.8,00:06:52.9,00:10:12.3,00:05:54.5,00:07:21.3,00:06:46.2,00:10:25.0
50,Villanueva,RC2,Portugal,00:01:35.9,00:07:40.8,00:12:25.0,00:08:10.3,00:07:48.7,00:11:43.9,00:05:48.4,00:07:18.6,00:06:43.8,00:10:10.1,00:05:42.9,00:07:06.4,00:06:32.3,00:09:59.4
51,Caldeira  ,RC2,Portugal,00:01:37.4,00:09:10.4,00:14:00.6,00:11:01.8,00:09:46.2,00:11:43.9,00:06:47.1,00:07:54.9,00:07:23.0,00:10:12.3,00:06:30.3,00:07:50.0,00:07:25.4,00:11:18.8
52,Nõgene  J.,RC4,Portugal,00:01:43.0,00:08:38.9,00:16:35.7,00:18:59.9,00:18:38.8,00:24:29.7,00:06:20.0,00:07:48.6,00:07:04.2,00:10:12.3,00:06:16.7,00:07:36.5,00:06:54.8,-
53,Strabello ,RC4,Portugal,00:01:50.6,00:09:02.8,00:14:21.9,00:09:28.6,00:11:50.6,00:13:43.7,00:06:46.8,00:08:27.1,00:07:35.8,00:10:12.3,00:06:38.7,00:08:09.8,00:07:25.1,00:11:42.3
54,Cunha  Ern,RC4,Portugal,00:01:44.5,00:08:20.8,00:13:41.9,00:08:59.9,00:08:38.8,00:13:43.7,00:06:32.3,00:08:48.4,00:07:24.6,00:10:12.3,00:06:27.3,00:07:44.7,00:07:08.5,00:11:01.9
55,Muñoz  Pat,RC4,Portugal,00:01:49.1,00:08:56.3,00:14:09.6,00:09:51.0,00:09:03.6,00:13:43.7,00:06:38.3,00:08:23.2,00:07:35.2,00:10:12.3,00:06:38.6,00:08:11.1,00:07:26.5,00:11:39.9
