,,,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
#74,Fontana Matteo  - Arnaboldi A. Peugeot 208 Rally4,RC4,3:09.4,6:52.8,7:28.4,8:46.2 [N],5:12.6,6:59.5,7:27.7,8:46.2,5:18.9,3:28.3,10:28.0,11:45.5,19:16.0,12:24.5,10:15.0,11:32.5,11:47.4 [N],15:19.6,9:16.5,6:03.9,9:01.8,5:52.2
#75,Cartier Victor  - Deliot Manon Toyota Yaris Rally2-Kit,RC2,3:02.2,6:35.2,7:28.3,8:20.9 [N],5:08.9,6:44.4,7:34.8,8:20.9,5:04.2,3:16.8,10:28.7,11:40.4,11:47.1,12:11.6,9:51.3,11:32.8,11:37.3,-,9:25.7,6:03.6,9:06.1,5:51.9
#75,Cartier Victor  - Deliot Manon Toyota Yaris Rally2-Kit  [SR],RC2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23:57.1 [N],-,-,-,-
#76,Rowley Paul  - Mullen Darragh Ford Fiesta Rally2,RC2,3:07.8,6:55.8,7:46.8,8:53.3 [N],5:18.5,7:07.6,7:58.2,8:53.3,5:22.2,3:19.3,10:39.6,41:21.1,-,-,-,-,-,-,9:40.6,6:18.5,9:30.4,6:10.5
#76,Rowley Paul  - Mullen Darragh Ford Fiesta Rally2  [SR],RC2,-,-,-,-,-,-,-,-,-,-,-,-,21:47.1 [N],22:09.0 [N],19:51.3 [N],21:32.8 [N],21:37.3 [N],23:57.1 [N],-,-,-,-
#77,Strobl Alexander  - Kachel André Ford Fiesta R5,RC2,3:18.8,7:13.4,7:58.6,9:06.3 [N],5:30.5,7:24.4,8:22.8,9:06.3,5:40.7,3:34.7,11:15.3,12:40.7,13:34.3,13:12.4,12:02.6,-,-,-,9:52.6,6:27.8,9:53.3,6:26.2
#77,Strobl Alexander  - Kachel André Ford Fiesta R5  [SR],RC2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,21:32.8 [N],21:37.3 [N],23:57.1 [N],-,-,-,-
#78,Salin Daniel  - Salin Brigitte Škoda Fabia R5,RC2,3:26.5,7:29.0,8:36.3,9:21.4 [N],5:31.5,7:39.0,8:26.0,9:21.4,5:38.6,4:01.7,12:22.6,13:42.0,13:44.1,13:56.0,11:44.6,13:03.2,13:06.9 [N],15:51.7,10:47.6,6:57.0,10:11.0,6:47.3
#79,Coyne John  - Treacy Eoin Hyundai i20 N Rally2,RC2,3:22.8,7:07.8,7:47.8,9:08.0 [N],5:32.7,7:26.1,8:14.1,9:08.0,5:42.8,3:40.4,11:28.8,12:42.7,12:52.5,13:08.7,11:07.3,12:49.9,12:44.5 [N],14:47.9,9:54.0,6:30.1,9:39.0,6:19.7
#8,Tänak Ott  - Järveoja Martin Ford Puma Rally1,RC1 M,2:39.0,5:38.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
#80,Hytönen Kari  - Nisula Suvi Ford Fiesta R2,RC4,3:35.3,7:29.1,17:37.2,8:12.6 [N],8:17.3,7:55.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
#81,Kaisanlahti Raimo  - Öhman Patric Ford Fiesta Rally4,RC4,3:45.0,7:46.5,8:31.4,9:51.7 [N],6:03.2,8:04.5,8:55.2,9:51.7,6:16.5,4:13.6,12:06.4,13:52.0,13:44.9,14:42.8,-,-,-,-,10:45.6,7:14.2,10:32.7,7:11.9
#81,Kaisanlahti Raimo  - Öhman Patric Ford Fiesta Rally4  [SR],RC4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19:55.5 [N],21:27.3 [N],21:45.7 [N],22:49.5 [N],-,-,-,-
#82,Hiltunen Peter  - Tiainen Pentti Renault Clio Rally4,RC4,3:52.3,7:50.9,8:42.9,9:51.7 [N],6:01.1,8:17.0,-,-,-,-,13:12.3,14:40.9,21:48.4 [N],22:13.7 [N],19:55.5 [N],21:27.3 [N],21:45.7 [N],22:49.5 [N],10:56.9,7:30.7,10:51.4,7:23.4
#82,Hiltunen Peter  - Tiainen Pentti Renault Clio Rally4  [SR],RC4,-,-,-,-,-,-,17:21.0 [N],18:20.4 [N],15:17.0 [N],13:27.4 [N],-,-,-,-,-,-,-,-,-,-,-,-
#97,Latvala Jari-Matti  - Hänninen J. Toyota GR Yaris Rally1,RC1,2:47.1,5:44.9,6:11.9,7:07.4,4:27.9,5:49.1,6:19.7,7:09.1,4:27.3,2:53.7,8:50.1,9:54.9,10:11.5,10:26.2,8:42.3,9:51.1,10:05.8,10:46.5,7:44.3,5:09.8,7:37.4,5:02.7
