0,,,,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time
ss,,,,1,2,3,4,5,6,7,8,9,10,11,12,13
No.,Crew,Group,Race,,,,,,,,,,,,,
41,Zanin  Mat,RC4,Roma Capitale,00:01:05.5,00:07:19.3,00:21:53.0,00:04:48.6,00:07:18.5,00:21:37.8,00:04:45.7,00:04:05.2,00:05:02.0,00:19:12.5,00:04:52.8,00:19:12.3,00:04:03.9
44,Schulz  Ti,RC4,Roma Capitale,00:01:14.5,00:07:13.1,00:21:25.5,00:04:45.8,00:07:12.3,00:21:19.6,00:04:42.7,00:04:00.7,00:04:51.2,00:18:54.9,00:04:51.1,00:18:49.3,00:04:03.3
45,Spitalier ,RC4,Roma Capitale,00:01:10.8,00:07:33.9,00:22:56.6,00:04:56.2,00:07:32.8,00:23:11.3,00:04:59.2,00:04:07.7,00:05:10.1,00:19:44.3,00:05:13.1,00:19:49.6,00:04:12.9
46,Noller  Re,RC4,Roma Capitale,00:01:08.0,00:08:06.0,00:22:19.9,00:04:45.2,00:07:19.4,00:31:08.9,00:14:40.0,-,-,-,-,-,-
47,Zeiringer ,RC4,Roma Capitale,00:01:05.8,00:07:25.3,00:21:54.1,00:04:53.0,00:07:25.7,00:21:56.5,00:04:49.8,00:04:06.5,00:04:58.4,00:19:05.8,00:04:54.3,00:19:09.8,00:04:07.3
48,Škulj  Mar,RC4,Roma Capitale,00:01:06.5,00:07:19.5,00:22:05.7,00:04:46.8,00:07:20.3,00:21:47.2,00:04:44.9,00:04:04.8,00:05:00.6,00:19:09.1,00:04:55.4,00:19:12.1,00:04:06.0
49,Kreuter  N,RC4,Roma Capitale,00:01:09.8,00:07:29.4,00:22:28.0,00:04:56.5,00:07:39.1,00:22:23.3,00:04:56.2,00:04:16.2,00:05:12.4,00:20:01.3,00:05:08.0,00:19:58.4,00:04:22.1
50,Hangodi  B,RC4,Roma Capitale,00:01:06.5,00:07:25.4,00:22:09.2,00:14:41.4,00:17:06.4,00:31:08.9,00:14:40.0,00:04:15.5,00:05:10.3,00:19:45.6,00:05:04.1,00:20:08.1,00:04:11.4
52,Rossi  Ghj,RC4,Roma Capitale,00:01:09.5,00:07:37.9,00:22:29.8,00:04:49.5,00:07:25.6,00:22:00.6,00:04:48.4,00:04:08.5,00:05:04.0,00:19:30.7,00:05:01.8,00:23:44.0,00:04:08.7
53,Tomov  A. ,RC5,Roma Capitale,00:01:26.9,00:08:10.5,00:24:14.4,00:05:24.2,00:08:06.2,00:23:53.5,00:05:22.7,00:04:30.8,00:05:35.4,00:20:48.4,00:05:43.7,00:21:04.3,00:04:32.4
54,Juhász  Cs,RC4,Roma Capitale,00:01:11.0,00:07:37.6,00:22:38.1,00:05:03.1,00:07:37.8,00:22:40.5,00:05:01.6,00:04:14.2,00:05:30.7,00:20:13.9,00:05:21.8,00:20:24.0,00:04:14.3
55,Lupu  Cipr,RC5,Roma Capitale,00:02:03.7,00:09:20.9,00:28:13.9,00:06:36.0,00:09:51.4,00:28:56.9,00:06:34.5,00:05:28.6,00:07:43.3,00:26:32.8,00:07:05.0,00:26:23.2,00:05:13.7
