Pos.,Pilote / Co-pilote,Voiture,#,Temps,Écart,ss
39, Pierre-Louis LOUBET Nicolas GILSOUL,Ford Puma Rally1 HYBRID,7,00:14:16.4,+00:01:58.5,15
40, Jean Charles ALBERTINI Patrick CHIAPPE,Skoda Fabia Evo,56,00:14:17.9,+00:02:00,15
41, Silvano PATERA Stefano TIRABOSCHI,Skoda Fabia Evo,45,00:14:18.2,+00:02:00.3,15
42, Frédéric ROSATI Philippe MARCHETTO,Hyundai i20 N,44,00:14:19.7,+00:02:01.8,15
43, Loïc PANAGIOTIS Caroline GODDI,Alpine A110,67,00:14:20.5,+00:02:02.6,15
44, Eric ROYERE Gilbert DINI,Alpine A110,64,00:14:20.9,+00:02:03,15
45, Baudouin BAUGÉ Nicolas BLANC,Peugeot 208 Rally4,71,00:14:24.9,+00:02:07,15
46, Massimiliano PEDALÀ Denis PICENO,Opel Corsa Rally4,73,00:14:25,+00:02:07.1,15
47, Fabrizio ARENGI Massimiliano BOSI,Skoda Fabia Evo,48,00:14:25.1,+00:02:07.2,15
48, Zoltán LÁSZLÓ Gábor ZSIROS,Skoda Fabia Evo,61,00:14:25.8,+00:02:07.9,15
49, Matteo FONTANA Alessandro ARNABOLDI,Peugeot 208 Rally4,74,00:14:30.6,+00:02:12.7,15
50, Yanis DESANGLES Nicolas THERON,Skoda Fabia,55,00:14:31.7,+00:02:13.8,15
51, Ghjuvanni ROSSI Maxime MARTINI,Peugeot 208 Rally4,78,00:14:34.3,+00:02:16.4,15
52, Pierre TANCI Sébastien MALET,Skoda Fabia,60,00:14:34.3,+00:02:16.4,15
53, Grégory FONTALBA Stéphan HERMET,Alpine A110,65,00:14:44.8,+00:02:26.9,15
54, Wolfgang IRLACHER Elke IRLACHER,Peugeot 208 Rally4,68,00:14:48.9,+00:02:31,15
55, Filippo MARCHINO Pietro Elia OMETTO,Skoda Fabia,47,00:14:49.3,+00:02:31.4,15
56, Jérémy PRAT Yves SEMETE,Renault Clio RS Line,82,00:14:52.2,+00:02:34.3,15
57, Nicolas RESSEGAIRE Marina MICHELI,Renault Clio RS Line,84,00:14:52.9,+00:02:35,15
58, Sebastiano CIATO Andrea BUDOIA,Peugeot 208 Rally4,75,00:15:05.3,+00:02:47.4,15
59, Julien CHARNAY Maxime GOMEZ,Renault Clio RS Line,87,00:15:06.8,+00:02:48.9,15
60, Jérôme AYMARD Sandrine AYMARD,Renault Clio RS,80,00:15:07.4,+00:02:49.5,15
61, Henk VOSSEN Annemieke HULZEBOS,Ford Fiesta,50,00:15:35,+00:03:17.1,15
62, Gilles MICHELLIER Christophe RICHARD,Peugeot 208 Rally4,79,00:15:35.6,+00:03:17.7,15
63, Giorgio MARAZZATO Elisa SOMMARIVA,Peugeot 208,77,00:15:38.9,+00:03:21,15
64, Grégory DAL ZOTTO Hervé DUBREUIL,Peugeot 208 Rally4,70,00:15:46.3,+00:03:28.4,15
65, Christophe BERARD Christophe BERNABO,Renault Clio RS Line,85,00:15:50.8,+00:03:32.9,15
66, Lilian VIALLE Manuel GHIRARDELLO,Renault Clio RS Line,83,00:15:54.3,+00:03:36.4,15
67, Marc DESSI Pamela DESSI,Renault Clio RS Line,86,00:17:09.8,+00:04:51.9,15
68, Jean-Paul PALMERO Mattia PASTORINO,Peugeot 208 Rally4,81,00:17:23.2,+00:05:05.3,15
69, Jérémie MALLARD Alexis MAREST-CECCALDI,Ford Fiesta,72,00:17:25.8,+00:05:07.9,15
70, Romain HAUT-LABOURDETTE Fabien TARDITO,Skoda Fabia,58,00:18:12.1,+00:05:54.2,15
71, Eamonn BOLAND MJ ,Citroen C3,42,,+,15
