,Pos.,Pilote / Co-pilote,Voiture,#,Temps,Écart,ss
46,47, Fabrizio ARENGI Massimiliano BOSI,Skoda Fabia Evo,48,00:14:25.1,+00:02:07.2,15
47,48, Zoltán LÁSZLÓ Gábor ZSIROS,Skoda Fabia Evo,61,00:14:25.8,+00:02:07.9,15
48,49, Matteo FONTANA Alessandro ARNABOLDI,Peugeot 208 Rally4,74,00:14:30.6,+00:02:12.7,15
49,50, Yanis DESANGLES Nicolas THERON,Skoda Fabia,55,00:14:31.7,+00:02:13.8,15
50,51, Ghjuvanni ROSSI Maxime MARTINI,Peugeot 208 Rally4,78,00:14:34.3,+00:02:16.4,15
51,52, Pierre TANCI Sébastien MALET,Skoda Fabia,60,00:14:34.3,+00:02:16.4,15
52,53, Grégory FONTALBA Stéphan HERMET,Alpine A110,65,00:14:44.8,+00:02:26.9,15
53,54, Wolfgang IRLACHER Elke IRLACHER,Peugeot 208 Rally4,68,00:14:48.9,+00:02:31,15
54,55, Filippo MARCHINO Pietro Elia OMETTO,Skoda Fabia,47,00:14:49.3,+00:02:31.4,15
55,56, Jérémy PRAT Yves SEMETE,Renault Clio RS Line,82,00:14:52.2,+00:02:34.3,15
56,57, Nicolas RESSEGAIRE Marina MICHELI,Renault Clio RS Line,84,00:14:52.9,+00:02:35,15
57,58, Sebastiano CIATO Andrea BUDOIA,Peugeot 208 Rally4,75,00:15:05.3,+00:02:47.4,15
58,59, Julien CHARNAY Maxime GOMEZ,Renault Clio RS Line,87,00:15:06.8,+00:02:48.9,15
59,60, Jérôme AYMARD Sandrine AYMARD,Renault Clio RS,80,00:15:07.4,+00:02:49.5,15
60,61, Henk VOSSEN Annemieke HULZEBOS,Ford Fiesta,50,00:15:35,+00:03:17.1,15
61,62, Gilles MICHELLIER Christophe RICHARD,Peugeot 208 Rally4,79,00:15:35.6,+00:03:17.7,15
62,63, Giorgio MARAZZATO Elisa SOMMARIVA,Peugeot 208,77,00:15:38.9,+00:03:21,15
63,64, Grégory DAL ZOTTO Hervé DUBREUIL,Peugeot 208 Rally4,70,00:15:46.3,+00:03:28.4,15
64,65, Christophe BERARD Christophe BERNABO,Renault Clio RS Line,85,00:15:50.8,+00:03:32.9,15
65,66, Lilian VIALLE Manuel GHIRARDELLO,Renault Clio RS Line,83,00:15:54.3,+00:03:36.4,15
66,67, Marc DESSI Pamela DESSI,Renault Clio RS Line,86,00:17:09.8,+00:04:51.9,15
67,68, Jean-Paul PALMERO Mattia PASTORINO,Peugeot 208 Rally4,81,00:17:23.2,+00:05:05.3,15
68,69, Jérémie MALLARD Alexis MAREST-CECCALDI,Ford Fiesta,72,00:17:25.8,+00:05:07.9,15
69,70, Romain HAUT-LABOURDETTE Fabien TARDITO,Skoda Fabia,58,00:18:12.1,+00:05:54.2,15
70,71, Eamonn BOLAND MJ ,Citroen C3,42,,+,15
0,1, Kalle ROVANPERÄ Jonne HALTTUNEN,Toyota GR Yaris Rally1 HYBRID,69,00:10:08.9,+00:00:00,16
1,2, Sébastien OGIER Vincent LANDAIS,Toyota GR Yaris Rally1 HYBRID,17,00:10:10.4,+00:00:01.5,16
2,3, Thierry NEUVILLE Martijn WYDAEGHE,Hyundai i20 N Rally1 HYBRID,11,00:10:11.4,+00:00:02.5,16
3,4, Takamoto KATSUTA Aaron JOHNSTON,Toyota GR Yaris Rally1 HYBRID,18,00:10:14.5,+00:00:05.6,16
4,5, Pierre-Louis LOUBET Nicolas GILSOUL,Ford Puma Rally1 HYBRID,7,00:10:15.7,+00:00:06.8,16
5,6, Elfyn EVANS Scott MARTIN,Toyota GR Yaris Rally1 HYBRID,33,00:10:19.4,+00:00:10.5,16
6,7, Esapekka LAPPI Janne FERM,Hyundai i20 N Rally1 HYBRID,4,00:10:19.5,+00:00:10.6,16
7,8, Daniel SORDO Candido CARRERA,Hyundai i20 N Rally1 HYBRID,6,00:10:19.6,+00:00:10.7,16
8,9, Ott TÄNAK Martin JÄRVEOJA,Ford Puma Rally1 HYBRID,8,00:10:20.7,+00:00:11.8,16
9,10, Yohan ROSSEL Arnaud DUNAND,Citroen C3,21,00:10:33.7,+00:00:24.8,16
10,11, Nikolay GRYAZIN Konstantin ALEKSANDROV,Skoda Fabia RS,24,00:10:34.5,+00:00:25.6,16
11,12, Oliver SOLBERG Elliott EDMONDSON,Skoda Fabia RS,23,00:10:35.4,+00:00:26.5,16
12,13, Alejandro CACHÓN Alejandro LÓPEZ,Citroen C3,35,00:10:39.7,+00:00:30.8,16
13,14, Erik CAIS Petr TESÍNSKÝ,Skoda Fabia RS,27,00:10:42.8,+00:00:33.9,16
14,15, Marco BULACIA Axel CORONADO,Skoda Fabia RS,26,00:10:43.6,+00:00:34.7,16
15,16, Pepe LÓPEZ Borja ROZADA,Hyundai i20 N,34,00:10:44.2,+00:00:35.3,16
16,17, Adrien FOURMAUX Alexandre CORIA,Ford Fiesta MkII,20,00:10:44.3,+00:00:35.4,16
17,18, Christopher INGRAM Craig DREW,Skoda Fabia Evo,28,00:10:45.5,+00:00:36.6,16
18,19, Joshua MCERLEAN John ROWAN,Hyundai i20 N,31,00:10:50.9,+00:00:42,16
19,20, François DELECOUR Sabrina DE CASTELLI,Skoda Fabia RS,37,00:10:51.6,+00:00:42.7,16
20,21, Matteo GAMBA Nicolò GONELLA,Skoda Fabia Evo,52,00:10:53.3,+00:00:44.4,16
21,22, Mauro MIELE Luca BELTRAME,Skoda Fabia RS,36,00:10:56,+00:00:47.1,16
22,23, Jourdan SERDERIDIS Frédéric MICLOTTE,Ford Puma Rally1 HYBRID,9,00:10:56.8,+00:00:47.9,16
23,24, Grégoire MUNSTER Louis LOUKA,Ford Fiesta MkII,25,00:10:57.8,+00:00:48.9,16
24,25, Daniel ALONSO Adrián PÉREZ,Citroen C3,41,00:11:06.5,+00:00:57.6,16
25,26, Bruno RIBERI Florian HAUT-LABOURDETTE,Skoda Fabia Evo,59,00:11:06.8,+00:00:57.9,16
26,27, Christian MERLI Marco ZORTEA,Skoda Fabia Evo,49,00:11:07.5,+00:00:58.6,16
27,28, Alessandro GINO Daniele MICHI,Citroen C3,53,00:11:13.2,+00:01:04.3,16
28,29, Luc PISTACHI Laëtitia AUTHIER,Skoda Fabia Evo,57,00:11:22.8,+00:01:13.9,16
29,30, Silvano PATERA Stefano TIRABOSCHI,Skoda Fabia Evo,45,00:11:26.3,+00:01:17.4,16
30,31, Olivier BURRI Anderson LEVRATTI,Hyundai i20 N,38,00:11:26.7,+00:01:17.8,16
31,32, Lorenzo BONTEMPELLI Giovanni PINA,Skoda Fabia Evo,40,00:11:27.3,+00:01:18.4,16
32,33, Loïc PANAGIOTIS Caroline GODDI,Alpine A110,67,00:11:27.5,+00:01:18.6,16
33,34, Johannes KEFERBÖCK Ilka MINOR,Skoda Fabia Evo,39,00:11:28.5,+00:01:19.6,16
34,35, Philippe BAFFOUN Charlyne QUARTINI,Citroen C3,54,00:11:30.6,+00:01:21.7,16
35,36, Simone NIBOLI Battista BRUNETTI,Skoda Fabia Evo,46,00:11:32.6,+00:01:23.7,16
36,37, Eric ROYERE Gilbert DINI,Alpine A110,64,00:11:35.8,+00:01:26.9,16
37,38, Mickaël PRÉVALET Jofrey COURTET,Peugeot 208 Rally4,76,00:11:43.1,+00:01:34.2,16
38,39, Fabrizio ARENGI Massimiliano BOSI,Skoda Fabia Evo,48,00:11:43.8,+00:01:34.9,16
39,40, Zoltán LÁSZLÓ Gábor ZSIROS,Skoda Fabia Evo,61,00:11:44,+00:01:35.1,16
40,41, Jean Charles ALBERTINI Patrick CHIAPPE,Skoda Fabia Evo,56,00:11:44.8,+00:01:35.9,16
41,42, David FERRARO Michel CORNEGLIO,Alpine A110,66,00:11:44.9,+00:01:36,16
42,43, Yanis DESANGLES Nicolas THERON,Skoda Fabia,55,00:11:45.3,+00:01:36.4,16
43,44, Pierre TANCI Sébastien MALET,Skoda Fabia,60,00:11:48.8,+00:01:39.9,16
44,45, Ghjuvanni ROSSI Maxime MARTINI,Peugeot 208 Rally4,78,00:11:52.7,+00:01:43.8,16
45,46, Baudouin BAUGÉ Nicolas BLANC,Peugeot 208 Rally4,71,00:11:53.3,+00:01:44.4,16
46,47, Massimiliano PEDALÀ Denis PICENO,Opel Corsa Rally4,73,00:11:54.5,+00:01:45.6,16
47,48, Matteo FONTANA Alessandro ARNABOLDI,Peugeot 208 Rally4,74,00:11:57.3,+00:01:48.4,16
48,49, Wolfgang IRLACHER Elke IRLACHER,Peugeot 208 Rally4,68,00:11:57.6,+00:01:48.7,16
49,50, Grégory FONTALBA Stéphan HERMET,Alpine A110,65,00:11:58.6,+00:01:49.7,16
50,51, Nicolas RESSEGAIRE Marina MICHELI,Renault Clio RS Line,84,00:12:02.6,+00:01:53.7,16
51,52, Filippo MARCHINO Pietro Elia OMETTO,Skoda Fabia,47,00:12:07.8,+00:01:58.9,16
52,53, Jérémy PRAT Yves SEMETE,Renault Clio RS Line,82,00:12:15.9,+00:02:07,16
53,54, Romain HAUT-LABOURDETTE Fabien TARDITO,Skoda Fabia,58,00:12:16.2,+00:02:07.3,16
54,55, Sebastiano CIATO Andrea BUDOIA,Peugeot 208 Rally4,75,00:12:27.8,+00:02:18.9,16
55,56, Frédéric ROSATI Philippe MARCHETTO,Hyundai i20 N,44,00:12:29.3,+00:02:20.4,16
56,57, Jérôme AYMARD Sandrine AYMARD,Renault Clio RS,80,00:12:29.4,+00:02:20.5,16
57,58, Giorgio MARAZZATO Elisa SOMMARIVA,Peugeot 208,77,00:12:29.9,+00:02:21,16
58,59, Julien CHARNAY Maxime GOMEZ,Renault Clio RS Line,87,00:12:33.2,+00:02:24.3,16
59,60, Grégory DAL ZOTTO Hervé DUBREUIL,Peugeot 208 Rally4,70,00:12:43.3,+00:02:34.4,16
60,61, Gilles MICHELLIER Christophe RICHARD,Peugeot 208 Rally4,79,00:12:43.8,+00:02:34.9,16
61,62, Lilian VIALLE Manuel GHIRARDELLO,Renault Clio RS Line,83,00:12:55.7,+00:02:46.8,16
62,63, Henk VOSSEN Annemieke HULZEBOS,Ford Fiesta,50,00:12:56,+00:02:47.1,16
63,64, Christophe BERARD Christophe BERNABO,Renault Clio RS Line,85,00:13:08.3,+00:02:59.4,16
64,65, Jean-Paul PALMERO Mattia PASTORINO,Peugeot 208 Rally4,81,00:13:41.9,+00:03:33,16
65,66, Jérémie MALLARD Alexis MAREST-CECCALDI,Ford Fiesta,72,00:13:58.6,+00:03:49.7,16
66,67, Marc DESSI Pamela DESSI,Renault Clio RS Line,86,00:14:18.3,+00:04:09.4,16
67,68, Stéphane LEFEBVRE Andy MALFOY,Citroen C3,22,00:15:23.4,+00:05:14.5,16
68,69, William CREIGHTON Liam REGAN,Hyundai i20 N,32,00:20:53.4,+00:10:44.5,16
69,70, Sean JOHNSTON Alexander KIHURANI,Citroen C3,29,,+,16
70,71, Eamonn BOLAND MJ ,Citroen C3,42,,+,16
0,1, Sébastien OGIER Vincent LANDAIS,Toyota GR Yaris Rally1 HYBRID,17,00:12:17,+00:00:00,17
1,2, Takamoto KATSUTA Aaron JOHNSTON,Toyota GR Yaris Rally1 HYBRID,18,00:12:20.1,+00:00:03.1,17
2,3, Kalle ROVANPERÄ Jonne HALTTUNEN,Toyota GR Yaris Rally1 HYBRID,69,00:12:23.3,+00:00:06.3,17
3,4, Thierry NEUVILLE Martijn WYDAEGHE,Hyundai i20 N Rally1 HYBRID,11,00:12:24,+00:00:07,17
4,5, Esapekka LAPPI Janne FERM,Hyundai i20 N Rally1 HYBRID,4,00:12:24.5,+00:00:07.5,17
5,6, Daniel SORDO Candido CARRERA,Hyundai i20 N Rally1 HYBRID,6,00:12:25,+00:00:08,17
6,7, Elfyn EVANS Scott MARTIN,Toyota GR Yaris Rally1 HYBRID,33,00:12:25.2,+00:00:08.2,17
7,8, Oliver SOLBERG Elliott EDMONDSON,Skoda Fabia RS,23,00:12:42.5,+00:00:25.5,17
8,9, Nikolay GRYAZIN Konstantin ALEKSANDROV,Skoda Fabia RS,24,00:12:43.5,+00:00:26.5,17
9,10, Yohan ROSSEL Arnaud DUNAND,Citroen C3,21,00:12:43.9,+00:00:26.9,17
10,11, Stéphane LEFEBVRE Andy MALFOY,Citroen C3,22,00:12:49.1,+00:00:32.1,17
11,12, Ott TÄNAK Martin JÄRVEOJA,Ford Puma Rally1 HYBRID,8,00:12:51.1,+00:00:34.1,17
12,13, Pepe LÓPEZ Borja ROZADA,Hyundai i20 N,34,00:12:52.7,+00:00:35.7,17
13,14, Erik CAIS Petr TESÍNSKÝ,Skoda Fabia RS,27,00:12:54.7,+00:00:37.7,17
14,15, Christopher INGRAM Craig DREW,Skoda Fabia Evo,28,00:12:56.4,+00:00:39.4,17
15,16, Marco BULACIA Axel CORONADO,Skoda Fabia RS,26,00:12:58.4,+00:00:41.4,17
16,17, Alejandro CACHÓN Alejandro LÓPEZ,Citroen C3,35,00:12:59.5,+00:00:42.5,17
17,18, Grégoire MUNSTER Louis LOUKA,Ford Fiesta MkII,25,00:13:04.3,+00:00:47.3,17
18,19, Adrien FOURMAUX Alexandre CORIA,Ford Fiesta MkII,20,00:13:05.5,+00:00:48.5,17
19,20, Joshua MCERLEAN John ROWAN,Hyundai i20 N,31,00:13:06.5,+00:00:49.5,17
20,21, François DELECOUR Sabrina DE CASTELLI,Skoda Fabia RS,37,00:13:06.6,+00:00:49.6,17
21,22, Bruno RIBERI Florian HAUT-LABOURDETTE,Skoda Fabia Evo,59,00:13:12,+00:00:55,17
22,23, Matteo GAMBA Nicolò GONELLA,Skoda Fabia Evo,52,00:13:15.6,+00:00:58.6,17
23,24, Jourdan SERDERIDIS Frédéric MICLOTTE,Ford Puma Rally1 HYBRID,9,00:13:15.6,+00:00:58.6,17
24,25, Mauro MIELE Luca BELTRAME,Skoda Fabia RS,36,00:13:23.9,+00:01:06.9,17
25,26, Luc PISTACHI Laëtitia AUTHIER,Skoda Fabia Evo,57,00:13:30.6,+00:01:13.6,17
26,27, Christian MERLI Marco ZORTEA,Skoda Fabia Evo,49,00:13:36.4,+00:01:19.4,17
27,28, Alessandro GINO Daniele MICHI,Citroen C3,53,00:13:37.4,+00:01:20.4,17
28,29, Daniel ALONSO Adrián PÉREZ,Citroen C3,41,00:13:39.2,+00:01:22.2,17
29,30, Johannes KEFERBÖCK Ilka MINOR,Skoda Fabia Evo,39,00:13:41.5,+00:01:24.5,17
30,31, Philippe BAFFOUN Charlyne QUARTINI,Citroen C3,54,00:13:45.1,+00:01:28.1,17
31,32, Olivier BURRI Anderson LEVRATTI,Hyundai i20 N,38,00:13:45.5,+00:01:28.5,17
32,33, Simone NIBOLI Battista BRUNETTI,Skoda Fabia Evo,46,00:13:57.3,+00:01:40.3,17
33,34, Lorenzo BONTEMPELLI Giovanni PINA,Skoda Fabia Evo,40,00:13:58.2,+00:01:41.2,17
34,35, David FERRARO Michel CORNEGLIO,Alpine A110,66,00:14:02.2,+00:01:45.2,17
35,36, Pierre TANCI Sébastien MALET,Skoda Fabia,60,00:14:03.6,+00:01:46.6,17
36,37, Zoltán LÁSZLÓ Gábor ZSIROS,Skoda Fabia Evo,61,00:14:14.4,+00:01:57.4,17
37,38, Loïc PANAGIOTIS Caroline GODDI,Alpine A110,67,00:14:14.4,+00:01:57.4,17
38,39, Silvano PATERA Stefano TIRABOSCHI,Skoda Fabia Evo,45,00:14:14.6,+00:01:57.6,17
39,40, Romain HAUT-LABOURDETTE Fabien TARDITO,Skoda Fabia,58,00:14:16.7,+00:01:59.7,17
40,41, Eric ROYERE Gilbert DINI,Alpine A110,64,00:14:19.1,+00:02:02.1,17
41,42, Mickaël PRÉVALET Jofrey COURTET,Peugeot 208 Rally4,76,00:14:20.2,+00:02:03.2,17
42,43, Yanis DESANGLES Nicolas THERON,Skoda Fabia,55,00:14:20.2,+00:02:03.2,17
43,44, Jean Charles ALBERTINI Patrick CHIAPPE,Skoda Fabia Evo,56,00:14:21.2,+00:02:04.2,17
44,45, Baudouin BAUGÉ Nicolas BLANC,Peugeot 208 Rally4,71,00:14:24.4,+00:02:07.4,17
45,46, Fabrizio ARENGI Massimiliano BOSI,Skoda Fabia Evo,48,00:14:26.2,+00:02:09.2,17
46,47, Ghjuvanni ROSSI Maxime MARTINI,Peugeot 208 Rally4,78,00:14:26.5,+00:02:09.5,17
47,48, William CREIGHTON Liam REGAN,Hyundai i20 N,32,00:14:29.7,+00:02:12.7,17
48,49, Grégory FONTALBA Stéphan HERMET,Alpine A110,65,00:14:33.5,+00:02:16.5,17
49,50, Massimiliano PEDALÀ Denis PICENO,Opel Corsa Rally4,73,00:14:34.8,+00:02:17.8,17
50,51, Matteo FONTANA Alessandro ARNABOLDI,Peugeot 208 Rally4,74,00:14:39.9,+00:02:22.9,17
51,52, Filippo MARCHINO Pietro Elia OMETTO,Skoda Fabia,47,00:14:47.7,+00:02:30.7,17
52,53, Wolfgang IRLACHER Elke IRLACHER,Peugeot 208 Rally4,68,00:14:47.7,+00:02:30.7,17
53,54, Sebastiano CIATO Andrea BUDOIA,Peugeot 208 Rally4,75,00:14:50.8,+00:02:33.8,17
54,55, Jérémy PRAT Yves SEMETE,Renault Clio RS Line,82,00:14:51.4,+00:02:34.4,17
55,56, Nicolas RESSEGAIRE Marina MICHELI,Renault Clio RS Line,84,00:15:00.9,+00:02:43.9,17
56,57, Jérôme AYMARD Sandrine AYMARD,Renault Clio RS,80,00:15:05.5,+00:02:48.5,17
57,58, Julien CHARNAY Maxime GOMEZ,Renault Clio RS Line,87,00:15:11.4,+00:02:54.4,17
58,59, Giorgio MARAZZATO Elisa SOMMARIVA,Peugeot 208,77,00:15:15,+00:02:58,17
59,60, Grégory DAL ZOTTO Hervé DUBREUIL,Peugeot 208 Rally4,70,00:15:28,+00:03:11,17
60,61, Gilles MICHELLIER Christophe RICHARD,Peugeot 208 Rally4,79,00:15:28.7,+00:03:11.7,17
61,62, Lilian VIALLE Manuel GHIRARDELLO,Renault Clio RS Line,83,00:15:35.8,+00:03:18.8,17
62,63, Christophe BERARD Christophe BERNABO,Renault Clio RS Line,85,00:16:02.9,+00:03:45.9,17
63,64, Henk VOSSEN Annemieke HULZEBOS,Ford Fiesta,50,00:16:05.7,+00:03:48.7,17
64,65, Jean-Paul PALMERO Mattia PASTORINO,Peugeot 208 Rally4,81,00:16:36.1,+00:04:19.1,17
65,66, Marc DESSI Pamela DESSI,Renault Clio RS Line,86,00:16:36.4,+00:04:19.4,17
66,67, Jérémie MALLARD Alexis MAREST-CECCALDI,Ford Fiesta,72,00:16:58,+00:04:41,17
67,68, Pierre-Louis LOUBET Nicolas GILSOUL,Ford Puma Rally1 HYBRID,7,,+,17
68,69, Frédéric ROSATI Philippe MARCHETTO,Hyundai i20 N,44,,+,17
69,70, Sean JOHNSTON Alexander KIHURANI,Citroen C3,29,,+,17
70,71, Eamonn BOLAND MJ ,Citroen C3,42,,+,17
0,1, Kalle ROVANPERÄ Jonne HALTTUNEN,Toyota GR Yaris Rally1 HYBRID,69,00:10:00.5,+00:00:00,18
1,2, Ott TÄNAK Martin JÄRVEOJA,Ford Puma Rally1 HYBRID,8,00:10:01.1,+00:00:00.5,18
2,3, Elfyn EVANS Scott MARTIN,Toyota GR Yaris Rally1 HYBRID,33,00:10:01.2,+00:00:00.6,18
3,4, Thierry NEUVILLE Martijn WYDAEGHE,Hyundai i20 N Rally1 HYBRID,11,00:10:04.7,+00:00:04.2,18
4,5, Sébastien OGIER Vincent LANDAIS,Toyota GR Yaris Rally1 HYBRID,17,00:10:05.2,+00:00:04.7,18
5,6, Esapekka LAPPI Janne FERM,Hyundai i20 N Rally1 HYBRID,4,00:10:11.2,+00:00:10.7,18
6,7, Daniel SORDO Candido CARRERA,Hyundai i20 N Rally1 HYBRID,6,00:10:14.1,+00:00:13.6,18
7,8, Oliver SOLBERG Elliott EDMONDSON,Skoda Fabia RS,23,00:10:27.3,+00:00:26.8,18
8,9, Yohan ROSSEL Arnaud DUNAND,Citroen C3,21,00:10:28.5,+00:00:28.0,18
9,10, Nikolay GRYAZIN Konstantin ALEKSANDROV,Skoda Fabia RS,24,00:10:34.1,+00:00:33.6,18
10,11, Stéphane LEFEBVRE Andy MALFOY,Citroen C3,22,00:10:38.0,+00:00:37.4,18
11,12, Adrien FOURMAUX Alexandre CORIA,Ford Fiesta MkII,20,00:10:38.4,+00:00:37.8,18
12,13, Erik CAIS Petr TESÍNSKÝ,Skoda Fabia RS,27,00:10:41.3,+00:00:40.8,18
13,14, Pepe LÓPEZ Borja ROZADA,Hyundai i20 N,34,00:10:43.2,+00:00:42.7,18
14,15, Christopher INGRAM Craig DREW,Skoda Fabia Evo,28,00:10:44.3,+00:00:43.8,18
15,16, Alejandro CACHÓN Alejandro LÓPEZ,Citroen C3,35,00:10:45.8,+00:00:45.2,18
16,17, Marco BULACIA Axel CORONADO,Skoda Fabia RS,26,00:10:46.5,+00:00:45.9,18
17,18, Grégoire MUNSTER Louis LOUKA,Ford Fiesta MkII,25,00:10:50.3,+00:00:49.7,18
18,19, François DELECOUR Sabrina DE CASTELLI,Skoda Fabia RS,37,00:10:53.8,+00:00:53.3,18
19,20, Jourdan SERDERIDIS Frédéric MICLOTTE,Ford Puma Rally1 HYBRID,9,00:10:56.1,+00:00:55.6,18
20,21, Takamoto KATSUTA Aaron JOHNSTON,Toyota GR Yaris Rally1 HYBRID,18,00:10:58.7,+00:00:58.1,18
21,22, Mauro MIELE Luca BELTRAME,Skoda Fabia RS,36,00:11:05.2,+00:01:04.7,18
22,23, Christian MERLI Marco ZORTEA,Skoda Fabia Evo,49,00:11:05.9,+00:01:05.4,18
23,24, Gilles MICHELLIER Christophe RICHARD,Peugeot 208 Rally4,79,,+,18
24,25, Olivier BURRI Anderson LEVRATTI,Hyundai i20 N,38,,+,18
25,26, Jérôme AYMARD Sandrine AYMARD,Renault Clio RS,80,,+,18
26,27, Jérémy PRAT Yves SEMETE,Renault Clio RS Line,82,,+,18
27,28, Zoltán LÁSZLÓ Gábor ZSIROS,Skoda Fabia Evo,61,,+,18
28,29, Jean Charles ALBERTINI Patrick CHIAPPE,Skoda Fabia Evo,56,,+,18
29,30, Pierre-Louis LOUBET Nicolas GILSOUL,Ford Puma Rally1 HYBRID,7,,+,18
30,31, Joshua MCERLEAN John ROWAN,Hyundai i20 N,31,,+,18
31,32, Grégory FONTALBA Stéphan HERMET,Alpine A110,65,,+,18
32,33, Baudouin BAUGÉ Nicolas BLANC,Peugeot 208 Rally4,71,,+,18
33,34, Sean JOHNSTON Alexander KIHURANI,Citroen C3,29,,+,18
34,35, Ghjuvanni ROSSI Maxime MARTINI,Peugeot 208 Rally4,78,,+,18
35,36, Marc DESSI Pamela DESSI,Renault Clio RS Line,86,,+,18
36,37, Yanis DESANGLES Nicolas THERON,Skoda Fabia,55,,+,18
37,38, David FERRARO Michel CORNEGLIO,Alpine A110,66,,+,18
38,39, Frédéric ROSATI Philippe MARCHETTO,Hyundai i20 N,44,,+,18
39,40, Eric ROYERE Gilbert DINI,Alpine A110,64,,+,18
40,41, Pierre TANCI Sébastien MALET,Skoda Fabia,60,,+,18
41,42, Jérémie MALLARD Alexis MAREST-CECCALDI,Ford Fiesta,72,,+,18
42,43, Loïc PANAGIOTIS Caroline GODDI,Alpine A110,67,,+,18
43,44, Giorgio MARAZZATO Elisa SOMMARIVA,Peugeot 208,77,,+,18
44,45, Alessandro GINO Daniele MICHI,Citroen C3,53,,+,18
45,46, Christophe BERARD Christophe BERNABO,Renault Clio RS Line,85,,+,18
46,47, Fabrizio ARENGI Massimiliano BOSI,Skoda Fabia Evo,48,,+,18
47,48, Matteo GAMBA Nicolò GONELLA,Skoda Fabia Evo,52,,+,18
48,49, Daniel ALONSO Adrián PÉREZ,Citroen C3,41,,+,18
49,50, Jean-Paul PALMERO Mattia PASTORINO,Peugeot 208 Rally4,81,,+,18
50,51, Nicolas RESSEGAIRE Marina MICHELI,Renault Clio RS Line,84,,+,18
51,52, Grégory DAL ZOTTO Hervé DUBREUIL,Peugeot 208 Rally4,70,,+,18
52,53, Massimiliano PEDALÀ Denis PICENO,Opel Corsa Rally4,73,,+,18
53,54, Mickaël PRÉVALET Jofrey COURTET,Peugeot 208 Rally4,76,,+,18
54,55, Eamonn BOLAND MJ ,Citroen C3,42,,+,18
55,56, Lilian VIALLE Manuel GHIRARDELLO,Renault Clio RS Line,83,,+,18
56,57, Luc PISTACHI Laëtitia AUTHIER,Skoda Fabia Evo,57,,+,18
57,58, Lorenzo BONTEMPELLI Giovanni PINA,Skoda Fabia Evo,40,,+,18
58,59, Johannes KEFERBÖCK Ilka MINOR,Skoda Fabia Evo,39,,+,18
59,60, Wolfgang IRLACHER Elke IRLACHER,Peugeot 208 Rally4,68,,+,18
60,61, William CREIGHTON Liam REGAN,Hyundai i20 N,32,,+,18
61,62, Julien CHARNAY Maxime GOMEZ,Renault Clio RS Line,87,,+,18
62,63, Filippo MARCHINO Pietro Elia OMETTO,Skoda Fabia,47,,+,18
63,64, Sebastiano CIATO Andrea BUDOIA,Peugeot 208 Rally4,75,,+,18
64,65, Bruno RIBERI Florian HAUT-LABOURDETTE,Skoda Fabia Evo,59,,+,18
65,66, Henk VOSSEN Annemieke HULZEBOS,Ford Fiesta,50,,+,18
66,67, Romain HAUT-LABOURDETTE Fabien TARDITO,Skoda Fabia,58,,+,18
67,68, Philippe BAFFOUN Charlyne QUARTINI,Citroen C3,54,,+,18
68,69, Simone NIBOLI Battista BRUNETTI,Skoda Fabia Evo,46,,+,18
69,70, Matteo FONTANA Alessandro ARNABOLDI,Peugeot 208 Rally4,74,,+,18
70,71, Silvano PATERA Stefano TIRABOSCHI,Skoda Fabia Evo,45,,+,18
0,1, Sébastien OGIER Vincent LANDAIS,Toyota GR Yaris Rally1 HYBRID,17,00:16:10.8,+00:00:00,2
1,2, Elfyn EVANS Scott MARTIN,Toyota GR Yaris Rally1 HYBRID,33,00:16:15.5,+00:00:04.7,2
2,3, Ott TÄNAK Martin JÄRVEOJA,Ford Puma Rally1 HYBRID,8,00:16:17.6,+00:00:06.8,2
3,4, Thierry NEUVILLE Martijn WYDAEGHE,Hyundai i20 N Rally1 HYBRID,11,00:16:20.3,+00:00:09.5,2
4,5, Kalle ROVANPERÄ Jonne HALTTUNEN,Toyota GR Yaris Rally1 HYBRID,69,00:16:20.5,+00:00:09.7,2
5,6, Daniel SORDO Candido CARRERA,Hyundai i20 N Rally1 HYBRID,6,00:16:30.5,+00:00:19.7,2
6,7, Pierre-Louis LOUBET Nicolas GILSOUL,Ford Puma Rally1 HYBRID,7,00:16:40.2,+00:00:29.4,2
7,8, Esapekka LAPPI Janne FERM,Hyundai i20 N Rally1 HYBRID,4,00:16:40.6,+00:00:29.8,2
8,9, Nikolay GRYAZIN Konstantin ALEKSANDROV,Skoda Fabia RS,24,00:16:53.4,+00:00:42.6,2
9,10, Takamoto KATSUTA Aaron JOHNSTON,Toyota GR Yaris Rally1 HYBRID,18,00:17:00.9,+00:00:50.1,2
10,11, Yohan ROSSEL Arnaud DUNAND,Citroen C3,21,00:17:02,+00:00:51.2,2
11,12, Stéphane LEFEBVRE Andy MALFOY,Citroen C3,22,00:17:02.2,+00:00:51.4,2
12,13, Pepe LÓPEZ Borja ROZADA,Hyundai i20 N,34,00:17:11.6,+00:01:00.8,2
13,14, Adrien FOURMAUX Alexandre CORIA,Ford Fiesta MkII,20,00:17:15.2,+00:01:04.4,2
14,15, Christopher INGRAM Craig DREW,Skoda Fabia Evo,28,00:17:19.6,+00:01:08.8,2
15,16, François DELECOUR Sabrina DE CASTELLI,Skoda Fabia RS,37,00:17:23.5,+00:01:12.7,2
16,17, Marco BULACIA Axel CORONADO,Skoda Fabia RS,26,00:17:25.1,+00:01:14.3,2
