Pos.,Pilote / Co-pilote,Voiture,#,Temps,Écart,ss
32, Philippe BAFFOUN Charlyne QUARTINI,Citroen C3,54,00:10:44.2,+00:01:38.7,9
33, Sean JOHNSTON Alexander KIHURANI,Citroen C3,29,00:10:44.8,+00:01:39.3,9
34, Olivier BURRI Anderson LEVRATTI,Hyundai i20 N,38,00:10:45.7,+00:01:40.2,9
35, Grégory FONTALBA Stéphan HERMET,Alpine A110,65,00:10:46.3,+00:01:40.8,9
36, Loïc PANAGIOTIS Caroline GODDI,Alpine A110,67,00:10:47.4,+00:01:41.9,9
37, Christian MERLI Marco ZORTEA,Skoda Fabia Evo,49,00:10:52.8,+00:01:47.3,9
38, Mickaël PRÉVALET Jofrey COURTET,Peugeot 208 Rally4,76,00:10:53.2,+00:01:47.7,9
39, Lorenzo BONTEMPELLI Giovanni PINA,Skoda Fabia Evo,40,00:10:57.2,+00:01:51.7,9
40, Luc PISTACHI Laëtitia AUTHIER,Skoda Fabia Evo,57,00:10:57.3,+00:01:51.8,9
41, Fabrizio ARENGI Massimiliano BOSI,Skoda Fabia Evo,48,00:10:58.6,+00:01:53.1,9
42, Ghjuvanni ROSSI Maxime MARTINI,Peugeot 208 Rally4,78,00:11:02.4,+00:01:56.9,9
43, Eamonn BOLAND MJ ,Citroen C3,42,00:11:02.6,+00:01:57.1,9
44, Yanis DESANGLES Nicolas THERON,Skoda Fabia,55,00:11:04.4,+00:01:58.9,9
45, Pierre TANCI Sébastien MALET,Skoda Fabia,60,00:11:06.3,+00:02:00.8,9
46, Zoltán LÁSZLÓ Gábor ZSIROS,Skoda Fabia Evo,61,00:11:08.2,+00:02:02.7,9
47, Jean Charles ALBERTINI Patrick CHIAPPE,Skoda Fabia Evo,56,00:11:11.3,+00:02:05.8,9
48, Silvano PATERA Stefano TIRABOSCHI,Skoda Fabia Evo,45,00:11:13.5,+00:02:08,9
49, Baudouin BAUGÉ Nicolas BLANC,Peugeot 208 Rally4,71,00:11:13.6,+00:02:08.1,9
50, Eric ROYERE Gilbert DINI,Alpine A110,64,00:11:15.3,+00:02:09.8,9
51, Simone NIBOLI Battista BRUNETTI,Skoda Fabia Evo,46,00:11:18.5,+00:02:13,9
52, David FERRARO Michel CORNEGLIO,Alpine A110,66,00:11:19.1,+00:02:13.6,9
53, Massimiliano PEDALÀ Denis PICENO,Opel Corsa Rally4,73,00:11:23.6,+00:02:18.1,9
54, Wolfgang IRLACHER Elke IRLACHER,Peugeot 208 Rally4,68,00:11:35.8,+00:02:30.3,9
55, Matteo FONTANA Alessandro ARNABOLDI,Peugeot 208 Rally4,74,00:11:36.9,+00:02:31.4,9
56, Filippo MARCHINO Pietro Elia OMETTO,Skoda Fabia,47,00:11:38.7,+00:02:33.2,9
57, Nicolas RESSEGAIRE Marina MICHELI,Renault Clio RS Line,84,00:11:38.8,+00:02:33.3,9
58, Frédéric ROSATI Philippe MARCHETTO,Hyundai i20 N,44,00:11:40.4,+00:02:34.9,9
59, Jérémy PRAT Yves SEMETE,Renault Clio RS Line,82,00:11:47.7,+00:02:42.2,9
60, Julien CHARNAY Maxime GOMEZ,Renault Clio RS Line,87,00:12:04.6,+00:02:59.1,9
61, Sebastiano CIATO Andrea BUDOIA,Peugeot 208 Rally4,75,00:12:08.5,+00:03:03,9
62, Henk VOSSEN Annemieke HULZEBOS,Ford Fiesta,50,00:12:09,+00:03:03.5,9
63, Jérôme AYMARD Sandrine AYMARD,Renault Clio RS,80,00:12:09.2,+00:03:03.7,9
64, Gilles MICHELLIER Christophe RICHARD,Peugeot 208 Rally4,79,00:12:19.9,+00:03:14.4,9
65, Lilian VIALLE Manuel GHIRARDELLO,Renault Clio RS Line,83,00:12:21,+00:03:15.5,9
66, Grégory DAL ZOTTO Hervé DUBREUIL,Peugeot 208 Rally4,70,00:12:33.1,+00:03:27.6,9
67, Giorgio MARAZZATO Elisa SOMMARIVA,Peugeot 208,77,00:12:38,+00:03:32.5,9
68, Christophe BERARD Christophe BERNABO,Renault Clio RS Line,85,00:12:52.2,+00:03:46.7,9
69, Marc DESSI Pamela DESSI,Renault Clio RS Line,86,00:13:30.7,+00:04:25.2,9
70, Jérémie MALLARD Alexis MAREST-CECCALDI,Ford Fiesta,72,00:13:50.7,+00:04:45.2,9
71, Jean-Paul PALMERO Mattia PASTORINO,Peugeot 208 Rally4,81,00:13:58.1,+00:04:52.6,9
72, Richard FRAU Stephane MARQUEZ,Alpine A110,63,00:14:15.1,+00:05:09.6,9
73, Jonathan HIRSCHI Michaël VOLLUZ,Volkswagen Polo GTI,51,,+,9
