Pos.,Pilote / Co-pilote,Voiture,#,Temps,Écart,ss
41, Mickaël PRÉVALET Jofrey COURTET,Peugeot 208 Rally4,76,00:11:43.3,+00:01:42.7,18
42, Zoltán LÁSZLÓ Gábor ZSIROS,Skoda Fabia Evo,61,00:11:47.5,+00:01:47.0,18
43, Yanis DESANGLES Nicolas THERON,Skoda Fabia,55,00:11:52.9,+00:01:52.4,18
44, Ghjuvanni ROSSI Maxime MARTINI,Peugeot 208 Rally4,78,00:11:56.4,+00:01:55.9,18
45, Wolfgang IRLACHER Elke IRLACHER,Peugeot 208 Rally4,68,00:11:57.9,+00:01:57.4,18
46, Matteo FONTANA Alessandro ARNABOLDI,Peugeot 208 Rally4,74,00:11:59.2,+00:01:58.6,18
47, Jean Charles ALBERTINI Patrick CHIAPPE,Skoda Fabia Evo,56,00:12:02.6,+00:02:02.1,18
48, Filippo MARCHINO Pietro Elia OMETTO,Skoda Fabia,47,00:12:09.6,+00:02:09.0,18
49, Massimiliano PEDALÀ Denis PICENO,Opel Corsa Rally4,73,00:12:09.6,+00:02:09.1,18
50, Sebastiano CIATO Andrea BUDOIA,Peugeot 208 Rally4,75,00:12:13.1,+00:02:12.6,18
51, Grégory FONTALBA Stéphan HERMET,Alpine A110,65,00:12:15.3,+00:02:14.7,18
52, Nicolas RESSEGAIRE Marina MICHELI,Renault Clio RS Line,84,00:12:16.0,+00:02:15.5,18
53, Jérémy PRAT Yves SEMETE,Renault Clio RS Line,82,00:12:20.5,+00:02:19.9,18
54, Giorgio MARAZZATO Elisa SOMMARIVA,Peugeot 208,77,00:12:34.4,+00:02:33.8,18
55, Gilles MICHELLIER Christophe RICHARD,Peugeot 208 Rally4,79,00:12:37.7,+00:02:37.2,18
56, Jérôme AYMARD Sandrine AYMARD,Renault Clio RS,80,00:12:38.4,+00:02:37.9,18
57, Grégory DAL ZOTTO Hervé DUBREUIL,Peugeot 208 Rally4,70,00:12:40.1,+00:02:39.6,18
58, Julien CHARNAY Maxime GOMEZ,Renault Clio RS Line,87,00:12:43.6,+00:02:43.1,18
59, Lilian VIALLE Manuel GHIRARDELLO,Renault Clio RS Line,83,00:12:51.9,+00:02:51.3,18
60, Henk VOSSEN Annemieke HULZEBOS,Ford Fiesta,50,00:13:04.7,+00:03:04.1,18
61, Christophe BERARD Christophe BERNABO,Renault Clio RS Line,85,00:13:26.2,+00:03:25.7,18
62, William CREIGHTON Liam REGAN,Hyundai i20 N,32,00:13:40.0,+00:03:39.5,18
63, Jean-Paul PALMERO Mattia PASTORINO,Peugeot 208 Rally4,81,00:13:55.7,+00:03:55.2,18
64, Marc DESSI Pamela DESSI,Renault Clio RS Line,86,00:14:17.4,+00:04:16.9,18
65, Jérémie MALLARD Alexis MAREST-CECCALDI,Ford Fiesta,72,00:14:53.0,+00:04:52.4,18
66, Alessandro GINO Daniele MICHI,Citroen C3,53,00:14:57.3,+00:04:56.8,18
67, Pierre TANCI Sébastien MALET,Skoda Fabia,60,00:15:44.5,+00:05:44.0,18
68, Pierre-Louis LOUBET Nicolas GILSOUL,Ford Puma Rally1 HYBRID,7,,+,18
69, Sean JOHNSTON Alexander KIHURANI,Citroen C3,29,,+,18
70, Frédéric ROSATI Philippe MARCHETTO,Hyundai i20 N,44,,+,18
71, Eamonn BOLAND MJ ,Citroen C3,42,,+,18
