Crew,Gr/Cl,ss,Race,date,surface,competition,cou,time_SS_sec
Ladias Akis  -,C2,5,Fthinoporino,1/10/2023,Gravel,Championship,10,722.88
Milonas K.  - ,C4 F2,5,Fthinoporino,1/10/2023,Gravel,Championship,11,729.01
Giotis Ioannis,C4 F2,5,Fthinoporino,1/10/2023,Gravel,Championship,12,731.83
Stavropoulos D,C6 F2,5,Fthinoporino,1/10/2023,Gravel,Championship,13,744.28
Sotiropoulos N,C6 F2,5,Fthinoporino,1/10/2023,Gravel,Championship,14,752.19
Yiangou Y.  - ,C2,5,Fthinoporino,1/10/2023,Gravel,Championship,15,768.45
Rahoutis Fanis,C6 F2,5,Fthinoporino,1/10/2023,Gravel,Championship,16,808.13
Batis Vassilis,C6 F2,5,Fthinoporino,1/10/2023,Gravel,Championship,17,837.19
Andrikopoulos ,C5 F2,5,Fthinoporino,1/10/2023,Gravel,Championship,18,867.0
Karatarouk K. ,C4 F2,5,Fthinoporino,1/10/2023,Gravel,Championship,19,875.14
Yfantis V.  - ,C3 F2,5,Fthinoporino,1/10/2023,Gravel,Championship,20,878.54
Kattis Dimítri,C6 F2,5,Fthinoporino,1/10/2023,Gravel,Championship,21,889.74
