,,,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
#54,Vossen Henk - van Hoek Radboud Ford Fiesta Rally2,RC2,2:37.9,5:56.5,10:24.3,17:57.3,18:36.2,7:42.6 [N],18:01.7,21:33.9,11:45.2,23:52.6,10:36.7,11:12.3,23:30.2,12:10.1,11:16.8,11:57.8,10:58.9,12:03.4
#55,Kohn Filip - Woodburn Tom Ford Fiesta Rally3,RC3,2:06.5,5:01.6,8:37.2,14:50.0,15:19.1,7:42.6 [N],14:45.4,16:09.8,9:56.7,19:18.0,10:27.6,9:47.8,19:24.4,9:23.8,9:50.3,10:19.5,9:39.3,10:24.8
#56,Schwarz Fabio - Ettel Bernhard Ford Fiesta Rally3,RC3,2:05.8,5:09.1,8:36.6,14:40.4,15:49.0,7:42.6 [N],14:52.0,18:06.1,-,-,-,-,-,-,9:35.6,10:07.7,9:27.5,10:04.7
#56,Schwarz Fabio - Ettel Bernhard Ford Fiesta Rally3  [SR],RC3,-,-,-,-,-,-,-,-,19:56.7 [N],29:18.0 [N],20:27.6 [N],19:47.8 [N],29:24.4 [N],19:23.8 [N],-,-,-,-
#57,Ravenščak Martin - Ravenščak D. Ford Fiesta Rally3,RC3,2:07.6,5:19.3,-,-,-,-,-,-,10:36.6,29:18.0 [N],20:27.6 [N],19:47.8 [N],29:24.4 [N],19:23.8 [N],10:09.7,10:50.9,10:06.3,10:57.9
#57,Ravenščak Martin - Ravenščak D. Ford Fiesta Rally3  [SR],RC3,-,-,18:36.6 [N],24:40.4 [N],25:19.1 [N],17:42.6 [N],24:45.4 [N],26:09.8 [N],-,-,-,-,-,-,-,-,-,-
#58,Rary Emeric - Henry Fabrice Citroën C3 Rally2,RC2,2:07.6,5:11.7,9:20.2,16:07.6,17:19.1,7:42.6 [N],16:03.7,18:35.7,10:25.2,20:10.5,-,-,-,-,-,-,-,-
#58,Rary Emeric - Henry Fabrice Citroën C3 Rally2  [SR],RC2,-,-,-,-,-,-,-,-,-,-,19:18.2 [N],19:48.3 [N],-,-,-,-,-,-
#59,Allkofer C. - Götzenberger K. Ford Fiesta Rally2,RC2,2:09.5,5:08.8,9:13.9,15:25.4,16:29.3,7:42.6 [N],15:51.5,17:00.2,10:08.3,19:33.5,9:18.2,9:48.3,19:20.7,9:18.5,9:43.0,10:25.9,9:40.7,10:28.5
#60,van den Brink Mitchel - van Heun B. Renault Clio Rally3,RC3,2:06.6,5:09.7,8:50.3,15:04.0,16:07.9,7:42.6 [N],15:17.4,16:47.5,9:55.0,19:31.6,-,-,-,-,-,-,-,-
#61,Schulz Timo - Wenzel Michael Opel Corsa Rally4,RC4,2:13.8,5:01.0,8:49.6,15:25.6,16:04.3,7:42.6 [N],15:12.1,17:18.7,10:11.7,20:06.3,9:41.2,9:44.5,19:56.0,9:55.7,9:45.6,10:24.6,9:37.1,10:22.4
#62,Mohe Carsten - Hirsch Alexander Renault Clio Rally3,RC3,2:07.4,5:08.2,8:52.8,14:50.9,15:51.1,7:42.6 [N],15:07.7,16:24.1,9:57.7,19:20.2,9:19.9,9:44.9,19:28.1,22:59.8,9:50.5,10:26.4,9:37.9,10:25.7
#63,László Zoltán - Zsiros Gábor Škoda Fabia RS Rally2,RC2,2:09.2,5:17.7,9:31.0,16:22.3,17:34.4,7:42.6 [N],16:21.3,18:53.3,10:34.8,20:55.7,10:07.7,10:24.3,21:31.0,10:34.4,10:13.8,11:02.5,10:09.9,11:00.0
#64,Fontana Matteo - Arnaboldi A. Peugeot 208 Rally4,RC4,2:09.7,6:33.6,8:50.5,15:07.7,16:35.3,7:42.6 [N],15:25.5,16:59.9,10:10.4,19:52.6,9:34.9,9:55.0,20:03.6,9:38.7,9:53.6,10:25.6,9:38.3,10:15.2
#65,Fumal Armand - Escartefigue Jules Alpine A110 Rally RGT,RGT,2:21.5,5:13.8,9:42.8,16:37.1,17:41.6,7:42.6 [N],17:02.7,18:36.4,10:40.4,21:59.1,10:36.7 [N],10:37.0,22:57.2,12:22.5,10:30.7,11:39.1,10:26.6,12:03.0
#66,Nešetřil Petr - Černoch Jiří Porsche 997 GT3,RGT,2:11.3,5:19.0,9:19.8,16:00.2,17:22.3,7:42.6 [N],16:17.5,18:21.2,14:48.8,26:15.4,10:36.7 [N],10:40.8,22:02.7,11:25.4,10:24.6,11:16.4,10:14.5,11:14.7
#67,Rada Martin - Jugas Jaroslav Abarth 124 Rally RGT,RGT,2:17.0,5:28.3,-,-,-,-,-,-,11:23.0,22:02.7,10:36.7 [N],10:52.5,22:02.7,11:10.4,10:22.8,11:04.0,10:10.0,11:08.5
#67,Rada Martin - Jugas Jaroslav Abarth 124 Rally RGT  [SR],RGT,-,-,19:19.8 [N],26:00.2 [N],27:22.3 [N],17:42.6 [N],26:17.5 [N],28:21.2 [N],-,-,-,-,-,-,-,-,-,-
#68,Kačírek Petr - Řiháková Petra Škoda Fabia R5,RC2,2:17.4,5:15.6,8:49.8,15:15.0,16:49.8,7:42.6 [N],15:45.2,18:01.8,10:12.4,20:05.8,10:02.1,9:59.2,20:35.0,10:01.6,10:03.9,10:40.1,9:53.2,10:29.2
#69,Rovanperä Kalle - Halttunen Jonne Toyota GR Yaris Rally1,RC1 M,1:55.2,4:17.6,7:08.2,12:30.8,13:13.5,7:16.7,12:55.5,13:47.6,8:19.5,16:31.4,8:00.4,8:19.9,16:39.9,8:04.5,8:21.8,8:54.7,8:20.8,8:59.5
#7,Loubet Pierre-Louis - Veillas B. Ford Puma Rally1,RC1 M,1:55.6,4:21.7,7:26.6,13:01.7,13:51.4,7:29.6 [N],13:26.2,18:49.6,8:29.1,16:23.6,7:47.7,8:24.0,16:43.9,8:29.6,8:23.7,9:15.8,9:22.2,10:02.2
#70,Jirovec Jiří - Král Josef Škoda Fabia R5,RC2,2:38.7,5:36.1,10:06.6,16:46.5,18:31.1,7:42.6 [N],17:42.9,20:28.5,11:14.2,21:43.0,10:36.7 [N],10:36.1,22:29.7,10:53.0,10:28.8,11:18.6,10:18.3,10:59.1
#71,Irlacher Wolfgang - Irlacher Elke Peugeot 208 Rally4,RC4,2:17.9,5:30.2,9:35.7,16:16.7,17:26.7,7:42.6 [N],17:13.7,17:58.6,10:56.2,20:53.2,10:36.7 [N],10:27.1,21:01.6,10:22.4,10:30.8,11:10.7,10:26.8,11:17.9
#72,Wallner Christian - Konrad Florian Ford Fiesta Rally4,RC4,2:32.2,5:38.8,9:40.6,16:19.5,17:51.6,7:42.6 [N],17:12.0,18:28.8,11:24.8,21:25.0,10:36.7 [N],10:56.2,22:22.6,11:04.2,10:41.7,11:23.2,10:25.7,11:21.6
#73,Borodin Petr - Cheprasov Roman Ford Fiesta Rally4,RC4,2:20.9,-,-,-,-,-,-,-,10:33.4,20:25.5,10:36.7 [N],10:32.0,20:59.3,10:18.0,10:00.1,10:51.0,9:54.5,10:48.2
#73,Borodin Petr - Cheprasov Roman Ford Fiesta Rally4  [SR],RC4,-,15:01.0 [N],9:07.9,15:50.4,17:05.7,7:42.6 [N],16:19.9,17:18.0,-,-,-,-,-,-,-,-,-,-
#74,Yein Dai-wei - Hsieh Tsung-yu Škoda Fabia R5,RC2,2:52.2,6:08.3,10:03.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
#75,Weigert Timo - Weigert Jasmin Peugeot 208 Rally4,RC4,2:12.3,5:21.4,9:14.4,16:20.6,17:30.7,7:42.6 [N],-,-,12:46.9,23:08.2,10:36.7 [N],11:15.7,22:46.5,11:28.7,10:37.7,11:32.6,10:41.1,11:50.6
#75,Weigert Timo - Weigert Jasmin Peugeot 208 Rally4  [SR],RC4,-,-,-,-,-,-,25:12.1 [N],26:59.9 [N],-,-,-,-,-,-,-,-,-,-
#76,Strabello Paolo - Bianchi Davide Peugeot 208 Rally4,RC4,2:16.0,5:25.0,9:38.2,16:16.9,17:22.3,7:42.6 [N],16:52.6,18:49.6,10:42.7,21:34.8,10:36.7 [N],10:40.0,21:27.9,10:42.2,10:29.4,11:03.1,10:19.8,11:14.7
#77,Windischberger C. - Treybal P. Citroën DS3 R5,RC2,2:34.1,15:08.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
#78,Wilson Conor - Marsh Sean Ford Fiesta Rally4,RC4,2:28.2,5:47.4,9:44.9,16:44.1,18:38.0,7:42.6 [N],18:19.1,19:42.6,11:27.7,21:55.9,10:36.7 [N],11:12.3,23:54.5,11:33.9,10:59.8,11:59.1,10:57.7,11:43.4
#79,Pahlitzsch Thomas - Grundmann S. Peugeot 208 Rally4,RC4,3:10.9,6:11.3,10:20.0,17:30.9,18:48.0,7:42.6 [N],18:38.0,22:38.7,11:59.1,30:31.4,10:36.7 [N],11:31.2,24:25.8,12:24.5,11:09.1,11:49.5,19:36.3,12:16.2
#8,Tänak Ott - Järveoja Martin Ford Puma Rally1,RC1 M,1:51.2,4:16.9,7:17.8,12:54.3,13:28.9,7:23.6,13:13.1,14:09.7,8:27.1,16:19.0,7:43.3,8:19.5,16:24.3,8:34.9,8:19.0,8:43.5,8:16.9,8:49.7
#80,Stejskal Václav - Omelka Zdeněk Renault Clio Rally5,RC5,2:30.6,5:55.9,10:45.3,18:19.6,19:19.3,7:42.6 [N],18:21.1,21:52.3,12:14.5,23:27.0,10:36.7 [N],11:41.1,24:37.9,12:31.8,11:49.9,12:16.4,11:23.6,17:05.2
#81,Šekuljica Slaven - Petrović Damir Renault Clio Rally5,RC5,2:30.7,6:13.8,10:46.2,18:18.3,29:19.3 [N],-,-,-,12:22.9,33:27.0 [N],20:36.7 [N],21:41.1 [N],34:37.9 [N],22:31.8 [N],11:45.9,12:44.0,17:53.5,18:33.4
#81,Šekuljica Slaven - Petrović Damir Renault Clio Rally5  [SR],RC5,-,-,-,-,-,17:42.6 [N],28:21.1 [N],31:52.3 [N],-,-,-,-,-,-,-,-,-,-
