Crew,Gr/Cl,ss,Race,date,surface,competition,cou,time_SS_sec
Shinkai Tomoyu,NAT,7,Japan,16-19/11/2023,Tarmac,Wrc,17,1011.3
Boland Eamonn ,RC2,7,Japan,16-19/11/2023,Tarmac,Wrc,18,1034.8
Imai Satoshi  ,RC2,7,Japan,16-19/11/2023,Tarmac,Wrc,19,1071.1
Bailey Jason  ,RC3,7,Japan,16-19/11/2023,Tarmac,Wrc,20,1071.1
Hotta Makoto  ,NAT,7,Japan,16-19/11/2023,Tarmac,Wrc,21,1073.9
Murata Kosuke ,NAT,7,Japan,16-19/11/2023,Tarmac,Wrc,22,1083.5
Díaz-Aboitiz M,RC2,7,Japan,16-19/11/2023,Tarmac,Wrc,23,1098.7
Yamamoto Yuta ,NAT,7,Japan,16-19/11/2023,Tarmac,Wrc,24,1126.4
Nakayama Toru ,NAT,7,Japan,16-19/11/2023,Tarmac,Wrc,25,1208.0
Kunisawa Mitsu,RC5,7,Japan,16-19/11/2023,Tarmac,Wrc,26,1249.8
Takata Koji  -,NAT,7,Japan,16-19/11/2023,Tarmac,Wrc,27,1282.6
Aihara Taisuke,NAT,7,Japan,16-19/11/2023,Tarmac,Wrc,28,1460.2
Neuville Thier,RC1,7,Japan,16-19/11/2023,Tarmac,Wrc,29,
Sasaki Yasuyuk,NAT,7,Japan,16-19/11/2023,Tarmac,Wrc,30,
Hagiwara Yasun,NAT,7,Japan,16-19/11/2023,Tarmac,Wrc,31,
Iriemon  - Kag,NAT,7,Japan,16-19/11/2023,Tarmac,Wrc,32,
Shimizu Hiroya,NAT,7,Japan,16-19/11/2023,Tarmac,Wrc,33,
Lappi Esapekka,RC1,8,Japan,16-19/11/2023,Tarmac,Wrc,1,120.0
Ogier Sébastie,RC1,8,Japan,16-19/11/2023,Tarmac,Wrc,2,121.0
Katsuta Takamo,RC1,8,Japan,16-19/11/2023,Tarmac,Wrc,3,121.0
Tänak Ott  - J,RC1,8,Japan,16-19/11/2023,Tarmac,Wrc,4,121.1
Rovanperä Kall,RC1,8,Japan,16-19/11/2023,Tarmac,Wrc,5,121.2
Evans Elfyn  -,RC1,8,Japan,16-19/11/2023,Tarmac,Wrc,6,122.0
Mikkelsen Andr,RC2,8,Japan,16-19/11/2023,Tarmac,Wrc,7,125.9
Gryazin Nikola,RC2,8,Japan,16-19/11/2023,Tarmac,Wrc,8,126.0
Kajetanowicz K,RC2,8,Japan,16-19/11/2023,Tarmac,Wrc,9,127.3
Kovalainen Hei,RC2,8,Japan,16-19/11/2023,Tarmac,Wrc,10,127.3
Munster Grégoi,RC2,8,Japan,16-19/11/2023,Tarmac,Wrc,11,127.5
Arai Hiroki  -,RC4,8,Japan,16-19/11/2023,Tarmac,Wrc,12,131.0
Fukunaga Osamu,RC2,8,Japan,16-19/11/2023,Tarmac,Wrc,13,135.2
Boland Eamonn ,RC2,8,Japan,16-19/11/2023,Tarmac,Wrc,14,
Shinkai Tomoyu,NAT,8,Japan,16-19/11/2023,Tarmac,Wrc,15,
Murata Kosuke ,NAT,8,Japan,16-19/11/2023,Tarmac,Wrc,16,136.8
Arai Toshi  - ,NAT,8,Japan,16-19/11/2023,Tarmac,Wrc,17,137.6
Bailey Jason  ,RC3,8,Japan,16-19/11/2023,Tarmac,Wrc,18,139.6
Imai Satoshi  ,RC2,8,Japan,16-19/11/2023,Tarmac,Wrc,19,139.8
Kunisawa Mitsu,RC5,8,Japan,16-19/11/2023,Tarmac,Wrc,20,144.6
Hotta Makoto  ,NAT,8,Japan,16-19/11/2023,Tarmac,Wrc,21,145.8
Chwist Daniel ,RC2,8,Japan,16-19/11/2023,Tarmac,Wrc,22,146.3
Yamamoto Yuta ,NAT,8,Japan,16-19/11/2023,Tarmac,Wrc,23,147.4
Aihara Taisuke,NAT,8,Japan,16-19/11/2023,Tarmac,Wrc,24,155.4
Nakayama Toru ,NAT,8,Japan,16-19/11/2023,Tarmac,Wrc,25,164.1
Takata Koji  -,NAT,8,Japan,16-19/11/2023,Tarmac,Wrc,26,165.8
Neuville Thier,RC1,8,Japan,16-19/11/2023,Tarmac,Wrc,27,
Díaz-Aboitiz M,RC2,8,Japan,16-19/11/2023,Tarmac,Wrc,28,
Sasaki Yasuyuk,NAT,8,Japan,16-19/11/2023,Tarmac,Wrc,29,
Hagiwara Yasun,NAT,8,Japan,16-19/11/2023,Tarmac,Wrc,30,
Iriemon  - Kag,NAT,8,Japan,16-19/11/2023,Tarmac,Wrc,31,
Shimizu Hiroya,NAT,8,Japan,16-19/11/2023,Tarmac,Wrc,32,
Ogier Sébastie,RC1,9,Japan,16-19/11/2023,Tarmac,Wrc,1,923.2
Katsuta Takamo,RC1,9,Japan,16-19/11/2023,Tarmac,Wrc,2,
Evans Elfyn  -,RC1,9,Japan,16-19/11/2023,Tarmac,Wrc,3,926.3
Tänak Ott  - J,RC1,9,Japan,16-19/11/2023,Tarmac,Wrc,4,
Neuville Thier,RC1,9,Japan,16-19/11/2023,Tarmac,Wrc,5,
Lappi Esapekka,RC1,9,Japan,16-19/11/2023,Tarmac,Wrc,6,
Rovanperä Kall,RC1,9,Japan,16-19/11/2023,Tarmac,Wrc,7,937.6
Munster Grégoi,RC2,9,Japan,16-19/11/2023,Tarmac,Wrc,8,959.2
Mikkelsen Andr,RC2,9,Japan,16-19/11/2023,Tarmac,Wrc,9,961.3
Gryazin Nikola,RC2,9,Japan,16-19/11/2023,Tarmac,Wrc,10,963.5
Kovalainen Hei,RC2,9,Japan,16-19/11/2023,Tarmac,Wrc,11,1007.8
Arai Toshi  - ,NAT,9,Japan,16-19/11/2023,Tarmac,Wrc,12,1017.9
Kajetanowicz K,RC2,9,Japan,16-19/11/2023,Tarmac,Wrc,13,1022.1
Arai Hiroki  -,RC4,9,Japan,16-19/11/2023,Tarmac,Wrc,14,1036.2
Chwist Daniel ,RC2,9,Japan,16-19/11/2023,Tarmac,Wrc,15,1045.3
Shinkai Tomoyu,NAT,9,Japan,16-19/11/2023,Tarmac,Wrc,16,1046.1
Fukunaga Osamu,RC2,9,Japan,16-19/11/2023,Tarmac,Wrc,17,1046.9
Boland Eamonn ,RC2,9,Japan,16-19/11/2023,Tarmac,Wrc,18,1069.4
Hotta Makoto  ,NAT,9,Japan,16-19/11/2023,Tarmac,Wrc,19,1085.9
Murata Kosuke ,NAT,9,Japan,16-19/11/2023,Tarmac,Wrc,20,1112.0
Bailey Jason  ,RC3,9,Japan,16-19/11/2023,Tarmac,Wrc,21,1116.4
Yamamoto Yuta ,NAT,9,Japan,16-19/11/2023,Tarmac,Wrc,22,1133.6
Díaz-Aboitiz M,RC2,9,Japan,16-19/11/2023,Tarmac,Wrc,23,1146.0
Kunisawa Mitsu,RC5,9,Japan,16-19/11/2023,Tarmac,Wrc,24,1233.1
Sasaki Yasuyuk,NAT,9,Japan,16-19/11/2023,Tarmac,Wrc,25,1250.4
Iriemon  - Kag,NAT,9,Japan,16-19/11/2023,Tarmac,Wrc,26,1264.0
Nakayama Toru ,NAT,9,Japan,16-19/11/2023,Tarmac,Wrc,27,1267.0
Hagiwara Yasun,NAT,9,Japan,16-19/11/2023,Tarmac,Wrc,28,1276.1
Aihara Taisuke,NAT,9,Japan,16-19/11/2023,Tarmac,Wrc,29,1279.5
Takata Koji  -,NAT,9,Japan,16-19/11/2023,Tarmac,Wrc,30,1335.3
Shimizu Hiroya,NAT,9,Japan,16-19/11/2023,Tarmac,Wrc,31,1453.0
Imai Satoshi  ,RC2,9,Japan,16-19/11/2023,Tarmac,Wrc,32,
Katsuta Takamo,RC1,10,Japan,16-19/11/2023,Tarmac,Wrc,1,674.8
Neuville Thier,RC1,10,Japan,16-19/11/2023,Tarmac,Wrc,2,675.9
Tänak Ott  - J,RC1,10,Japan,16-19/11/2023,Tarmac,Wrc,3,676.9
Ogier Sébastie,RC1,10,Japan,16-19/11/2023,Tarmac,Wrc,4,684.5
Rovanperä Kall,RC1,10,Japan,16-19/11/2023,Tarmac,Wrc,5,687.3
Lappi Esapekka,RC1,10,Japan,16-19/11/2023,Tarmac,Wrc,6,688.7
Evans Elfyn  -,RC1,10,Japan,16-19/11/2023,Tarmac,Wrc,7,697.8
Mikkelsen Andr,RC2,10,Japan,16-19/11/2023,Tarmac,Wrc,8,705.4
Munster Grégoi,RC2,10,Japan,16-19/11/2023,Tarmac,Wrc,9,705.9
Gryazin Nikola,RC2,10,Japan,16-19/11/2023,Tarmac,Wrc,10,712.9
Kajetanowicz K,RC2,10,Japan,16-19/11/2023,Tarmac,Wrc,11,741.8
Kovalainen Hei,RC2,10,Japan,16-19/11/2023,Tarmac,Wrc,12,753.9
Fukunaga Osamu,RC2,10,Japan,16-19/11/2023,Tarmac,Wrc,13,755.0
Arai Hiroki  -,RC4,10,Japan,16-19/11/2023,Tarmac,Wrc,14,760.4
Chwist Daniel ,RC2,10,Japan,16-19/11/2023,Tarmac,Wrc,15,762.6
Shinkai Tomoyu,NAT,10,Japan,16-19/11/2023,Tarmac,Wrc,16,765.7
Boland Eamonn ,RC2,10,Japan,16-19/11/2023,Tarmac,Wrc,17,770.2
Murata Kosuke ,NAT,10,Japan,16-19/11/2023,Tarmac,Wrc,18,798.3
Yamamoto Yuta ,NAT,10,Japan,16-19/11/2023,Tarmac,Wrc,19,827.7
Díaz-Aboitiz M,RC2,10,Japan,16-19/11/2023,Tarmac,Wrc,20,833.5
Kunisawa Mitsu,RC5,10,Japan,16-19/11/2023,Tarmac,Wrc,21,890.5
Aihara Taisuke,NAT,10,Japan,16-19/11/2023,Tarmac,Wrc,22,902.5
Hagiwara Yasun,NAT,10,Japan,16-19/11/2023,Tarmac,Wrc,23,904.7
Nakayama Toru ,NAT,10,Japan,16-19/11/2023,Tarmac,Wrc,24,907.5
Iriemon  - Kag,NAT,10,Japan,16-19/11/2023,Tarmac,Wrc,25,924.1
Sasaki Yasuyuk,NAT,10,Japan,16-19/11/2023,Tarmac,Wrc,26,930.1
Takata Koji  -,NAT,10,Japan,16-19/11/2023,Tarmac,Wrc,27,963.1
Shimizu Hiroya,NAT,10,Japan,16-19/11/2023,Tarmac,Wrc,28,1016.0
Imai Satoshi  ,RC2,10,Japan,16-19/11/2023,Tarmac,Wrc,29,
Arai Toshi  - ,NAT,10,Japan,16-19/11/2023,Tarmac,Wrc,30,
Hotta Makoto  ,NAT,10,Japan,16-19/11/2023,Tarmac,Wrc,31,
Bailey Jason  ,RC3,10,Japan,16-19/11/2023,Tarmac,Wrc,32,3446.9
Evans Elfyn  -,RC1,11,Japan,16-19/11/2023,Tarmac,Wrc,1,140.2
Tänak Ott  - J,RC1,11,Japan,16-19/11/2023,Tarmac,Wrc,2,140.4
Neuville Thier,RC1,11,Japan,16-19/11/2023,Tarmac,Wrc,3,140.6
