Crew,Gr/Cl,ss,Race,date,surface,competition,cou,time_SS_sec
Galerakis Spir,RC3,4,Acropolis 2023,9/2023,Gravel,Wrc,38,
Delaportas Gio,RC3,4,Acropolis 2023,9/2023,Gravel,Wrc,39,
Castro Eduardo,RC3,4,Acropolis 2023,9/2023,Gravel,Wrc,40,
Domínguez Dieg,RC3,4,Acropolis 2023,9/2023,Gravel,Wrc,41,
Pellier Lauren,RC3,4,Acropolis 2023,9/2023,Gravel,Wrc,42,
Rensonnet Tom ,RC3,4,Acropolis 2023,9/2023,Gravel,Wrc,43,
Blach Roberto ,RC3,4,Acropolis 2023,9/2023,Gravel,Wrc,44,
Kelly Eamonn -,RC3,4,Acropolis 2023,9/2023,Gravel,Wrc,45,
Anwar Hamza - ,RC3,4,Acropolis 2023,9/2023,Gravel,Wrc,46,
Bruun Sosa Nat,RC3,4,Acropolis 2023,9/2023,Gravel,Wrc,47,
Philippedes Yo,RC2,4,Acropolis 2023,9/2023,Gravel,Wrc,48,
Panteli Petros,RC2,4,Acropolis 2023,9/2023,Gravel,Wrc,49,
Campagnoli Gab,RC2,4,Acropolis 2023,9/2023,Gravel,Wrc,50,
Pyck Filip - D,RC2,4,Acropolis 2023,9/2023,Gravel,Wrc,51,
Dolofan Cristi,RC2,4,Acropolis 2023,9/2023,Gravel,Wrc,52,
Hoelbling Luca,RC2,4,Acropolis 2023,9/2023,Gravel,Wrc,53,
Cărăgui Eugen ,RC2,4,Acropolis 2023,9/2023,Gravel,Wrc,54,
Lefkaditis Sav,RC4,4,Acropolis 2023,9/2023,Gravel,Wrc,55,
Chatzimarkos P,RC4,4,Acropolis 2023,9/2023,Gravel,Wrc,56,
Plagos Ioannis,RC4,4,Acropolis 2023,9/2023,Gravel,Wrc,57,
Papageorgiou L,RC4,4,Acropolis 2023,9/2023,Gravel,Wrc,58,
Fontana Matteo,RC4,4,Acropolis 2023,9/2023,Gravel,Wrc,59,
Kalamaras Teo ,RC4,4,Acropolis 2023,9/2023,Gravel,Wrc,60,
Panteli C. - T,RC4,4,Acropolis 2023,9/2023,Gravel,Wrc,61,
Kanellopoulos ,RC4,4,Acropolis 2023,9/2023,Gravel,Wrc,62,
Šekuljica Slav,RC5,4,Acropolis 2023,9/2023,Gravel,Wrc,63,
Parellis Junio,RC5,4,Acropolis 2023,9/2023,Gravel,Wrc,64,
Creighton Will,RC3,4,Acropolis 2023,9/2023,Gravel,Wrc,65,
Kaltsounis Har,RC4,4,Acropolis 2023,9/2023,Gravel,Wrc,66,
Tänak Ott - Jä,RC1,5,Acropolis 2023,9/2023,Gravel,Wrc,1,771.7
Neuville Thier,RC1,5,Acropolis 2023,9/2023,Gravel,Wrc,2,777.6
Ogier Sébastie,RC1,5,Acropolis 2023,9/2023,Gravel,Wrc,3,782.6
Lappi Esapekka,RC1,5,Acropolis 2023,9/2023,Gravel,Wrc,4,787.8
Sordo Dani - C,RC1,5,Acropolis 2023,9/2023,Gravel,Wrc,5,789.3
Katsuta Takamo,RC1,5,Acropolis 2023,9/2023,Gravel,Wrc,6,789.5
Rovanperä Kall,RC1,5,Acropolis 2023,9/2023,Gravel,Wrc,7,791.9
Evans Elfyn - ,RC1,5,Acropolis 2023,9/2023,Gravel,Wrc,8,794.3
Gryazin Nikola,RC2,5,Acropolis 2023,9/2023,Gravel,Wrc,9,811.8
Joona Lauri - ,RC2,5,Acropolis 2023,9/2023,Gravel,Wrc,10,816.7
Pajari Sami - ,RC2,5,Acropolis 2023,9/2023,Gravel,Wrc,11,819.5
Bulacia Marco ,RC2,5,Acropolis 2023,9/2023,Gravel,Wrc,12,821.9
Rossel Yohan -,RC2,5,Acropolis 2023,9/2023,Gravel,Wrc,13,822.2
Greensmith Gus,RC2,5,Acropolis 2023,9/2023,Gravel,Wrc,14,822.2
