No,CP1,162m,CP2,1740m,CP3,2140m,CP4,2680m,CP5,3380m,CP6,3790m,CP7,4030m,CP8,4640m,CP9,5360m,CP10,6200m,CP11,7490m,CP12,8120m,CP13,8790m,CP14,9670m,CP15,10900m
30,00:17.35,64,01:38.78,88,01:58.56,24,02:22.52,71,02:57.19,81,03:17.00,51,03:31.63,71,03:57.26,118,04:30.49,67,05:07.00,51,06:16.00,50,06:47.16,61,07:21.15,61,08:03.19,88,08:48.47,57
31,00:19.16,57,01:49.00,70,02:09.55,28,02:33.67,69,03:11.66,79,03:33.68,34,03:46.20,67,04:13.88,89,04:49.55,62,05:31.53,47,06:45.15,48,07:19.90,57,07:56.92,57,08:40.60,93,10:15.50,5
32,00:22.50,45,01:57.00,64,02:18.41,50,02:43.00,70,03:21.55,82,03:43.23,53,03:57.57,55,04:24.64,86,05:00.74,60,05:41.49,52,07:01.31,57,07:38.39,56,08:15.52,60,09:01.24,79,09:48.52,68
33,00:18.00,63,01:41.74,77,02:01.13,37,02:24.66,75,03:00.68,80,03:21.49,42,03:35.75,70,04:03.26,95,04:37.00,67,05:16.23,49,06:24.00,55,06:56.13,59,07:30.27,64,08:13.65,92,09:01.14,65
34,00:17.70,60,01:48.37,63,02:09.71,33,02:34.70,71,03:11.31,77,03:34.52,36,03:48.50,64,04:15.58,98,04:49.63,69,05:28.71,49,06:38.77,62,07:11.80,62,07:46.99,59,08:28.51,89,09:17.97,62
35,00:18.83,51,01:46.00,79,02:05.00,37,02:29.66,77,03:04.14,78,03:25.18,35,03:40.12,64,04:08.25,87,04:38.68,60,05:14.78,50,06:22.28,51,06:54.00,58,07:26.61,68,08:08.72,95,08:54.66,62
36,00:19.16,57,01:45.15,68,02:06.55,32,02:31.13,81,03:07.65,80,03:30.00,31,03:44.60,59,04:13.23,99,04:49.26,51,05:30.46,48,06:43.71,44,07:18.17,54,07:53.77,62,08:38.49,87,09:27.69,59
37,00:19.44,51,02:02.13,56,02:25.27,41,02:51.74,66,03:32.45,65,03:56.74,43,04:13.18,58,04:48.54,64,05:30.40,52,06:16.24,42,07:37.19,51,08:16.43,49,08:58.75,47,09:47.79,74,10:41.69,50
38,00:17.69,49,03:05.32,52,03:30.33,39,04:34.23,59,05:22.35,63,06:20.42,25,06:40.47,43,07:18.23,76,08:02.36,43,08:50.36,44,11:11.64,52,11:51.50,45,12:32.83,64,13:24.46,71,14:24.64,57
39,00:20.60,40,01:53.71,60,02:14.45,37,02:42.78,66,03:24.29,58,03:47.46,45,04:02.12,60,04:32.39,89,05:09.46,46,05:52.35,48,07:06.83,62,07:40.57,64,08:16.19,56,09:01.25,84,,
40,00:16.55,57,01:41.00,71,02:03.00,36,02:28.15,79,03:06.80,78,03:27.55,41,03:42.70,68,04:12.27,95,04:49.35,59,05:29.29,51,06:44.58,54,07:16.41,60,07:50.67,59,08:33.48,83,09:26.40,52
