Gr/Cl;Crew;ss;1_time_Sec;2_time_Sec;3_time_Sec;4_time_Sec;5_time_Sec;6_time_Sec;7_time_Sec;8_time_Sec;9_time_Sec;10_time_Sec;11_time_Sec;12_time_Sec;13_time_Sec;14_time_Sec;15_time_Sec;time_SS_sec
C3;Kotsopoulos An;1;19.33;109.16;129.41;154.76;195;216.59;232;261;297.52;340.53;415.33;450.45;488.55;534.52;584.62;609.08
C4;Manetas Giorgo;1;18.63;102.12;122;146.58;181.77;200.78;215.7;242.8;276.16;316.3;385.11;418.47;452.79;495.63;542.55;563.71
4;Roustemis A.  ;1;17.35;98.78;118.56;142.52;177.19;197;211.63;237.26;270.49;307;376;407.16;441.15;483.19;528.47;548.56
C3;Likomitros D. ;1;22.5;117;138.41;163;201.55;223.23;237.57;264.64;300.74;341.49;421.31;458.39;495.52;541.24;588.52;609.1
C4;Anastassopoulo;1;18;101.74;121.13;144.66;180.68;201.49;215.75;243.26;277;316.23;384;416.13;450.27;493.65;541.14;563.06
C4;Mavraganis A. ;1;17.7;108.37;129.71;154.7;191.31;214.52;228.5;255.58;289.63;328.71;398.77;431.8;466.99;508.51;557.97;578.96
C6;Kokkinos Steli;1;18.83;106;125;149.66;184.14;205.18;220.12;248.25;278.68;314.78;382.28;414;446.61;488.72;534.66;555.92
C6;Gazetas Dionis;1;19.16;105.15;126.55;151.13;187.65;210;224.6;253.23;289.26;330.46;403.71;438.17;473.77;518.49;567.69;589.12
C6;Kattis Dimï¿½ï¿;1;19.44;122.13;145.27;171.74;212.45;236.74;253.18;288.54;330.4;376.24;457.19;496.43;538.75;587.79;641.69;665.11
C6;Pavli Marialen;1;17.69;185.32;210.33;274.23;322.35;380.42;400.47;438.23;482.36;530.36;671.64;711.5;752.83;804.46;864.64;891.32
TZ;Kimonidis Hect;1;16.55;101;123;148.15;186.8;207.55;222.7;252.27;289.35;329.29;404.58;436.41;470.67;513.48;566.4;589.24
C2;Paradissis P. ;2;11.91;88.6;105.38;125.69;157.23;176.63;187.82;211.57;240.3;273.53;334.6;;391.13;429.56;469.41;487.37
C2;Ismailos Panos;2;16.2;85.49;101.46;121.44;151.24;170.24;181.31;203.68;233.5;264.55;325.46;;382.59;420.56;459.25;475.9
C3;Flandy  - Stef;2;15.55;92.84;111.5;130.2;162.53;182.73;193.6;216.51;246.78;281.64;344.42;;402.44;441.74;481;498.65
C2;Gazetas H.  - ;2;16.15;96.79;116.47;139.34;172.68;193.59;205.78;252;284.77;322.5;389.31;;452.85;493.59;538.83;557.72
C3;Lefkaditis Sav;2;16.63;91.23;108.46;129.11;161.76;180.27;194.32;218.18;245.79;277.68;337.85;;394.24;430.83;469.22;485.5
C5;Tsakalos Theod;2;17.64;92.63;109.58;131.73;164.6;182.8;196.21;221.57;252.53;284.35;347.19;;406.76;442.97;486.89;504.49
C3;Agathokleous G;2;17.7;97.22;113.67;138.63;170.81;190.6;203.4;228.3;259.17;295.32;361.3;;420.61;460.73;571.93;518.81
C5;Panoutsos T.  ;2;15.1;94.1;111.62;134.3;167.6;186.72;199.4;224.72;255.62;289.38;351.6;;411.76;450.52;554.66;507.88
C4;Dimopoulos Ant;2;16.82;92.13;109.74;130.85;163.66;182;195.58;220.3;249.85;283.41;345.58;;399.46;441.37;589;494.74
C5;Giannakopoulos;2;18.7;97.65;116.74;140.2;174.82;195.21;209.14;236.26;266.78;303.62;370.19;;430.16;469.47;512.94;532.57
C2;Tsatsaris Aris;2;15.7;96;114.31;134;166.48;185;196.78;222.25;253;288.57;355.15;;416.26;455.11;497.64;515.7
C2;Zygogiannis K.;2;16.3;95;114.79;133.45;165.11;184.17;195.63;218.9;249.11;283.74;348.24;;407.28;445.67;487.85;504.4
C2;Sias Haralambo;2;15.82;105.13;126;148.23;183.13;204.59;217.19;242.18;277.45;317.57;387.64;;455.47;499.56;547.47;568.44
C3;Antoniou K.  -;2;15.78;92.51;111.62;133.3;167.91;186.57;199.7;224.18;254.77;289;358.6;;422.47;463.2;509.53;531.14
C3;Chatzigakis G.;2;17.52;98.27;117.33;140.11;175.23;196.36;209.46;234.52;268.57;306.1;376.84;;441.49;483.89;529.25;549.03
C3;Dimos Giorgos ;2;18.26;103.34;122.5;146.18;183.59;205.25;217.85;245.7;279.66;319.65;388.41;;456.76;499.27;546.35;566.65
C3;Kalamaras Teo ;2;18.76;102.67;122.4;144.23;180.31;201.57;215.57;242.22;276.62;315;385.8;;450.74;494.53;539.7;561.04
C6;Tsakalos Athan;2;16.18;95.65;113;136.11;170.42;189.62;202.52;230.16;261.5;296.5;361.84;;424.2;463.49;506;524.74
C6;Toussoulis K. ;2;17.71;100.4;119;142.76;178.69;199.68;212.63;239.84;271.47;307.35;375.59;;440.37;482.34;529;550.51
C6;Sotiropoulos N;2;18.58;101.3;120.31;150.66;186;207;221.49;251;283.72;320.36;389;;453.47;494.32;538.81;558.23
C6;Englezos T.  -;2;17.39;105.5;125.5;149.62;185.25;206.16;222.17;248.22;280.6;324.4;394.58;;460.5;503.78;553.63;574.52
4;Delaportas Gio;2;18.64;106.15;126.71;152.42;190.31;213.31;226.26;254.19;289.36;328.64;398.15;;465.15;507.26;556.42;578.17
C3;Kotsopoulos An;2;19.6;109.14;130.36;154.69;192;214;228.84;258.78;295;336.25;410;;480.69;525.57;575.17;598.39
C4;Manetas Giorgo;2;18.49;102.67;121.55;144.53;180.51;199;213.57;241;272.11;310.57;376.84;;439.91;481.56;528.6;547.82
4;Roustemis A.  ;2;17;97.95;116.41;139.43;174.27;194.35;207.64;234.23;266.25;301.62;369.22;;432.44;474.23;518.31;537.49
C3;Likomitros D. ;2;20.2;113;133.57;157.53;194.34;215.41;230.73;256.47;291.61;330.38;402.81;;470.66;513.24;559.6;579.6
C4;Anastassopoulo;2;17.7;98.23;118.57;141.6;176.72;195.8;209;237.65;270.19;306.64;373.57;;437.69;477.69;524.86;546.67
C4;Mavraganis A. ;2;17.64;106.88;127;150.29;186.18;206;220.22;247.19;280.5;317.35;382.71;;445.8;485.16;530.77;551.78
C6;Kokkinos Steli;2;18.1;103.29;122.74;146.51;182.53;203.19;218.12;248.31;279.17;314.64;384.56;;448.84;489.82;535.82;556.19
C6;Gazetas Dionis;2;19.83;103.54;123.68;148.24;182.87;204.28;217.66;245.75;279.57;318.58;388.29;;453.77;496.41;542.22;561.84
C6;Kattis Dimï¿½ï¿;2;21.5;123.59;146;173.13;214.57;240.21;255.19;289.2;328.24;375.63;455.41;;534.67;583.78;637.59;661.19
C6;Pavli Marialen;2;18.82;108.38;129.55;157.37;197.66;220.41;235.53;269.48;426.36;489.25;754;;861.36;981.29;1124.44;1199.26
TZ;Kimonidis Hect;2;16.68;101.64;123;149.19;186.77;208.23;222.38;251.74;287.47;325.67;396.81;;461.52;505.46;553;578.5
C2;Paradissis P. ;3;14.21;87;104.71;125.8;153.91;174.68;187.1;209.14;238.86;271.3;333.8;360;389.4;427.32;467.68;485.68
C2;Ismailos Panos;3;17.35;86.67;101.71;120.49;150.48;170.44;181.4;204.23;235.74;267.3;330.25;357.27;385.5;423.35;462.64;479.64
C3;Flandy  - Stef;3;14.25;90.26;109.49;127.14;158.38;177.26;189.4;213.14;242.83;276.76;337.71;365.68;396.47;434.67;474.5;492.62
C2;Gazetas H.  - ;3;15.26;96.86;117;138.57;172.69;193.53;205.41;230.19;262.5;298.71;365.15;394.76;426.5;467.41;514.65;533.25
C5;Tsakalos Theod;3;17.91;92.55;109.66;130.42;162.34;181.6;195.68;218.19;248.55;282.79;346.9;373.54;403.34;442.46;486.59;503.51
C3;Agathokleous G;3;17.6;94.3;113.25;134.34;170.6;190.2;202.6;227.16;259.6;294.81;360.59;389.82;420.5;459.14;502.58;522.48
C5;Panoutsos T.  ;3;21.58;95.33;113.69;136.17;169.5;190.21;202.4;229.43;256.35;291.44;355.62;382.63;413.68;450.5;494.6;511.85
C5;Giannakopoulos;3;16.62;94.57;112.71;136.1;176.64;197.35;210.48;237.97;267.55;304.16;367.53;397.5;428.16;468.78;511.79;530.97
C2;Tsatsaris Aris;3;16.26;94.36;112;132.6;166;184.55;196.46;221.55;252.14;286.73;360.3;390;421.42;459.2;502;521.03
C2;Zygogiannis K.;3;15.45;98.68;119.58;144.9;182.19;203.57;216.2;246.69;280.57;319.41;387;417.44;449.74;490.52;537.5;557.46
C2;Sias Haralambo;3;15.76;102.4;123;146.27;181;203.28;215.63;240.86;275.47;313.71;384.3;416.17;451.37;495.68;544.3;566.03
C3;Antoniou K.  -;3;16.52;97.81;118.59;141.33;175.59;194.68;208.55;235.89;269.52;306.43;375.49;407.66;442.71;483.5;529.43;553.15
C3;Chatzigakis G.;3;19.49;99.53;118.18;141.59;177.41;197.78;210.34;237.89;271.11;309.81;379.22;409.4;443.75;484.45;529.45;548.18
C3;Dimos Giorgos ;3;16.68;100.35;119.41;142.67;178.55;200;213.15;243.13;278.15;317.54;386.62;418.64;452.77;495.54;542;561.64
C3;Kalamaras Teo ;3;19.49;99.71;118.55;140.62;176.57;197.33;209.66;236.67;269.79;307.12;376.52;407;441.33;484.34;529.26;549.79
C6;Tsakalos Athan;3;17.24;94.68;112.35;135.78;170.64;190.62;203.77;230.45;262.34;297.35;361.29;395.58;429.15;469.55;510.37;531.49
C6;Toussoulis K. ;3;18.58;98.8;118;141.51;178.38;199.28;212.14;239.63;272.71;309.43;376.82;408.39;441.5;483.81;527.7;548.54
C6;Sotiropoulos N;3;18.15;99.54;118.62;143.48;179.77;216.66;230.37;260.25;293.78;330.5;399.15;430.23;463.2;504.61;551;571.31
C6;Englezos T.  -;3;19.72;103.19;124;147.4;184.55;205.57;220.66;246.21;280.17;319.79;390.9;420.26;456.32;499.34;546.92;568.44
4;Delaportas Gio;3;21.47;106.39;125.63;150.8;188.38;210.71;224.46;252.26;286.48;324.49;390.71;422.24;457;498.44;551.17;576.81
C3;Kotsopoulos An;3;19;107.5;127.36;152.55;190;211.46;227.21;257.15;292.24;333.69;407.71;440.39;477.41;521.49;571.47;594.7
C4;Manetas Giorgo;3;17.85;100.13;119.57;142.72;178.6;198.1;212.52;238.57;272.52;309.81;377.51;407.32;440.77;483.72;529.84;549.71
4;Roustemis A.  ;3;18.47;403.49;422.68;445.35;480.59;501;514.35;540.15;572.3;607.4;675.15;704.83;737.38;778.28;821.85;841.71
C3;Likomitros D. ;3;19.66;106.86;126.64;149.74;187;208;222.83;248.56;282.85;320.51;394.17;426.35;461.61;503.77;550;569.38
C4;Anastassopoulo;3;17.15;98.56;119.23;141.14;176.17;195.15;210.61;236.39;269.63;305.76;371.55;403.76;435.61;477.95;525.21;546.45
C4;Mavraganis A. ;3;17.54;102;123.77;145.18;181.54;202.74;216.65;245.11;277.65;318.57;393.84;425.55;458.55;499.66;545;565.74
C6;Kokkinos Steli;3;21.39;104.13;124.44;148.71;185.24;207.14;222.14;251.24;283.93;321;389.46;418.44;455.9;496.77;541.47;562.88
C6;Gazetas Dionis;3;20;101.79;122.44;146.53;181.77;203;217.23;244.9;278.13;316.76;384.33;415.35;448.35;490.33;535.74;555.1
C6;Kattis Dimï¿½ï¿;3;17.94;117.18;140.67;167.63;207.56;230.3;246.8;277.11;317.43;362.49;443.3;480.73;522.25;570.81;624.82;648.24
