0,,,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.,Pos.
ss,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
No.,Driver / Co-driver Vehicle,Group,,,,,,,,,,,,,,,
74,Villanueva  A.  /  Murado  José  Škoda Fabia RS Rally2,RC2,18.0,22.0,17.0,22.0,51.0,26.0,19.0,21.0,21.0,17.0,57.0,,,,
75,Fontana  Matteo  /  Arnaboldi  A.  Ford Fiesta Rally3,RC3,18.0,31.0,32.0,26.0,22.0,21.0,26.0,30.0,28.0,27.0,19.0,23.0,23.0,18.0,25.0
76,Panteli  Petros  /  Laos  Pambos  Renault Clio Rally3,RC3,18.0,37.0,36.0,41.0,34.0,66.0,47.0,56.0,61.0,61.0,54.0,,,,
77,Cărăgui  Eugen  /  Fus  Robert  Citroën C3 Rally2,RC2,18.0,45.0,48.0,49.0,67.0,63.0,46.0,49.0,58.0,58.0,57.0,50.0,42.0,40.0,34.0
78,Campagnoli  G.  /  Arena  Nicola  Renault Clio Rally3,RC3,18.0,70.0,69.0,67.0,65.0,62.0,61.0,53.0,54.0,61.0,54.0,,,,
79,Martínez  Jorge  /  Mussano  F.  Škoda Fabia RS Rally2,RC2,18.0,50.0,51.0,50.0,47.0,55.0,54.0,50.0,47.0,46.0,38.0,50.0,46.0,40.0,
80,Georgakopoulos  M.  /  Crescenti  Aaron  Citroën DS3 R5,RC2,18.0,69.0,68.0,66.0,67.0,,,,,,,,,,
81,Lefkaditis  S.  /  Akratos  E.  Peugeot 208 Rally4,RC4,18.0,58.0,56.0,54.0,48.0,51.0,57.0,61.0,49.0,49.0,40.0,37.0,53.0,40.0,40.0
82,Plagos  Ioannis  /  Kouzionis  C.  Peugeot 208 Rally4,RC4,18.0,56.0,55.0,56.0,52.0,52.0,64.0,62.0,62.0,63.0,60.0,57.0,52.0,40.0,44.0
83,Kalamaras  T.  /  Labrakis  D.  Ford Fiesta Rally4,RC4,18.0,60.0,61.0,58.0,54.0,53.0,60.0,54.0,52.0,51.0,41.0,40.0,54.0,40.0,45.0
84,Papageorgiou  L.  /  Kougias  V.  Peugeot 208 R2,RC4,18.0,65.0,63.0,61.0,59.0,65.0,62.0,62.0,62.0,63.0,60.0,57.0,56.0,40.0,48.0
85,Parellis  D.  /  Papandreou  A.  Renault Clio Rally5,RC5,18.0,63.0,62.0,60.0,56.0,54.0,59.0,55.0,53.0,52.0,56.0,42.0,55.0,40.0,50.0
