,Crew,ss,Group,Group_Pos
28,Solans  Jan ,6,RC2,13
29,Blach  Rober,6,RC2,14
30,Granados  Mi,6,RC2,15
31,Soylu  Uğur ,6,RC2,16
32,Karanikolas ,6,RC3,9
33,Bruun  Natan,6,RC3,10
34,Greensmith  ,6,RC2,17
35,Schwarz  Fab,6,RC3,11
36,Dominguez  D,6,RC3,12
37,Caparó  José,6,RC3,13
38,Halkias  E. ,6,RC3,14
39,Dolofan  C. ,6,RC2,18
40,Brazzoli  En,6,RC2,19
41,Al-Wahaibi  ,6,RC2,20
42,Çetinkaya  B,6,RC2,21
43,Vassilakis  ,6,RC2,22
44,Kehagias  G.,6,RC2,23
45,Peralta  J. ,6,RC2,24
46,Smart  Max /,6,RC3,15
47,Chatzimarkos,6,RC3,16
48,Martinez  An,6,RC3,17
49,Theocharopou,6,RC3,18
50,Stefanis  Ma,6,RC3,19
51,Pavlidis  N.,6,RC2,25
52,Martínez  Jo,6,RC2,26
53,Lefkaditis  ,6,RC4,1
54,Plagos  Ioan,6,RC4,2
55,Joona  Lauri,6,RC2,27
56,Kalamaras  T,6,RC4,3
57,Velanis  V. ,6,RC2,28
58,Fourmaux  Ad,6,RC1,8
59,Šekuljica  S,6,RC3,20
60,Parellis  D.,6,RC5,1
61,Cărăgui  Eug,6,RC2,29
62,Panteli  Pet,6,RC3,21
63,Katsuta  T. ,6,RC1,9
64,Papageorgiou,6,RC4,4
65,Amoutzas  G.,6,RC2,30
66,Campagnoli  ,6,RC3,22
1,Sordo  Dani ,7,RC1,1
2,Neuville  T.,7,RC1,2
3,Ogier  S. / ,7,RC1,3
4,Virves  Robe,7,RC2,1
5,Pajari  Sami,7,RC2,2
6,Tänak  Ott /,7,RC1,4
7,Munster  G. ,7,RC1,5
8,Zaldivar  F.,7,RC2,3
9,Rossel  Yoha,7,RC2,4
10,Kajetanowicz,7,RC2,5
11,Gryazin  Nik,7,RC2,6
12,McErlean  Jo,7,RC2,7
13,Daprà  Rober,7,RC2,8
14,Linnamäe  Ge,7,RC2,9
15,Evans  Elfyn,7,RC1,6
16,Kremer  Armi,7,RC2,10
17,Roustemis  P,7,RC2,11
18,Jürgenson  R,7,RC3,1
19,Maior  Norbe,7,RC3,2
20,Türkkan  Ali,7,RC3,3
21,Fontana  Mat,7,RC3,4
22,Solans  Jan ,7,RC2,12
23,Gill  Taylor,7,RC3,5
24,Serderidis  ,7,RC1,7
25,Villanueva  ,7,RC2,13
26,Borodin  Pet,7,RC3,6
27,Blach  Rober,7,RC2,14
28,Laskowski  H,7,RC3,7
29,Granados  Mi,7,RC2,15
30,Soylu  Uğur ,7,RC2,16
31,Karanikolas ,7,RC3,8
32,Bruun  Natan,7,RC3,9
33,Rensonnet  T,7,RC3,10
34,Dominguez  D,7,RC3,11
35,Caparó  José,7,RC3,12
36,Halkias  E. ,7,RC3,13
37,Al-Wahaibi  ,7,RC2,17
38,Schwarz  Fab,7,RC3,14
39,Kehagias  G.,7,RC2,18
40,Smart  Max /,7,RC3,15
41,Çetinkaya  B,7,RC2,19
42,Dolofan  C. ,7,RC2,20
43,Vassilakis  ,7,RC2,21
44,Peralta  J. ,7,RC2,22
45,Chatzimarkos,7,RC3,16
46,Martinez  An,7,RC3,17
47,Pavlidis  N.,7,RC2,23
48,Stefanis  Ma,7,RC3,18
49,Theocharopou,7,RC3,19
50,Martínez  Jo,7,RC2,24
51,Joona  Lauri,7,RC2,25
52,Brazzoli  En,7,RC2,26
53,Lefkaditis  ,7,RC4,1
54,Fourmaux  Ad,7,RC1,8
55,Velanis  V. ,7,RC2,27
56,Kalamaras  T,7,RC4,2
57,Cărăgui  Eug,7,RC2,28
58,Parellis  D.,7,RC5,1
59,Plagos  Ioan,7,RC4,3
60,Katsuta  T. ,7,RC1,9
61,Panteli  Pet,7,RC3,20
62,Papageorgiou,7,RC4,4
63,Amoutzas  G.,7,RC2,29
64,Campagnoli  ,7,RC3,21
1,Sordo  Dani ,8,RC1,1
2,Neuville  T.,8,RC1,2
3,Ogier  S. / ,8,RC1,3
4,Tänak  Ott /,8,RC1,4
5,Virves  Robe,8,RC2,1
6,Pajari  Sami,8,RC2,2
7,Munster  G. ,8,RC1,5
8,Rossel  Yoha,8,RC2,3
9,Zaldivar  F.,8,RC2,4
10,Kajetanowicz,8,RC2,5
11,Gryazin  Nik,8,RC2,6
12,McErlean  Jo,8,RC2,7
13,Linnamäe  Ge,8,RC2,8
14,Daprà  Rober,8,RC2,9
15,Evans  Elfyn,8,RC1,6
16,Roustemis  P,8,RC2,10
17,Jürgenson  R,8,RC3,1
18,Kremer  Armi,8,RC2,11
19,Maior  Norbe,8,RC3,2
20,Türkkan  Ali,8,RC3,3
21,Solans  Jan ,8,RC2,12
22,Fontana  Mat,8,RC3,4
23,Gill  Taylor,8,RC3,5
