,,total_time,total_time,total_time,total_time,total_time,total_time,total_time,total_time,total_time,total_time,total_time,total_time,total_time,total_time,total_time
ss,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Crew,Group,,,,,,,,,,,,,,,
Pavlidis  N.,RC2,00:17:39.1,00:37:01.9,00:56:56.9,01:20:04.9,01:39:36.2,02:00:03.7,02:21:36.4,02:39:07.4,03:01:09.7,03:12:41.4,03:37:21.5,03:39:23.5,03:55:48.6,04:10:08.3,04:23:54.8
Peralta  J. ,RC2,00:17:39.1,00:36:58.6,00:57:01.5,01:16:49.0,01:36:07.5,01:56:54.6,02:19:51.7,02:37:14.8,02:58:26.3,03:09:11.7,03:30:17.2,03:32:18.2,03:48:35.4,04:04:20.5,04:18:53.3
Plagos  Ioan,RC4,00:17:39.1,00:37:40.9,00:58:24.8,01:19:13.4,01:39:27.8,02:02:10.8,02:37:23.2,03:06:51.0,03:39:18.9,04:00:36.2,04:34:00.7,04:46:08.2,05:03:23.5,05:17:53.0,05:33:25.7
Rensonnet  T,RC3,00:17:39.1,00:36:18.1,00:55:03.8,01:13:24.6,01:31:35.8,01:50:29.7,02:13:52.5,02:30:20.8,02:50:51.5,03:00:49.4,03:22:12.1,03:24:08.4,03:39:30.8,03:53:13.9,04:09:17.1
Rossel  Yoha,RC2,00:16:54.4,00:34:03.3,00:51:38.2,01:08:23.6,01:25:13.2,01:44:43.7,02:03:26.0,02:18:47.3,02:37:33.0,02:46:52.1,03:05:16.6,03:07:05.6,03:21:43.7,03:33:55.8,03:45:36.1
Roustemis  P,RC2,00:17:39.1,00:35:45.8,00:54:25.2,01:12:21.5,01:30:10.6,01:49:05.4,02:09:19.2,02:25:33.6,02:45:08.9,02:55:03.8,03:14:38.8,03:16:37.5,03:32:24.5,03:45:36.4,03:58:28.2
Schwarz  Fab,RC3,00:17:39.1,00:36:02.0,00:55:00.2,01:13:46.7,01:35:16.5,01:54:50.2,02:17:07.8,02:33:45.3,02:54:15.7,03:04:06.9,03:24:05.3,03:26:10.6,,,
Serderidis  ,RC1,00:18:16.5,00:36:45.4,00:55:48.1,01:13:42.5,01:31:52.5,01:50:45.4,02:10:57.7,02:27:26.4,02:47:28.5,02:57:34.5,03:17:19.2,03:19:13.1,03:34:51.8,03:48:45.5,04:01:10.4
Smart  Max /,RC3,00:17:39.1,00:36:05.1,00:57:51.9,01:19:21.0,01:37:47.9,01:57:16.4,02:17:34.3,02:37:45.2,02:58:19.9,03:08:23.8,03:34:43.1,03:36:41.3,03:52:25.9,04:06:55.4,04:19:52.1
Solans  Jan ,RC2,00:20:36.5,00:39:39.4,00:58:19.6,01:15:11.2,01:34:09.6,01:51:46.0,02:10:31.4,02:26:07.9,02:45:06.5,02:54:29.0,03:13:09.1,03:14:59.2,03:29:46.9,03:42:28.0,03:57:26.9
Sordo  Dani ,RC1,00:16:42.5,00:33:32.7,00:50:48.1,01:07:09.4,01:23:41.1,01:40:38.7,01:58:46.2,02:13:47.5,02:32:50.7,02:42:05.0,03:00:12.1,03:02:09.0,03:16:41.5,03:28:36.3,03:39:51.0
Soylu  Uğur ,RC2,00:17:39.1,00:36:21.7,00:55:40.6,01:13:55.5,01:31:55.4,01:51:57.9,02:12:32.4,02:29:06.5,02:49:23.8,02:59:38.9,03:23:45.9,03:25:42.7,03:41:46.6,03:59:37.5,04:12:30.1
Stefanis  Ma,RC3,00:17:39.1,00:37:27.8,00:58:11.3,01:18:21.9,01:38:14.2,01:59:44.6,02:22:11.8,02:40:09.7,03:02:21.6,03:13:11.3,03:36:01.4,03:38:04.4,03:55:40.2,04:09:29.4,04:24:49.2
Theocharopou,RC3,00:17:39.1,00:37:29.8,00:57:42.8,01:17:52.4,01:37:56.9,01:59:31.0,02:22:17.4,02:40:21.1,03:02:52.4,03:14:06.5,03:36:41.8,03:38:51.9,03:57:28.3,04:11:17.5,04:25:43.7
Tänak  Ott /,RC1,00:16:33.8,00:33:21.0,00:50:38.5,01:06:51.4,01:23:18.6,01:40:16.9,02:02:14.6,02:17:22.6,02:35:40.6,02:44:47.6,03:02:37.1,03:04:24.5,03:18:35.6,03:30:16.7,03:41:01.5
Türkkan  Ali,RC3,00:17:39.1,00:35:36.6,00:55:29.5,01:13:27.5,01:31:24.4,01:49:59.7,02:09:54.7,02:26:02.5,02:49:41.6,02:59:31.2,03:20:00.0,03:31:56.2,03:47:01.4,03:59:51.6,04:12:41.1
Vassilakis  ,RC2,00:17:39.1,00:37:03.2,00:57:53.9,01:17:11.3,01:36:33.6,01:56:25.0,02:18:11.8,02:47:50.7,03:09:15.8,03:20:02.4,03:41:25.4,03:43:39.1,04:00:07.9,04:13:51.5,04:27:22.8
Velanis  V. ,RC2,00:17:39.1,00:36:24.4,00:55:27.9,01:13:47.5,01:40:37.1,02:07:55.6,02:29:43.3,02:46:54.8,03:07:38.3,03:18:03.5,03:41:26.8,03:43:33.6,03:59:48.6,04:13:43.7,
Villanueva  ,RC2,00:17:39.1,00:35:45.0,00:54:10.1,01:12:05.5,01:32:13.3,01:51:24.7,02:11:12.3,02:27:25.8,02:47:23.2,02:57:11.9,03:28:16.1,,,,
Virves  Robe,RC2,00:17:21.7,00:34:42.1,00:52:30.0,01:09:15.5,01:26:09.3,01:43:27.8,02:02:10.6,02:17:41.9,02:36:43.0,02:46:10.5,03:04:49.5,03:06:39.1,03:21:24.1,03:33:38.5,03:45:05.3
Zaldivar  F.,RC2,00:17:19.0,00:34:35.0,00:52:35.8,01:09:34.9,01:26:40.2,01:44:36.6,02:03:24.0,02:19:01.5,02:38:01.8,02:47:29.2,03:08:38.0,03:10:28.5,03:25:08.0,03:37:24.5,03:49:32.1
Çetinkaya  B,RC2,00:17:39.1,00:37:32.9,00:57:27.2,01:16:44.8,01:36:01.5,01:56:07.6,02:17:36.4,02:34:53.5,03:03:38.3,03:22:57.4,03:51:21.9,04:03:10.4,04:19:42.1,04:34:39.9,04:48:24.2
Šekuljica  S,RC3,00:17:39.1,00:38:17.4,01:01:16.1,01:21:56.1,01:42:20.3,02:12:04.0,,,,,,,,,
