Crew,Gr/Cl,ss,Race,date,surface,competition,cou,time_SS_sec
Mayr Siegfried,3 D,6,Historic Acropolis,3-5/11/2023,Gravel,Historic,19,641.21
Nioras Grigori,4 E,6,Historic Acropolis,3-5/11/2023,Gravel,Historic,20,645.8
Kassidopoulos ,4 E,6,Historic Acropolis,3-5/11/2023,Gravel,Historic,21,646.69
Nomikos Mihali,4 E,6,Historic Acropolis,3-5/11/2023,Gravel,Historic,22,651.49
Georgakopoulos,4 E,6,Historic Acropolis,3-5/11/2023,Gravel,Historic,23,654.08
Paradissis Gio,NAT,6,Historic Acropolis,3-5/11/2023,Gravel,Historic,24,656.63
Vassilopoulos ,2 C,6,Historic Acropolis,3-5/11/2023,Gravel,Historic,25,673.98
Kofinas Konsta,4 E,6,Historic Acropolis,3-5/11/2023,Gravel,Historic,26,674.54
Sassos  - Mata,4 E,6,Historic Acropolis,3-5/11/2023,Gravel,Historic,27,677.63
Dodos Giorgos ,4 E,6,Historic Acropolis,3-5/11/2023,Gravel,Historic,28,687.85
Vassilakis Geo,4 E,6,Historic Acropolis,3-5/11/2023,Gravel,Historic,29,692.74
Kalamaras Teo ,4 E,6,Historic Acropolis,3-5/11/2023,Gravel,Historic,30,694.84
Kovařík Oldřic,1 A,6,Historic Acropolis,3-5/11/2023,Gravel,Historic,31,701.01
Ganos Antonios,3 D,6,Historic Acropolis,3-5/11/2023,Gravel,Historic,32,711.83
Kalaitzian I. ,4 E,6,Historic Acropolis,3-5/11/2023,Gravel,Historic,33,713.31
Papandreou A. ,3 D,6,Historic Acropolis,3-5/11/2023,Gravel,Historic,34,728.32
Vitogiannis G.,NAT,6,Historic Acropolis,3-5/11/2023,Gravel,Historic,35,771.59
Christou Dimit,2 C,6,Historic Acropolis,3-5/11/2023,Gravel,Historic,36,775.64
Tzilavis Savva,2 C,6,Historic Acropolis,3-5/11/2023,Gravel,Historic,37,803.23
Halivelakis A.,3 D,6,Historic Acropolis,3-5/11/2023,Gravel,Historic,38,1131.68
Kansos P.  - G,4 E,6,Historic Acropolis,3-5/11/2023,Gravel,Historic,39,1157.15
McCormack Mart,3 D,7,Historic Acropolis,3-5/11/2023,Gravel,Historic,1,323.69
Graham Ernie  ,4 E,7,Historic Acropolis,3-5/11/2023,Gravel,Historic,2,355.44
Paradissis P. ,3 D,7,Historic Acropolis,3-5/11/2023,Gravel,Historic,3,362.01
Christodoulou ,4 E,7,Historic Acropolis,3-5/11/2023,Gravel,Historic,4,366.65
Pierangioli V.,4 E,7,Historic Acropolis,3-5/11/2023,Gravel,Historic,5,369.57
Kovařík Oldřic,4 E,7,Historic Acropolis,3-5/11/2023,Gravel,Historic,6,372.27
Stafilopatis M,3 D,7,Historic Acropolis,3-5/11/2023,Gravel,Historic,7,373.9
Amaxopoulos D.,2 C,7,Historic Acropolis,3-5/11/2023,Gravel,Historic,8,376.59
Paradissis Gio,NAT,7,Historic Acropolis,3-5/11/2023,Gravel,Historic,9,377.39
Guignard Eric ,3 D,7,Historic Acropolis,3-5/11/2023,Gravel,Historic,10,380.18
Roustemis A.  ,4 E,7,Historic Acropolis,3-5/11/2023,Gravel,Historic,11,381.65
Athanasoulas A,3 D,7,Historic Acropolis,3-5/11/2023,Gravel,Historic,12,382.6
Coughtrie Tom ,3 D,7,Historic Acropolis,3-5/11/2023,Gravel,Historic,13,384.75
Papadimitriou ,4 E,7,Historic Acropolis,3-5/11/2023,Gravel,Historic,14,389.77
Pasutti Paolo ,2 C,7,Historic Acropolis,3-5/11/2023,Gravel,Historic,15,390.25
Melas D.  - Va,2 C,7,Historic Acropolis,3-5/11/2023,Gravel,Historic,16,393.86
Nioras Grigori,4 E,7,Historic Acropolis,3-5/11/2023,Gravel,Historic,17,394.52
Argiriou Kosta,4 E,7,Historic Acropolis,3-5/11/2023,Gravel,Historic,18,398.52
Vazakas Dimitr,3 D,7,Historic Acropolis,3-5/11/2023,Gravel,Historic,19,399.88
Sassos  - Mata,4 E,7,Historic Acropolis,3-5/11/2023,Gravel,Historic,20,400.67
Mayr Siegfried,3 D,7,Historic Acropolis,3-5/11/2023,Gravel,Historic,21,402.15
Kalamaras Teo ,4 E,7,Historic Acropolis,3-5/11/2023,Gravel,Historic,22,413.7
Vassilopoulos ,2 C,7,Historic Acropolis,3-5/11/2023,Gravel,Historic,23,414.15
Kassidopoulos ,4 E,7,Historic Acropolis,3-5/11/2023,Gravel,Historic,24,416.04
Georgakopoulos,4 E,7,Historic Acropolis,3-5/11/2023,Gravel,Historic,25,419.51
Dodos Giorgos ,4 E,7,Historic Acropolis,3-5/11/2023,Gravel,Historic,26,420.74
Nomikos Mihali,4 E,7,Historic Acropolis,3-5/11/2023,Gravel,Historic,27,425.53
Papandreou A. ,3 D,7,Historic Acropolis,3-5/11/2023,Gravel,Historic,28,428.83
Ganos Antonios,3 D,7,Historic Acropolis,3-5/11/2023,Gravel,Historic,29,433.64
Kofinas Konsta,4 E,7,Historic Acropolis,3-5/11/2023,Gravel,Historic,30,442.4
Vassilakis Geo,4 E,7,Historic Acropolis,3-5/11/2023,Gravel,Historic,31,444.06
Kovařík Oldřic,1 A,7,Historic Acropolis,3-5/11/2023,Gravel,Historic,32,452.68
Christou Dimit,2 C,7,Historic Acropolis,3-5/11/2023,Gravel,Historic,33,461.39
Kalaitzian I. ,4 E,7,Historic Acropolis,3-5/11/2023,Gravel,Historic,34,463.83
Vitogiannis G.,NAT,7,Historic Acropolis,3-5/11/2023,Gravel,Historic,35,470.15
Tzilavis Savva,2 C,7,Historic Acropolis,3-5/11/2023,Gravel,Historic,36,496.96
Halivelakis A.,3 D,7,Historic Acropolis,3-5/11/2023,Gravel,Historic,37,
Delaportas Gio,4 E,7,Historic Acropolis,3-5/11/2023,Gravel,Historic,38,941.83
Kansos P.  - G,4 E,7,Historic Acropolis,3-5/11/2023,Gravel,Historic,39,955.44
McCormack Mart,3 D,8,Historic Acropolis,3-5/11/2023,Gravel,Historic,1,923.76
