,,,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14
#41,Christou Dimitris  - Kotzias A. Toyota Celica TA22,2 C1,10:40.91,16:16.61,9:31.49,9:21.66,19:56.11,12:55.64,7:41.39,19:52.20,12:28.26,24:34.78,8:52.45,13:53.52,15:55.64,6:50.23
#42,Dodos Giorgos  - Intzoglou Nikos Nissan Pulsar,4 E2,9:45.07,15:04.56,8:15.53,7:56.90,18:49.90,11:27.85,7:00.74,19:47.91,11:38.04,17:34.09,8:31.38,12:41.97,15:02.00,6:10.57
#43,Kansos P.  - Grigoropoulos A. Volkswagen Golf II GTi 16V,4 E2,11:31.78,16:09.03,9:59.39,9:54.77,21:27.61,19:17.15,15:55.44,25:35.23,19:16.60,23:32.30,10:05.59,14:15.02,-,-
#44,Papandreou A.  - Rizopoulos D. Toyota Starlet KP61,3 D1,9:13.79,15:33.71,8:58.48,15:47.61,18:59.13,12:08.32,7:08.83,17:36.49,11:27.53,22:26.39,9:11.80,14:17.20,15:00.94,6:22.53
#45,Vassilopoulos P.  - Votzakis P. Ford Escort RS 2000 MKI,2 C1,9:28.69,14:23.79,8:28.69,7:32.67,18:12.44,11:13.98,6:54.15,18:07.20,11:25.05,15:24.65,7:58.32,12:26.68,14:43.88,6:08.17
#46,Antonopoulos P.  - Kallitsi M. Ford Escort RS 2000 MKII,3 D1,10:36.15,15:46.16,8:47.05,-,-,-,-,-,-,-,-,-,-,-
#47,Lambrou Karolos  - Kollias Ioannis Alpine-Renault A110 1300,NAT,10:03.57,-,-,-,-,-,-,-,-,-,-,-,-,-
#48,Tzilavis Savvas  - Dimopoulos G. Ford Escort RS 2000 MKI,2 C1,11:00.79,16:36.91,9:57.62,10:17.92,21:05.41,13:23.23,8:16.96,20:41.37,13:12.28,19:39.94,9:31.84,15:05.43,17:18.67,7:29.26
#5,Pasutti Paolo  - Campeis G. Porsche 911 Carrera RS 3.0,2 C2,9:01.89,13:53.25,7:46.43,7:11.57,18:15.55,10:27.92,6:30.25,17:20.41,10:22.81,15:00.15,7:45.98,14:25.73,13:57.88,6:56.31
#6,Guignard Eric  - Meffre Didier Renault 5 Turbo Cevennes,3 D1,9:03.33,13:39.00,7:30.47,6:51.12,17:43.11,10:19.75,6:20.18,16:30.56,10:10.88,14:26.48,7:37.39,11:50.73,13:33.53,5:47.74
#7,Mayr Siegfried  - Mayr Renate Volvo 244,3 D2,8:58.68,14:11.50,7:50.40,6:54.22,17:34.98,10:41.21,6:42.15,17:16.60,10:33.03,14:14.81,8:07.02,12:03.63,13:54.52,5:41.02
#8,Kovařík Oldřich ml.  - Kapic M. Škoda Favorit 136 L,4 E2,8:29.74,13:22.21,7:20.50,6:35.81,18:00.41,9:53.63,6:12.27,16:31.44,10:21.24,13:45.20,7:44.35,12:21.86,13:35.22,5:33.02
#9,Coughtrie Tom  - Lee Alex Ford Escort RS 1800 MKII,3 D1,9:00.09,14:03.67,7:27.71,7:01.24,17:40.25,10:17.09,6:24.75,18:24.28,10:45.68,15:02.38,7:47.30,12:09.84,14:06.38,5:47.54
