0,,,,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time
ss,,,,1,2,3,4,5,6,7,8,9,10,11,12,13
No.,Crew,Group,Race,,,,,,,,,,,,,
38,Comas  Mar,RC2,Canarias,00:01:52.3,00:09:39.5,00:06:45.7,00:12:25.9,00:09:41.8,00:06:47.1,00:12:29.8,00:06:09.3,00:18:57.5,00:08:27.6,00:05:29.5,00:19:02.1,00:08:34.6
39,Pernía  S.,RC2,Canarias,00:01:41.1,00:09:41.2,00:16:06.0,00:21:13.7,00:18:46.4,00:16:07.9,00:21:13.9,-,-,-,-,-,-
40,López  F. ,RC2,Canarias,00:01:50.9,00:09:27.8,00:06:33.9,00:12:10.7,00:09:21.1,00:06:28.9,00:12:03.4,00:05:29.8,00:18:41.1,00:08:23.8,00:05:33.1,00:18:35.8,00:08:36.0
41,Fuentes  S,RC2,Canarias,00:01:47.6,00:09:16.8,00:06:28.5,00:11:59.1,00:09:06.3,00:06:22.9,00:11:44.7,00:05:10.1,00:18:09.8,00:08:06.7,00:05:21.0,00:18:03.8,00:08:26.5
42,Quesada  R,RC2,Canarias,00:01:56.0,00:09:16.3,00:06:21.8,00:11:44.6,00:09:05.8,00:06:19.1,00:11:44.0,00:05:12.9,00:18:07.4,00:08:04.7,00:05:07.2,00:17:47.2,00:08:22.5
43,Fariña  G.,RC4,Canarias,00:01:54.3,00:09:37.3,00:06:35.6,00:12:11.8,00:09:25.9,00:06:31.6,00:12:06.5,00:05:24.5,00:18:46.7,00:08:19.6,00:05:28.7,00:18:41.9,00:08:30.0
44,Cañada  Ja,RC4,Canarias,00:01:55.4,00:09:36.2,00:06:38.8,00:12:13.3,00:09:29.5,00:06:33.9,00:12:09.4,00:05:23.8,00:18:53.7,00:08:24.4,00:05:27.4,00:18:49.9,00:08:37.6
45,de la Cruz,RC4,Canarias,00:02:00.8,00:09:44.3,00:06:46.3,00:12:26.3,00:09:38.3,00:06:40.8,00:12:26.7,00:06:10.9,00:19:15.8,00:08:30.4,00:05:27.9,00:19:05.8,00:10:30.8
46,Climent  N,RC4,Canarias,00:01:57.6,00:09:40.9,00:06:39.6,00:12:25.1,00:09:35.1,00:06:38.9,00:12:22.6,00:06:00.8,00:18:51.3,00:08:32.9,00:05:26.2,00:18:46.0,00:08:33.1
47,Cruz  Fern,RC4,Canarias,00:02:00.9,00:09:38.9,00:06:37.0,00:12:15.0,00:09:33.3,00:06:36.2,00:12:08.3,00:05:20.7,00:19:21.4,00:08:29.0,00:05:27.0,00:19:01.5,00:08:34.3
48,Machín  An,RC4,Canarias,00:01:58.2,00:09:43.2,00:06:43.1,00:12:22.3,00:09:34.8,00:06:39.8,00:12:19.0,00:06:14.0,00:18:56.5,00:08:29.2,00:05:26.3,00:18:51.1,00:08:28.4
49,Hernández ,RC4,Canarias,00:02:08.1,00:09:56.0,00:07:03.4,00:12:49.9,00:10:01.2,00:06:59.7,00:12:56.9,00:06:06.1,00:20:11.9,00:08:51.7,00:05:34.5,00:20:11.8,00:09:07.4
50,Hernández ,RC5,Canarias,00:02:02.4,00:10:08.1,00:06:57.5,00:12:36.3,00:10:03.2,00:06:54.6,00:12:32.9,00:06:08.9,00:19:56.4,00:08:47.0,00:05:38.8,00:19:57.8,00:08:47.2
51,Armas  Noé,RC5,Canarias,00:02:08.6,00:10:07.9,00:06:56.4,00:12:35.1,00:09:58.4,00:06:52.5,00:12:29.2,00:06:09.9,00:19:55.3,00:08:46.5,00:05:39.2,00:19:49.8,00:08:50.2
52,Alonso  Ja,RC5,Canarias,00:02:06.0,00:10:58.0,00:07:20.0,00:13:28.5,00:10:33.2,00:07:18.0,00:13:26.0,00:06:35.3,00:23:44.0,00:09:19.4,00:05:59.4,00:21:26.1,00:09:21.2
53,Avella  B.,RC5,Canarias,00:01:59.9,00:10:15.5,00:26:24.9,00:22:35.1,00:19:58.4,00:16:52.5,00:22:29.2,00:06:05.5,00:21:59.4,00:08:40.8,-,-,-
54,Rodríguez ,RC5,Canarias,00:02:02.5,00:21:54.7,00:07:09.9,00:13:23.0,00:10:10.6,00:07:05.1,00:22:29.2,-,-,-,-,-,-
55,Hernández ,RC5,Canarias,00:01:55.5,00:10:29.2,00:07:15.0,00:13:26.9,00:10:16.0,00:07:10.0,00:13:21.0,00:06:12.1,00:21:18.8,00:09:03.6,00:05:43.1,00:19:57.6,00:09:11.4
56,Valido  Ví,RC5,Canarias,00:02:14.9,00:10:08.6,00:07:11.4,00:12:57.9,00:10:00.9,00:07:04.6,00:12:52.0,00:06:17.2,00:20:51.3,00:08:52.4,00:05:38.6,00:20:03.1,00:08:39.9
57,Cabrera  I,RC5,Canarias,00:02:08.6,00:10:29.8,00:07:10.7,00:13:17.2,00:10:18.2,00:07:05.8,00:13:11.3,00:06:28.3,00:21:26.6,00:08:57.3,00:05:39.5,00:20:14.2,00:09:08.9
58,Mederos  H,RC5,Canarias,00:02:02.9,00:10:16.9,00:07:07.0,00:13:03.2,00:10:07.4,00:07:04.0,00:12:55.3,00:06:19.3,00:20:51.3,00:08:52.1,00:05:39.4,00:19:59.9,00:08:50.2
59,Avella  Ul,RC5,Canarias,00:02:05.6,00:10:24.4,00:07:06.1,00:13:04.9,00:19:58.4,00:16:52.5,00:22:29.2,00:06:12.3,00:22:22.8,00:09:10.9,00:05:43.0,00:20:43.8,00:09:28.4
60,Concepción,RC5,Canarias,00:02:06.1,00:10:36.4,00:07:19.1,00:13:21.3,00:10:20.3,00:07:12.5,00:13:15.4,00:06:20.4,00:22:12.0,00:09:02.4,00:05:48.3,00:20:41.2,00:09:24.9
61,Naranjo  M,RC4,Canarias,00:02:24.1,00:11:36.0,00:07:22.5,00:13:50.2,00:13:54.9,00:08:35.4,00:15:37.7,00:07:31.4,00:25:45.3,00:09:38.4,00:06:35.1,00:22:41.0,00:10:41.6
62,Bello  Jos,RC4,Canarias,00:02:01.6,00:09:59.7,00:06:56.1,00:12:56.5,00:09:54.1,00:06:55.1,00:12:43.9,00:06:05.7,00:20:03.2,00:08:48.6,00:05:37.5,00:19:54.2,00:08:55.4
