,,,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
#4,Lappi Esapekka  - Ferm Janne Hyundai i20 N Rally1,RC1 M,2:24.9,7:20.9,5:34.3,31:50.6,7:08.9,5:31.7,31:57.5,10:04.5,12:47.2,18:58.7,7:01.7,9:52.3,13:00.2,20:04.2,7:35.7,8:47.0,5:47.1,8:36.1,6:10.9
#40,Virves Robert  - Magalhães Hugo Ford Fiesta Rally2,RC2,2:33.3,7:50.9,6:01.1,33:44.4,7:30.0 [N],5:51.8 [N],34:09.5,10:44.4,13:37.2,20:03.1,7:26.8,10:26.5,13:44.5,-,-,9:07.0,6:04.3,8:54.7,6:57.2 [N]
#40,Virves Robert  - Magalhães Hugo Ford Fiesta Rally2  [SR],RC2,-,-,-,-,-,-,-,-,-,-,-,-,-,30:41.5 [N],17:43.1 [N],-,-,-,-
#41,Cais Erik  - Těšínský Petr Škoda Fabia RS Rally2,RC2,2:31.3,7:49.9,6:05.0,34:07.6,7:30.0 [N],5:51.8 [N],33:58.6,10:54.9,13:53.2,19:56.7,7:25.7,10:27.1,14:38.2,21:40.6,8:16.0,9:40.1,6:10.8,9:14.1,6:39.2
#45,Kremer Armin  - Gottschalk Timo Škoda Fabia Rally2 evo,RC2,2:34.9,7:49.6,9:23.3,42:55.9,7:30.0 [N],5:51.8 [N],36:15.6,11:02.5,14:18.2,36:30.7,-,-,-,-,-,-,-,-,-
#46,Prokop Martin  - Ernst Michal Škoda Fabia RS Rally2,RC2,2:33.0,7:49.3,5:56.3,36:55.8,7:30.0 [N],5:51.8 [N],34:16.2,10:40.1,13:37.9,19:52.8,7:15.6,10:29.4,15:12.2,21:20.6,8:07.2,9:13.9,6:01.6,9:01.0,6:39.2 [N]
#47,Miele Mauro  - Beltrame Luca Škoda Fabia RS Rally2,RC2,2:36.0,8:27.2,6:19.1,35:58.7,7:30.0 [N],5:51.8 [N],37:03.6,11:13.5,14:34.7,20:55.1,7:39.2,11:06.9,17:08.0,-,-,9:35.8,6:12.2,9:27.4,6:57.2 [N]
#47,Miele Mauro  - Beltrame Luca Škoda Fabia RS Rally2  [SR],RC2,-,-,-,-,-,-,-,-,-,-,-,-,-,30:41.5 [N],17:43.1 [N],-,-,-,-
#48,Castro Eduardo  - Mussano Fernando Škoda Fabia Rally2 evo,RC2,2:36.8,8:19.9,6:23.4,36:00.7,7:30.0 [N],5:51.8 [N],37:33.9,11:29.4,14:45.3,20:48.2,7:41.0,11:15.5,27:11.8,23:06.3,8:58.7,9:53.0,6:21.1,9:36.5,6:57.2 [N]
#49,O'Brien Patrick  - O'Brien Stephen Hyundai i20 N Rally2,RC2,2:35.1,8:09.8,-,-,-,-,-,11:15.8,23:18.9 [N],29:28.4 [N],17:09.2 [N],20:17.0 [N],23:36.1 [N],30:41.5 [N],17:43.1 [N],9:36.1,6:13.4,9:14.2,6:57.2 [N]
#49,O'Brien Patrick  - O'Brien Stephen Hyundai i20 N Rally2  [SR],RC2,-,-,15:47.1 [N],42:51.8 [N],17:30.0 [N],15:48.7 [N],43:16.3 [N],-,-,-,-,-,-,-,-,-,-,-,-
#50,Keferböck Johannes  - Minor Ilka Škoda Fabia Rally2 evo,RC2,2:36.3,8:31.3,6:33.5,36:44.1,7:30.0 [N],5:51.8 [N],38:29.0,11:39.2,15:10.5,21:38.9,8:12.9,11:31.1,17:32.8,23:59.9,9:34.7,10:32.3,6:39.4,10:18.2,6:57.2 [N]
#52,Villanueva A.  - Murado González J. Škoda Fabia RS Rally2,RC2,2:37.2,8:05.7,6:14.3,46:55.3,7:30.0 [N],5:51.8 [N],-,11:23.8,14:36.7,21:36.3,16:18.7,11:30.9,15:36.3,22:09.4,17:43.1 [N],10:14.7,6:23.8,9:44.3,6:57.2 [N]
#52,Villanueva A.  - Murado González J. Škoda Fabia RS Rally2  [SR],RC2,-,-,-,-,-,-,43:16.3 [N],-,-,-,-,-,-,-,-,-,-,-,-
#53,Chwist Daniel  - Heller Kamil Škoda Fabia RS Rally2,RC2,2:38.9,8:54.5,6:38.9,37:09.5,7:30.0 [N],5:51.8 [N],38:50.4,11:52.4,15:23.8,22:01.2,8:11.7,11:36.5,-,-,-,10:19.6,6:37.2,10:09.0,6:57.2 [N]
#53,Chwist Daniel  - Heller Kamil Škoda Fabia RS Rally2  [SR],RC2,-,-,-,-,-,-,-,-,-,-,-,-,23:36.1 [N],30:41.5 [N],17:43.1 [N],-,-,-,-
#55,Al-Attiyah N.  - Bernacchini G. Ford Fiesta Rally2,RC2,2:52.5,9:44.9,7:21.2,41:46.8,7:30.0 [N],5:51.8 [N],43:09.1,13:06.4,17:03.0,23:33.0,8:54.0,-,-,-,-,11:36.3,7:25.6,11:33.7,6:57.2 [N]
#55,Al-Attiyah N.  - Bernacchini G. Ford Fiesta Rally2  [SR],RC2,-,-,-,-,-,-,-,-,-,-,-,20:17.0 [N],23:36.1 [N],30:41.5 [N],17:43.1 [N],-,-,-,-
