,,,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
#40,Kramer A.  - Kvick Andersson J. Peugeot 208 Rally4,RC4,4:57.0,11:30.6,8:39.7,5:27.6,4:50.6,11:17.2,8:28.1,5:20.0,5:35.6,5:47.7,6:31.5,5:41.5,5:30.7,5:08.6,6:21.1,5:35.4
#41,Andersson Simon  - Jönsson J. Renault Clio Rally4,RC4,4:47.5,11:11.8,8:21.8,5:09.5,4:42.7,10:53.9,8:10.9,5:04.0,5:27.5,4:58.1,6:09.7,5:31.4,5:22.0,4:54.9,6:11.8,5:38.3
#44,Reiersen Isak  - Karlsson Lucas Ford Fiesta Rally4,RC4,4:37.9,10:46.6,8:04.7,4:59.7,4:33.5,10:38.6,8:01.4,4:56.2,5:21.5,4:50.5,6:35.4,5:20.6,5:16.1,4:44.8,6:00.0,5:24.6
#45,Hallberg Patrik  - Stigh John Ford Fiesta Rally4,RC4,4:43.3,10:53.3,8:09.2,5:02.0,4:36.0,10:40.5,7:59.0,4:56.2,5:25.9,4:55.9,6:04.3,5:26.0,5:17.4,4:48.0,5:58.9,5:25.2
#46,Kreuter Norman  - Lade Maresa Peugeot 208 Rally4,RC4,5:02.0,12:05.9,8:56.4,5:38.4,5:03.7,12:00.6,8:50.4,5:36.6,5:49.4,5:24.5,6:50.4,5:57.6,5:41.9,5:23.2,6:40.2,5:52.7
#47,Åhlin Fredrik  - Sjöberg Joakim Škoda Fabia R5,RC2,4:22.9,22:59.9,-,-,-,-,-,-,4:54.1,4:28.5,5:35.2,4:53.5,4:46.5,4:22.5,5:27.1,4:51.5
#47,Åhlin Fredrik  - Sjöberg Joakim Škoda Fabia R5  [SR],RC2,-,-,17:17.2 [N],14:29.4 [N],14:09.4 [N],19:34.8 [N],17:09.6 [N],14:24.4 [N],-,-,-,-,-,-,-,-
#48,Åkesson Jonas  - Bengtsson Maja Škoda Fabia R5,RC2,4:20.3,10:09.4,8:03.7,4:39.0,4:19.2,9:58.0,7:29.2,4:34.5,4:59.6,4:30.4,5:38.6,4:59.6,7:11.6,4:23.1,5:28.2,5:50.1
#49,Lassila Leevi  - Lukka Mikko Ford Fiesta Rally4,RC4,4:40.8,10:52.8,8:17.0,5:07.3,4:42.1,10:48.9,8:10.1,5:03.7,5:23.7,4:52.9,6:02.1,5:31.7,5:15.1,-,-,-
#5,Solberg Oliver  - Edmondson E. Volkswagen Polo GTI R5,RC2,4:15.4,9:51.0,7:17.2,4:29.4,4:10.6,9:34.8,7:09.6,4:24.4,4:49.8,4:21.1,5:28.9,4:44.8,4:39.6,4:16.2,5:20.6,4:43.0
#50,O'Brien Patrick  - O'Brien Stephen Škoda Fabia R5,RC2,4:36.1,10:43.5,8:06.9,5:00.6,4:36.3,10:33.4,7:50.1,4:51.5,5:08.6,5:11.2,6:02.1,5:25.5,5:01.5,4:45.6,5:48.7,5:06.9
#6,Sesks Mārtiņš  - Francis R. Škoda Fabia RS Rally2,RC2,4:17.8,10:03.9,7:29.1,4:38.0,4:11.6,9:41.3,7:14.6,4:26.7,4:51.8,4:26.3,5:32.7,4:49.1,4:40.7,4:18.5,5:22.3,4:41.3
#7,Franceschi M.  - Escartefigue J. Škoda Fabia Rally2 evo,RC2,4:21.3,10:09.4,7:36.0,4:42.3,4:13.7,9:48.2,7:16.1,4:29.1,5:21.8,4:35.3,5:38.1,4:55.3,4:48.5,4:24.4,5:24.3,4:45.4
#8,Heikkilä Mikko  - Vaaleri Samu Škoda Fabia Rally2 evo,RC2,4:17.8,10:01.9,7:28.3,4:35.0,4:11.4,9:44.3,7:13.5,4:26.6,4:50.7,4:26.5,5:33.3,4:48.3,4:42.7,7:33.0,5:28.8,4:47.2
#9,McErlean Josh  - Fulton James Hyundai i20 N Rally2,RC2,4:20.0,10:19.8,7:35.0,4:36.4,-,-,-,-,5:00.9,4:32.3,5:45.4,4:58.8,4:49.9,4:24.3,5:28.9,4:49.7
#9,McErlean Josh  - Fulton James Hyundai i20 N Rally2  [SR],RC2,-,-,-,-,14:09.4 [N],19:34.8 [N],17:09.6 [N],14:24.4 [N],-,-,-,-,-,-,-,-
