Pos.,No,Crew,Vehicle,GR,Cl,infos,time,ss
25,33,Stavropoulos Dimitris Nikolakopoulos Ioannis,Toyota Yaris,C6,A5,14:09.33  78.92 knvh,14:09.33,2
26,32,Manouskos Elias Manouskos Nikolaos,Toyota Yaris,C6,A5,14:20.13  77.93 knvh,14:20.13,2
27,35,Sotiropoulos Nikolaos Moukas Evangelos,Nissan Micra K11,C6,A5,14:20.79  7787 knVh,14:20.79,2
7,111,Athanasoulas Athanasios Basioukas Vasilis,Toyota Starlet 1300 KP61,3,D1,14:21.06  77.85 km/h,14:21.06,2
28,37,Giokaris Stefanos Defkalion Mourtzoukos Giorgos,Toyota Starlet EP91,C6,A5,14:29.66  77.08 knvh,14:29.66,2
8,105,Tsalamatas Ioannis Babalis Nikos,Ford Escort RS 2000 MKII,3,D3,14:29.71  77.07 km/h,14:29.71,2
29,20,Yiangou Yiangos Christodoulakis Andreas,Subaru Impreza STi N12,C2,N4,14:30.22  77.03 knvh,14:30.22,2
30,26,Yfantis Vassileios Mountzouris Aris,Ford Escort RS 2000 MKII,C3,E11,14:31.20  76.94knvh,14:31.20,2
9,110,Nomikos Mihalis Mouzakis Nikos,Toyota Starlet KP60,4,E1,14:44.68  75.77 km/h,14:44.68,2
10,108,Georgakopoulos Konstantinos Kontos Kostas,Toyota Corolla 1600 GT 2 Door AE86,4,E2,14:45.95  75.66 km/h,14:45.95,2
31,30,Kalamaras Teo Psaraki Vicky,Renault Clio Ragnotti,C3,A7,14:50.58  7527 km'h,14:50.58,2
11,116,Kofinas Konstantinos Kofinas Andreas,Toyota Corolla AE86,4,E2,14:50.72  75.26 km/h,14:50.72,2
12,115,Dodos Giorgos Intzoglou Nikos,Nissan Pulsar,4,E2,15:04.61  74.10 km/h,15:04.61,2
13,114,"Kalaitzian Ioannis ""Marianna Kalogiratou""",Fiat Ritmo Abarth 125 TC,4,E6,15:23.79  72.56 km/h,15:23.79,2
14,113,Vassilopoulos Petros Stathakos Dimitris,Ford Escort MK1,2,C3,15:50.72  70.51 km/h,15:50.72,2
15,109,Kassidopoulos Giorgos Pallas Apostolos,Toyota Corolla AE86,4,E2,15:52.17  70.40 km/h,15:52.17,2
32,106,Manoussaridis Harris Papageorgiou Giorgos,Ford Escort RS 2000 MKII,C3,E11,15:59.38  69 &7 krtV h,15:59.38,2
33,36,Andrikopoulos Panagiotis Andrikopoulos Filippos,Peugeot 206,C5,A6,16:49.32  66.41 kn\'h,16:49.32,2
16,117,Kotsopoulos Antonis Kollias Ioannis,Volkswagen Golf II GTi,4,E3,17:17.44  64.61 km/h,17:17.44,2
17,118,Kansos Patroklos Grigoropoulos Andreas,Volkswagen Golf II GTi 16V,4,E3,17:42.51  63.09 km/h,17:42.51,2
18,119,Antonopoulos Pantelis Kallitsi Maria,Ford Escort RS 2000 MKII,3,D3,19:20.34  57.77 km/h,19:20.34,2
1,1,Tsouloftas Alexandros Elia Stelios,Volkswagen Polo GTI R5,C1,R5R2,16:09.58 8462 knvh,16:09.58,3
2,2,Kehagias Giorgos Kouzionis Christos,Škoda Fabia Rally2 evo,C1,R5R2,16:32.13  82.69 knvh,16:32.13,3
3,3,Papadimitriou Ioannis Petropoulos Nikolaos,Škoda Fabia Rally2 evo,C1,R5R2,16:38.39  82.18 knvh,16:38.39,3
4,4,Serderidis Jourdan Malfoy Andy,Škoda Fabia Rally2 evo,C1,R5R2,17:04.71  8067 knvh,17:04.71,3
5,7,Kirkos Panagiotis Polizois Giorgos,Mitsubishi Lancer Evo IX,C2,N4,17:16.08  79.19 krtVh,17:16.08,3
6,5,Panteli Petros Laos Pambos,Citroën DS3 R5,C1,R5R2,17:43.42  77.15 knvh,17:43.42,3
7,8,"""JJ"" Stefanis Konstantinos",Škoda Fabia R5,C1,R5R2,17:50.77  76.62 knvh,17:50.77,3
8,12,Chatzimarkos Paschalis Tsaousoglou Marios,Peugeot 208 Rally4,C5,R4B,18:11.29  75.18 knvh,18:11.29,3
9,11,Lefkaditis Savvas Akratos Evangelos,Peugeot 208 Rally4,C5,R4B,18:22.62  74.41 knvh,18:22.62,3
10,19,Zygogiannis Konstantinos Tsellos Nikolaos,Mitsubishi Lancer Evo IX,C2,N4,18:48.28  72.72 knvh,18:48.28,3
11,21,Amoutzas Giorgos Eliopoulos Giorgos,Renault Clio RS,C3,A7,18:50.19  72.59 km1 h,18:50.19,3
12,16,Dimopoulos Antonis Skaltsas Efthimios,Toyota Starlet KP60,C4,E10,19:03.10  71.77 knvh,19:03.10,3
13,18,Stamatopoulos Fotis Sainis Dimitris,Mitsubishi Lancer Evo IX,C2,N4,19:14.27  71.08 krtVh,19:14.27,3
14,15,Davaris Nikos Makrinos Manolis,Mitsubishi Lancer Evo IX,C2,N4,19:21.96  70.61 knvh,19:21.96,3
15,27,Milonas Konstantinos Paraperas Nikolaos,Toyota Corolla FX AE101,C4,E10,19:29.93  70.13 knvh,19:29.93,3
16,22,Delaportas Giorgos Panaritis Evangelos,Ford Fiesta Rally4,C5,R4B,19:34.71  6984 knvh,19:34.71,3
1,102,Christodoulou Alexandros Samaras Athanassios,Lancia 037 Rally,4,E6,19:48.79  69.01 km/h,19:48.79,3
17,6,Nicolaou Phivos Zakou Savvas,Mitsubishi Lancer Evo IX,C2,N4,19:55.46  6863 knvh,19:55.46,3
18,25,Chatzigakis Giorgos Tolias Ioannis,Ford Escort MK2,C3,E11,19:59.18  68.42 knvh,19:59.18,3
19,32,Manouskos Elias Manouskos Nikolaos,Toyota Yaris,C6,A5,20:01.39  68 29 knvh,20:01.39,3
20,24,Rigas Giorgos Georgiadis Ioannis,Ford Escort MK2,C3,E11,20:06.61  68.00 knvh,20:06.61,3
2,101,Halivelakis Alexandros Papageorgiou Athanasios,Ford Escort RS 2000 MKII,3,D3,20:08.09  67.91 km/h,20:08.09,3
21,9,Vassilakis George Krawszik Tom,Ford Fiesta R5,C1,R5R2,20:09.57  6783 knvh,20:09.57,3
22,28,Giotis Ioannis Farmakis Chrístos,Hyundai Accent,C4,E10,20:10.83  67.76 knvh,20:10.83,3
23,34,Panagiotopoulos Manolis Dikopoulou Chrissoula,Toyota Yaris,C6,A5,20:14.61  6755 knVh,20:14.61,3
24,30,Kalamaras Teo Psaraki Vicky,Renault Clio Ragnotti,C3,A7,20:17.28  67.40 knvh,20:17.28,3
25,26,Yfantis Vassileios Mountzouris Aris,Ford Escort RS 2000 MKII,C3,E11,20:17.61  6738 knvh,20:17.61,3
26,33,Stavropoulos Dimitris Nikolakopoulos Ioannis,Toyota Yaris,C6,A5,20:18.53  6733 krtVh,20:18.53,3
3,105,Tsalamatas Ioannis Babalis Nikos,Ford Escort RS 2000 MKII,3,D3,20:19.98  67.25 km/h,20:19.98,3
4,112,Melas Dimitris-Pavlos Vardaxis Stathis,Porsche 911,2,C5,20:21.67  67.16 km/h,20:21.67,3
27,23,Halkias Efthimios Komnos Nikos,Nissan Violet,C3,E11,20:44.23  65.94 knvh,20:44.23,3
28,37,Giokaris Stefanos Defkalion Mourtzoukos Giorgos,Toyota Starlet EP91,C6,A5,20:49.50  65.66 krtVh,20:49.50,3
5,107,Papadimitriou Konstantinos Sigalas Manos,Toyota Starlet EP71 Turbo,4,E3,20:51.44  65.56 km/h,20:51.44,3
6,111,Athanasoulas Athanasios Basioukas Vasilis,Toyota Starlet 1300 KP61,3,D1,20:58.89  65.17 km/h,20:58.89,3
7,108,Georgakopoulos Konstantinos Kontos Kostas,Toyota Corolla 1600 GT 2 Door AE86,4,E2,21:06.55  64.78 km/h,21:06.55,3
8,104,Amaxopoulos Dimitrios Moraiti Hara,Toyota Corolla KE30,2,C2,21:16.32  64.28 km/h,21:16.32,3
9,109,Kassidopoulos Giorgos Pallas Apostolos,Toyota Corolla AE86,4,E2,21:22.46  63.97 km/h,21:22.46,3
10,116,Kofinas Konstantinos Kofinas Andreas,Toyota Corolla AE86,4,E2,21:39.07  63.16 km/h,21:39.07,3
29,20,Yiangou Yiangos Christodoulakis Andreas,Subaru Impreza STi N12,C2,N4,22:09.49  61.71 knvh,22:09.49,3
