Pos.,No,Crew,Gr/Cl,ss_time,Diff,Speed,ss
24,#101,Halivelakis A.  - Papageorgiou A. Ford Escort RS 2000 MKII,3,11:46.23,+2:26.36 +  1.90,61.0 12.2,2
25,#108,Melas D.  - Vardaxis S. Porsche 911,2,11:56.90,+2:37.03 +  10.67,60.1 13.1,2
26,#33,Kotsadam Lambros  - Kotsadam N. Toyota Starlet EP91,C6 F2,11:58.85,+2:38.98 +  1.95,59.9 13.3,2
27,#20,Mavraganis A.  - Chreppas N. Toyota Corolla AE92,C4 F2,12:00.17,+2:40.30 +  1.32,59.8 13.4,2
28,#102,Halkias Efthimios  - Komnos Nikos Datsun Violet,3,12:00.95,+2:41.08 +  0.78,59.8 13.5,2
29,#107,Kassidopoulos G.  - Babalis N. Toyota Starlet,3,12:13.26,+2:53.39 +  12.31,58.8 14.5,2
30,#105,Koutsikos P.  - Petropoulos N. Toyota Starlet,4,12:16.67,+2:56.80 +  3.41,58.5 14.8,2
31,#109,Dedegikas Spiros  - Mountzouris A. Ford Escort MK2,3,12:24.99,+3:05.12 +  8.32,57.8 15.5,2
32,#114,Dodos Giorgos  - Intzoglou Nikos Nissan Sunny,4,12:28.14,+3:08.27 +  3.15,57.6 15.7,2
33,#111,Vassilopoulos P.  - Stathakos D. Ford Escort MK1,2,12:33.67,+3:13.80 +  5.53,57.2 16.2,2
34,#112,Kofinas Konstantinos  - Kofinas A. Toyota Corolla AE86,4,12:35.86,+3:15.99 +  2.19,57.0 16.4,2
35,#110,Kansos P.  - Grigoropoulos A. Volkswagen Golf II,4,13:58.38,+4:38.51 +  1:22.52,51.4 23.3,2
36,#6,Xanthakos M.  - Karathanassis N. Subaru Impreza STi N12,C2,14:03.34,+4:43.47 +  4.96,51.1 23.7,2
