0,,,,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time,SS time
ss,,,,1,3,4,5,6,7,8,9,10
No.,Crew,Group,Race,,,,,,,,,
52,Mauro  Ale,RC2,Latvia,00:15:42.3,00:06:33.9,00:15:21.3,00:08:37.1,00:02:29.1,00:11:21.5,00:11:15.4,00:11:15.0,00:10:19.4
53,Terlecki  ,RC2,Latvia,00:15:25.0,00:06:20.3,00:14:50.5,00:08:05.0,00:02:22.7,00:11:01.1,00:10:38.2,00:11:11.6,00:10:09.9
54,Potiiko  S,RC2,Latvia,00:15:57.6,00:06:31.5,00:15:29.9,00:08:37.4,00:02:34.5,00:11:38.4,00:10:58.2,00:11:42.3,00:10:29.5
55,Korzun  An,RC2,Latvia,00:15:51.8,00:06:30.7,00:15:31.7,00:08:38.4,00:02:41.5,00:11:34.4,00:11:56.8,00:11:57.6,00:10:24.2
56,Laskowski ,RC3,Latvia,00:15:28.9,00:06:11.8,00:14:46.2,00:08:14.4,00:02:25.6,00:10:58.3,00:10:17.1,00:10:54.6,00:09:59.5
57,Kelly  Eam,RC3,Latvia,00:15:50.3,00:06:16.3,00:15:10.9,00:08:18.3,00:02:28.9,00:11:12.6,00:10:45.4,00:11:19.8,00:10:18.8
58,Fontana  M,RC4,Latvia,00:16:16.9,00:06:39.9,00:15:52.4,00:08:55.8,00:02:29.9,00:11:48.9,00:11:06.1,00:11:48.0,00:10:40.7
59,Schwarz  F,RC4,Latvia,00:25:50.3,00:16:24.4,00:25:21.8,00:18:29.4,00:12:28.1,00:12:06.3,-,-,-
60,Orgus  Kei,RC4,Latvia,00:16:49.3,00:06:54.6,00:16:09.9,00:08:58.7,00:12:28.1,00:12:12.7,00:11:18.9,00:12:19.5,00:11:38.1
61,Zakmans  I,RC2,Latvia,00:16:50.5,00:06:57.8,00:16:13.4,00:31:00.2,00:02:49.3,00:12:37.9,00:11:57.3,00:12:38.3,00:11:24.9
