,,,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time,ss_time
ss,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
#43,Maior Norbert  - Maior F. Peugeot 208 Rally4,RC4,2:02.5,11:34.0,7:47.0,9:29.3,11:34.2,7:43.5,9:31.2,2:00.4,6:06.4,7:37.8,6:13.7,4:04.5,6:08.8,7:24.4,4:18.1,6:20.9
#44,Noller René  - Solbach-Schmidt N. Peugeot 208 Rally4,RC4,2:04.4,11:45.9,7:52.8,9:37.5,11:45.1,7:47.6,-,-,-,-,-,-,-,-,-,-
#45,Nore Ola jnr.  - Eilertsen Rune Renault Clio Rally4,RC4,2:03.4,11:18.7,7:41.5,9:22.0,11:23.1,7:41.2,9:30.2,2:02.5,5:57.5,7:32.3,6:07.8,4:07.4,6:07.3,7:28.2,4:12.0,6:19.5
#46,Raftery Aoife  - Williams Claire Peugeot 208 Rally4,RC4,2:11.8,12:11.4,8:16.3,10:16.0,12:23.9,8:16.2,10:32.8,2:11.2,6:26.7,8:05.8,6:37.5,4:21.5,6:32.5,8:14.6,4:55.1,7:09.4
#47,Schulz Timo  - Wenzel Michael Opel Corsa Rally4,RC4,2:03.4,11:34.5,7:43.4,9:30.4,11:21.2,-,-,-,6:16.8,7:33.0,6:22.0,4:25.4,6:16.7,7:29.8,4:20.5,-
#47,Schulz Timo  - Wenzel Michael Opel Corsa Rally4  [SR],RC4,-,-,-,-,-,17:39.1 [N],19:27.0 [N],12:00.1 [N],-,-,-,-,-,-,-,-
#48,Spitalier Patrice  - Spitalier N. Peugeot 208 Rally4,RC4,2:05.9,18:01.1,8:03.3,-,-,-,-,-,7:02.9,8:11.7,6:37.6,4:20.0,6:56.8,8:39.4,4:31.6,6:55.2
#48,Spitalier Patrice  - Spitalier N. Peugeot 208 Rally4  [SR],RC4,-,-,-,19:21.7 [N],21:21.2 [N],17:39.1 [N],19:27.0 [N],12:00.1 [N],-,-,-,-,-,-,-,-
#49,Zanin Mattia  - Pizzol Fabio Peugeot 208 Rally4,RC4,2:06.4,12:02.1,8:03.7,10:00.5,11:54.1,8:07.8,10:39.5,2:02.3,6:24.3,7:55.0,6:29.6,4:24.9,6:24.8,8:46.3,5:43.3,8:01.8
#5,Mabellini Andrea  - Lenzi Virginia Škoda Fabia Rally2 evo,RC2,1:49.9,10:10.2,6:58.1,8:27.4,10:07.5,6:50.9,8:21.7,1:49.2,5:23.0,6:46.5,5:36.1,3:36.0,5:23.2,-,-,-
#50,Zeiringer Fabian  - Letz Angelika Opel Corsa Rally4,RC4,2:05.8,11:37.1,7:51.1,9:36.9,12:35.0,-,-,-,-,-,-,-,-,-,-,-
#51,Kreuter Norman  - Lade Maresa Peugeot 208 Rally4,RC4,2:09.0,12:55.0,8:27.4,10:41.9,12:52.5,8:29.1,11:09.1,2:04.5,6:54.8,10:03.6,7:46.9,5:11.7,6:53.8,8:31.9,4:55.8,7:14.0
#52,Hangodi Bendegúz  - Bunkoczi L. Peugeot 208 Rally4,RC4,2:12.0 [N],12:29.2,8:15.7,9:48.6,12:25.9,8:15.1,10:09.3,2:02.9,6:19.4,8:00.6,6:52.5,4:16.5,6:43.4,7:55.2,4:24.5,6:25.5
#53,Yamamoto Yuki  - Teiskonen Miika Renault Clio Rally4,RC4,-,-,-,-,-,-,-,-,5:57.2,7:27.2,6:09.5,7:07.4,-,-,-,-
#53,Yamamoto Yuki  - Teiskonen Miika Renault Clio Rally4  [SR],RC4,12:01.5 [N],11:19.7,7:37.4,9:21.7,11:30.5,7:39.1,9:27.0,2:00.1,-,-,-,-,-,-,-,-
#54,Otake Nao  - Salminen Marko Renault Clio Rally4,RC4,2:02.4,-,-,-,-,-,-,-,6:02.1,7:27.1,6:16.3,4:02.4,-,-,-,-
#54,Otake Nao  - Salminen Marko Renault Clio Rally4  [SR],RC4,-,21:18.7 [N],17:37.4 [N],19:21.7 [N],21:21.2 [N],17:39.1 [N],19:27.0 [N],12:00.1 [N],-,-,-,-,-,-,-,-
#55,Kogure Hikaru  - Luhtinen T. Renault Clio Rally4,RC4,2:05.1,11:35.9,7:47.7,9:36.0,11:54.6,7:49.4,9:45.4,2:00.5,6:01.3,7:37.8,6:16.6,4:05.3,6:09.5,7:28.5,4:07.9,6:15.4
#56,Nowak Marek  - Sadowski Adrian Opel Corsa Rally4,RC4 4,2:04.6,-,-,-,-,-,-,-,6:20.3,7:51.0,6:25.6,4:24.3,6:36.9,7:54.9,4:27.5,6:28.6
#56,Nowak Marek  - Sadowski Adrian Opel Corsa Rally4  [SR],RC4 4,-,21:18.7 [N],17:37.4 [N],19:21.7 [N],21:21.2 [N],17:39.1 [N],19:27.0 [N],12:00.1 [N],-,-,-,-,-,-,-,-
#57,Rossi Ghjuvanni  - Blanc Nicolas Peugeot 208 Rally4,RC4,2:07.6,12:10.8,8:01.1,10:05.1,12:05.0,8:01.1,10:09.9,2:01.9,6:27.9,7:57.5,6:32.2,4:14.2,6:39.4,7:48.0,4:24.1,6:32.1
#58,Jocz Tymoteusz  - Judycki Maciej Ford Fiesta Rally4,RC4 4,2:05.3,11:32.7,10:34.8,9:43.6,11:54.4,7:52.6,10:00.6,2:25.3,6:08.5,7:41.0,6:20.7,4:08.9,6:44.8,7:49.2,4:20.1,6:54.7
#59,Brugger Christoph  - Lutz Tamara Opel Corsa Rally4,RC4,2:08.1,11:52.3,7:57.6,9:52.2,12:14.7,8:07.9,10:33.6,2:05.3,6:25.5,7:52.8,6:37.1,4:15.9,6:45.6,7:57.4,4:32.1,6:46.4
#6,Marczyk M.  - Gospodarczyk S. Škoda Fabia RS Rally2,RC2 2,1:47.7,10:13.5,6:50.4,8:25.1,9:59.7,6:52.1,8:21.5,1:49.5,5:15.2,6:35.9,5:28.2,3:30.2,5:17.0,6:31.5,3:34.4,5:30.8
#60,Szeja Jarosław  - Szeja Marcin Hyundai i20 R5,RC2 2,1:55.8,10:23.7,7:11.7,-,-,-,-,-,5:28.0,6:51.7,5:43.4,3:43.2,5:37.9,6:47.7,3:47.4,5:39.2
#60,Szeja Jarosław  - Szeja Marcin Hyundai i20 R5  [SR],RC2 2,-,-,-,18:18.7 [N],19:51.8 [N],16:46.7 [N],18:16.9 [N],11:48.1 [N],-,-,-,-,-,-,-,-
#61,Uger Sergey  - Uger Obolenskaya M. Ford Fiesta R5,RC2,2:37.8,11:55.9,8:01.7,10:01.9,-,-,-,-,-,-,-,-,-,-,-,-
#62,Ravenščak M.  - Ravenščak D. Ford Fiesta Rally3,RC3,2:05.5,12:32.4,9:14.8,10:34.2,12:28.2,8:11.9,10:20.0,1:59.2,6:22.9,7:51.2,6:25.1,4:10.6,6:39.9,7:51.9,4:28.0,6:31.6
#63,Domin Mateusz  - Komar Kevin Ford Fiesta Rally4,RC4 4,2:09.3,-,-,-,-,-,-,-,6:46.2,8:07.5,7:04.0,5:22.8,7:34.8,8:22.8,-,-
